"team_id","team_name","division_id","division_name","country_id","country_ioc","country_name"
NULL,"Left Overs",NULL,"Mixed","1051","CZE","Czech Republic"
NULL,"Prague Devils",NULL,"Mixed","1051","CZE","Czech Republic"
NULL,"KS FLOW WROCŁAW",NULL,"Mixed","1151","POL","Poland"
NULL,"Savage Ultimate",NULL,"Mixed","1151","POL","Poland"
NULL,"Pelt",NULL,"Mixed","1088","IRL","Ireland"
NULL,"PELT Ultimate",NULL,"Open",NULL,"IRL","Ireland"
NULL,"Hässliche Erdferkel",NULL,"Mixed","1073","GER","Germany"
NULL,"FRuBB",NULL,"Mixed","1073","GER","Germany"
NULL,"RJP",NULL,"Mixed","1151","POL","Poland"
NULL,"Zoom Ultimate",NULL,"Mixed","1190","TUR","Turkey"
NULL,"Transylvania Ultimate",NULL,"Mixed","1156","ROU","Romania"
NULL,"Leamington Lemmings",NULL,"Mixed","1069","GBR","Great Britain"
NULL,"DISConnection",NULL,"Mixed","1073","GER","Germany"
NULL,"Gold",NULL,"Mixed","1018","BEL","Belgium"
NULL,"Zombees",NULL,"Mixed","1012","AUT","Austria"
NULL,"FucZH",NULL,"Mixed","1174","SUI","Switzerland"
NULL,"HoneyMoon",NULL,"Mixed","1018","BEL","Belgium"
NULL,"Owls UC",NULL,"Mixed","1018","BEL","Belgium"
NULL,"FlyHigh",NULL,"Mixed","1174","SUI","Switzerland"
NULL,"3SB - Open",NULL,"Open","1051","CZE","Czech Republic"
NULL,"M.U.C.",NULL,"Open","1073","GER","Germany"
NULL,"Cotarica Grandes",NULL,"Open","1093","ITA","Italy"
NULL,"Panthers Wroclaw - Open",NULL,"Open","1151","POL","Poland"
NULL,"Flying Angels Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"Alligators",NULL,"Open","1093","ITA","Italy"
NULL,"Panthers Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"Freespeed One",NULL,"Open","1174","SUI","Switzerland"
NULL,"Red Bulls",NULL,"Open","1093","ITA","Italy"
NULL,"Outsiterz",NULL,"Open","1176","SVK","Slovakia"
NULL,"thebigEZ",NULL,"Open","1012","AUT","Austria"
NULL,"Hardfisch",NULL,"Open","1073","GER","Germany"
NULL,"FWD>>",NULL,"Open","1012","AUT","Austria"
NULL,"Canieporci",NULL,"Open","1093","ITA","Italy"
NULL,"Slovenia",NULL,"Open","1166","SLO","Slovenia"
NULL,"Cus Padova Barbastreji",NULL,"Open","1093","ITA","Italy"
NULL,"Shout",NULL,"Women","1093","ITA","Italy"
NULL,"3SB - Women",NULL,"Women","1051","CZE","Czech Republic"
NULL,"box vienna",NULL,"Women","1012","AUT","Austria"
NULL,"Catchup Women",NULL,"Women","1012","AUT","Austria"
NULL,"East Block",NULL,"Women","1051","CZE","Czech Republic"
NULL,"Panthers Wroclaw - Women",NULL,"Women","1151","POL","Poland"
NULL,"DiscoBolo",NULL,"Women","1093","ITA","Italy"
NULL,"Cheetahs",NULL,"Women","1093","ITA","Italy"
