Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Reading,497.940,1,6,5,1,0,0.833,0.611,83,57,4.333,1.000,13,0
FRuBB,475.000,1,6,5,1,0,0.833,0.524,69,48,3.500,2.000,12,0
Leamington Lemmings,428.490,1,6,5,1,0,0.833,0.444,87,38,8.167,1.000,12,0
Left Overs,413.160,1,7,5,2,0,0.714,0.489,65,49,2.286,2.000,13,0
DISConnection,336.670,2,12,10,2,0,0.833,0.458,165,115,4.167,1.000,14,0
PELT,281.840,1,6,3,3,0,0.500,0.627,55,54,0.167,2.000,12,0
Sesquidistus,257.940,1,6,4,2,0,0.667,0.417,77,63,2.333,1.000,13,0
Savage Ultimate,238.150,1,6,5,1,0,0.833,0.428,68,53,2.500,2.000,12,0
GRUT,236.960,1,6,4,2,0,0.667,0.417,76,62,2.333,1.000,7,0
Deep Space,194.860,1,6,3,3,0,0.500,0.556,75,65,1.667,1.000,13,0
KS FLOW WROCŁAW,134.200,1,7,3,4,0,0.429,0.684,56,65,-1.286,2.000,12,0
Hässliche Erdferkel,124.550,1,7,4,3,0,0.571,0.571,65,65,0.000,2.000,12,0
FucZH,51.970,1,6,3,3,0,0.500,0.556,57,64,-1.167,1.000,7,0
RJP,38.010,1,7,4,3,0,0.571,0.472,68,67,0.143,2.000,12,0
Zoom Ultimate,-18.150,2,10,5,5,0,0.500,0.436,93,92,0.100,2.000,14,0
Gentle Mixed,-57.370,1,6,3,3,0,0.500,0.528,64,67,-0.500,1.000,12,0
Mosquitos,-73.110,1,6,3,3,0,0.500,0.361,65,77,-2.000,1.000,7,0
Fireball Ultimate,-74.880,1,6,4,2,0,0.667,0.415,50,46,0.667,2.000,14,0
Steamhuck,-79.300,1,5,2,3,0,0.400,0.587,49,47,0.400,2.000,6,0
Smog,-98.100,1,6,1,5,0,0.167,0.694,55,82,-4.500,1.000,13,0
OldSchool,-161.890,1,6,3,3,0,0.500,0.461,58,58,0.000,2.000,11,0
Shopski Otryad,-170.900,1,5,3,2,0,0.600,0.372,53,44,1.800,2.000,11,0
Prague Devils,-228.520,1,6,2,4,0,0.333,0.523,49,61,-2.000,2.000,13,0
FlyHigh,-253.250,1,6,3,3,0,0.500,0.389,73,65,1.333,1.000,12,0
PUC,-351.210,1,6,0,6,0,0.000,0.611,49,87,-6.333,1.000,13,0
Transylvania Ultimate,-361.250,2,11,1,10,0,0.091,0.517,87,119,-2.909,2.000,14,0
Owls UC,-369.410,1,6,1,5,0,0.167,0.528,51,71,-3.333,1.000,12,0
Seahawks Ultimate,-499.430,1,5,1,4,0,0.200,0.356,41,58,-3.400,2.000,14,0
ZomBees,-505.000,1,6,2,4,0,0.333,0.444,55,78,-3.833,1.000,12,0
HoneyMoon,-698.160,1,6,1,5,0,0.167,0.528,41,82,-6.833,1.000,12,0
