Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Leuven,2023-04-21,7 Schwaben,Bora,15,9,515.481,1.000,0,359.790
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,515.481,1.000,0,502.610
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,515.481,1.000,0,358.990
Spring Invite Leuven,2023-04-21,7 Schwaben,XVI,13,8,496.160,1.000,0,167.350
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,125.000,1.000,0,52.440
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,UFO,12,11,125.000,1.000,0,-40.180
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,XVI,13,10,328.142,1.000,0,143.560
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,600.000,1.000,0,465.990
Spring Invite Leuven,2023-04-21,Bad Skid,Hard2Fisch,15,7,600.000,1.000,0,1014.850
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,600.000,1.000,0,448.410
Spring Invite Leuven,2023-04-21,Bad Skid,Terrible Monkeys,15,8,564.809,1.000,0,368.410
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,125.000,1.000,0,142.820
Spring Invite Leuven,2023-04-21,Bora,Uprising,13,10,328.142,1.000,0,-0.800
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,7 Schwaben,15,8,564.809,1.000,0,195.050
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Aarhus Ultimate,15,9,515.481,1.000,0,218.840
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,SmashD,15,11,381.165,1.000,0,201.260
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Uprising,13,11,228.840,1.000,0,554.040
Spring Invite Leuven,2023-04-21,Frizzly Bears,Bora,15,8,564.809,1.000,0,283.560
Spring Invite Leuven,2023-04-21,Frizzly Bears,Hard2Fisch,15,11,381.165,1.000,0,496.420
Spring Invite Leuven,2023-04-21,Gentle Open,Bora,15,4,600.000,1.000,0,807.710
Spring Invite Leuven,2023-04-21,Gentle Open,Freezzz Beezzz,15,11,381.165,1.000,0,252.870
Spring Invite Leuven,2023-04-21,Gentle Open,Révolution'air,15,6,600.000,1.000,1,950.530
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,12,300.492,1.000,0,374.130
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,0,600.000,1.000,0,374.130
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Aarhus Ultimate,15,9,515.481,1.000,0,523.860
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Bad Skid,15,14,125.000,1.000,0,57.870
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Frizzly Bears,15,10,453.604,1.000,0,576.300
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Gentle Open,13,12,125.000,1.000,0,52.150
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,SmashD,15,7,600.000,1.000,0,506.280
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,XVI,15,8,564.809,1.000,0,667.420
Spring Invite Leuven,2023-04-21,SmashD,Hard2Fisch,15,9,515.481,1.000,0,566.440
Spring Invite Leuven,2023-04-21,SmashD,UFO,15,10,453.604,1.000,0,-22.600
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bora,15,9,515.481,1.000,0,433.580
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Révolution'air,15,5,600.000,1.000,0,576.400
Spring Invite Leuven,2023-04-21,Terrible Monkeys,UFO,15,12,300.492,1.000,0,57.400
Spring Invite Leuven,2023-04-21,UFO,7 Schwaben,15,12,300.492,1.000,0,16.390
Spring Invite Leuven,2023-04-21,UFO,Freezzz Beezzz,15,13,214.179,1.000,0,-178.660
Spring Invite Leuven,2023-04-21,UFO,Uprising,14,7,582.887,1.000,0,375.380
Spring Invite Leuven,2023-04-21,Uprising,Hard2Fisch,15,4,600.000,1.000,0,213.660
Spring Invite Leuven,2023-04-21,Uprising,Révolution'air,11,10,125.000,1.000,0,143.620
Spring Invite Leuven,2023-04-21,XVI,Frizzly Bears,13,12,125.000,1.000,0,-91.120
Spring Invite Leuven,2023-04-21,XVI,Hard2Fisch,15,5,600.000,1.000,0,405.300
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,238.123,1.000,0,272.280
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,564.809,1.000,0,377.620
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,600.000,1.000,1,714.770
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,515.481,1.000,0,612.260
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,564.809,1.000,0,445.080
Spring Invite Padova,2023-04-21,3SB - Open,Red Bulls,15,12,300.492,1.000,0,476.070
Spring Invite Padova,2023-04-21,Alligators,Canieporci,15,9,515.481,1.000,0,734.090
Spring Invite Padova,2023-04-21,Alligators,Cotarica Grandes,11,8,365.609,1.000,0,72.800
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,214.179,1.000,0,371.920
Spring Invite Padova,2023-04-21,Alligators,Panthers Wroclaw - Open,15,8,564.809,1.000,0,220.580
Spring Invite Padova,2023-04-21,Canieporci,SLOVENIA,15,9,515.481,1.000,0,-17.980
Spring Invite Padova,2023-04-21,Cotarica Grandes,Panthers Bern,15,11,381.165,1.000,0,100.000
Spring Invite Padova,2023-04-21,Cotarica Grandes,Red Bulls,15,11,381.165,1.000,0,130.990
Spring Invite Padova,2023-04-21,Cotarica Grandes,SLOVENIA,15,7,600.000,1.000,0,643.310
Spring Invite Padova,2023-04-21,Cotarica Grandes,thebigEZ,15,9,515.481,1.000,0,364.860
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Cotarica Grandes,14,11,313.338,1.000,0,-32.540
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Freespeed,13,12,125.000,1.000,0,157.700
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Hardfisch,15,10,453.604,1.000,0,604.190
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,M.U.C.,13,12,125.000,1.000,0,-264.080
Spring Invite Padova,2023-04-21,FWD>>,Canieporci,15,7,600.000,1.000,0,291.600
Spring Invite Padova,2023-04-21,FWD>>,Hardfisch,14,13,125.000,1.000,0,267.040
Spring Invite Padova,2023-04-21,Flying Angels Bern,Canieporci,15,7,600.000,1.000,0,394.110
Spring Invite Padova,2023-04-21,Flying Angels Bern,FWD>>,13,10,328.142,1.000,0,102.510
Spring Invite Padova,2023-04-21,Freespeed,Flying Angels Bern,13,12,125.000,1.000,0,76.940
Spring Invite Padova,2023-04-21,Freespeed,Hardfisch,15,4,600.000,1.000,0,446.490
Spring Invite Padova,2023-04-21,Freespeed,Outsiterz,13,12,125.000,1.000,0,108.880
Spring Invite Padova,2023-04-21,Freespeed,SLOVENIA,15,11,381.165,1.000,0,453.070
Spring Invite Padova,2023-04-21,Hardfisch,SLOVENIA,15,14,125.000,1.000,0,6.580
Spring Invite Padova,2023-04-21,M.U.C.,Alligators,15,10,453.604,1.000,0,158.740
Spring Invite Padova,2023-04-21,M.U.C.,Canieporci,15,4,600.000,1.000,1,892.830
Spring Invite Padova,2023-04-21,M.U.C.,Outsiterz,15,10,453.604,1.000,0,530.660
Spring Invite Padova,2023-04-21,M.U.C.,Panthers Bern,15,12,300.492,1.000,0,331.540
Spring Invite Padova,2023-04-21,M.U.C.,Red Bulls,15,8,564.809,1.000,0,362.530
Spring Invite Padova,2023-04-21,Outsiterz,Canieporci,15,5,600.000,1.000,0,362.170
Spring Invite Padova,2023-04-21,Outsiterz,FWD>>,15,14,125.000,1.000,0,70.570
Spring Invite Padova,2023-04-21,Outsiterz,thebigEZ,15,12,300.492,1.000,0,65.740
Spring Invite Padova,2023-04-21,Panthers Bern,Panthers Wroclaw - Open,15,13,214.179,1.000,0,47.780
Spring Invite Padova,2023-04-21,Panthers Bern,SLOVENIA,15,9,515.481,1.000,0,543.310
Spring Invite Padova,2023-04-21,Panthers Bern,thebigEZ,13,8,496.160,1.000,0,264.860
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Cus Padova Barbastreji,11,9,249.207,1.000,0,-115.240
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Freespeed,14,12,220.957,1.000,0,42.460
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Hardfisch,15,8,564.809,1.000,0,488.950
Spring Invite Padova,2023-04-21,Red Bulls,FWD>>,13,12,125.000,1.000,0,238.700
Spring Invite Padova,2023-04-21,Red Bulls,Flying Angels Bern,13,9,418.566,1.000,0,136.190
Spring Invite Padova,2023-04-21,Red Bulls,Panthers Wroclaw - Open,11,10,125.000,1.000,0,16.790
Spring Invite Padova,2023-04-21,thebigEZ,Flying Angels Bern,8,7,125.000,0.889,0,-97.680
Spring Invite Padova,2023-04-21,thebigEZ,Hardfisch,15,10,453.604,1.000,0,271.870
Spring Invite Padova,2023-04-21,thebigEZ,SLOVENIA,15,9,515.481,1.000,0,278.450
Elite Invite,2023-05-29,3SB - Open,Chevron Action Flash,15,14,125.000,1.000,0,173.350
Elite Invite,2023-05-29,3SB - Open,Chevron Action Flash,14,11,313.338,1.000,0,173.350
Elite Invite,2023-05-29,3SB - Open,Heidees Open,15,10,453.604,1.000,0,423.110
Elite Invite,2023-05-29,3SB - Open,Ranelagh,15,11,381.165,1.000,0,276.550
Elite Invite,2023-05-29,3SB - Open,Ranelagh,15,10,453.604,1.000,0,276.550
Elite Invite,2023-05-29,BFD La Fotta,Heidees Open,15,10,453.604,1.000,0,625.590
Elite Invite,2023-05-29,BFD La Fotta,Mooncatchers,15,13,214.179,1.000,0,-208.090
Elite Invite,2023-05-29,BFD La Fotta,Wall City,15,12,300.492,1.000,0,225.420
Elite Invite,2023-05-29,BFD La Fotta,Wall City,14,10,398.702,1.000,0,225.420
Elite Invite,2023-05-29,Chevron Action Flash,Heidees Open,14,12,220.957,1.000,0,249.760
Elite Invite,2023-05-29,Chevron Action Flash,Heidees Open,15,6,600.000,1.000,0,249.760
Elite Invite,2023-05-29,Clapham Ultimate,BFD La Fotta,12,11,125.000,1.000,0,3.780
Elite Invite,2023-05-29,Clapham Ultimate,BFD La Fotta,15,11,381.165,1.000,0,3.780
Elite Invite,2023-05-29,Clapham Ultimate,Chevron Action Flash,15,11,381.165,1.000,0,379.610
Elite Invite,2023-05-29,Clapham Ultimate,Wall City,14,12,220.957,1.000,0,229.200
Elite Invite,2023-05-29,Heidees Open,Ranelagh,15,14,125.000,1.000,0,-146.560
Elite Invite,2023-05-29,Mooncatchers,Clapham Ultimate,15,12,300.492,1.000,0,204.310
Elite Invite,2023-05-29,Mooncatchers,Clapham Ultimate,15,3,600.000,1.000,0,204.310
Elite Invite,2023-05-29,Mooncatchers,Ranelagh,15,10,453.604,1.000,0,687.120
Elite Invite,2023-05-29,Mooncatchers,Wall City,15,9,515.481,1.000,0,433.510
Elite Invite,2023-05-29,Mooncatchers,Wall City,15,9,515.481,1.000,0,433.510
Elite Invite,2023-05-29,Ranelagh,Chevron Action Flash,13,12,125.000,1.000,0,-103.200
Elite Invite,2023-05-29,Ranelagh,Heidees Open,12,10,238.123,1.000,0,146.560
Elite Invite,2023-05-29,Wall City,3SB - Open,15,11,381.165,1.000,0,-22.940
EUCQ Timisoara,2023-06-18,DEAC FreeBees,Azvarlirea,15,3,600.000,1.000,0,599.990
EUCQ Timisoara,2023-06-18,DEAC FreeBees,Azvarlirea,15,1,600.000,1.000,0,599.990
EUCQ Timisoara,2023-06-18,Outsiterz,Azvarlirea,15,0,600.000,1.000,1,1188.350
EUCQ Timisoara,2023-06-18,Outsiterz,DEAC FreeBees,15,3,600.000,1.000,0,588.360
EUCQ Timisoara,2023-06-18,Outsiterz,DEAC FreeBees,15,6,600.000,1.000,0,588.360
EUCQ Timisoara,2023-06-18,Outsiterz,SLOVENIA,15,12,300.492,1.000,0,344.190
EUCQ Timisoara,2023-06-18,SLOVENIA,Azvarlirea,15,0,600.000,1.000,1,844.160
EUCQ Timisoara,2023-06-18,SLOVENIA,Azvarlirea,15,2,600.000,1.000,1,844.160
EUCQ Timisoara,2023-06-18,SLOVENIA,DEAC FreeBees,14,12,220.957,1.000,0,244.170
EUCQ Timisoara,2023-06-18,SLOVENIA,Outsiterz,15,11,381.165,1.000,0,-344.190
