Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,858.360,1,6,5,1,0,0.833,0.444,88,58,5.000,1.000,7,0
Clapham Ultimate,654.050,1,6,4,2,0,0.667,0.583,71,75,-0.667,1.000,7,0
BFD La Fotta,650.270,1,6,4,2,0,0.667,0.444,81,72,1.500,1.000,7,0
JetSet Ultimate Open,517.260,1,6,6,0,0,1.000,0.556,88,60,4.667,2.000,13,0
Gentle Open,465.110,1,6,5,1,0,0.833,0.500,87,46,6.833,2.000,13,0
Bad Skid,459.390,1,5,4,1,0,0.800,0.480,74,42,6.400,2.000,13,0
3SB - Open,447.790,2,12,11,1,0,0.917,0.389,172,124,4.000,1.000,22,0
Wall City,424.850,1,6,1,5,0,0.167,0.764,67,84,-2.833,1.000,13,0
M.U.C.,334.250,1,6,5,1,0,0.833,0.523,87,57,5.000,1.000,17,0
Chevron Action Flash,274.440,1,6,2,4,0,0.333,0.528,77,75,0.333,1.000,13,0
Freezzz Beezzz,212.240,1,6,4,2,0,0.667,0.539,82,69,2.167,2.000,14,0
Alligators,175.510,1,6,4,2,0,0.667,0.620,76,65,1.833,1.000,21,0
Ranelagh,171.240,1,6,2,4,0,0.333,0.556,70,82,-2.000,1.000,13,0
Cotarica Grandes,102.710,1,6,4,2,0,0.667,0.533,79,63,2.667,1.000,17,0
Terrible Monkeys,90.980,1,6,3,3,0,0.500,0.550,65,71,-1.000,2.000,13,0
Cus Padova Barbastreji,70.170,1,6,4,2,0,0.667,0.625,72,71,0.167,1.000,19,0
UFO,33.580,1,6,3,3,0,0.500,0.511,77,74,0.500,2.000,14,0
Heidees Open,24.680,1,6,1,5,0,0.167,0.486,63,85,-3.667,1.000,13,0
7 Schwaben,17.190,1,6,4,2,0,0.667,0.372,78,65,2.167,2.000,13,0
SmashD,10.980,1,5,2,3,0,0.400,0.593,54,64,-2.000,2.000,12,0
Panthers Bern,2.710,1,6,3,3,0,0.500,0.630,74,75,-0.167,1.000,21,0
Aarhus Ultimate,-6.600,1,6,3,3,0,0.500,0.628,64,80,-2.667,2.000,13,0
Red Bulls,-28.280,1,6,3,3,0,0.500,0.597,68,76,-1.333,1.000,19,0
Panthers Wroclaw - Open,-45.070,1,6,3,3,0,0.500,0.528,71,70,0.167,1.000,15,0
Frizzly Bears,-59.040,1,5,2,3,0,0.400,0.447,66,62,0.800,2.000,14,0
Freespeed,-87.530,1,6,4,2,0,0.667,0.444,80,66,2.333,1.000,17,0
XVI,-150.160,1,5,2,3,0,0.400,0.513,54,58,-0.800,2.000,13,0
Flying Angels Bern,-164.470,1,6,2,4,0,0.333,0.514,65,66,-0.167,1.000,19,0
Outsiterz,-196.410,2,11,7,4,0,0.636,0.427,151,110,3.727,1.000,17,0
thebigEZ,-262.150,1,6,3,3,0,0.500,0.444,67,69,-0.333,1.000,17,0
FWD>>,-266.980,1,6,2,4,0,0.333,0.453,71,76,-0.833,1.000,21,0
Uprising,-341.800,1,6,2,4,0,0.333,0.361,63,69,-1.000,2.000,13,0
Bora,-342.600,1,6,2,4,0,0.333,0.456,56,82,-4.333,2.000,13,0
Révolution'air,-485.420,1,5,0,5,0,0.000,0.533,42,69,-5.400,2.000,12,0
Hardfisch,-534.020,1,6,1,5,0,0.167,0.505,60,88,-4.667,1.000,17,0
SLOVENIA,-540.600,2,11,4,7,0,0.364,0.394,130,130,0.000,1.000,17,0
Hard2Fisch,-555.460,1,5,0,5,0,0.000,0.467,36,75,-7.800,2.000,13,0
Canieporci,-558.580,1,6,1,5,0,0.167,0.528,47,84,-6.167,1.000,17,0
DEAC FreeBees,-784.770,1,5,2,3,0,0.400,0.327,51,48,0.600,1.000,12,0
Azvarlirea,-1384.760,1,5,0,5,0,0.000,0.433,6,75,-13.800,1.000,12,0
