Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.142,1.000,0,293.860
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.809,1.000,0,568.680
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.000,1.000,0,18.220
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.809,1.000,0,726.200
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.155,1.000,0,451.460
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.179,1.000,0,-112.550
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.481,1.000,0,124.440
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.338,1.000,0,274.820
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.160,0.918,0,549.560
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.604,1.000,0,564.010
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.481,1.000,0,360.360
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.000,1.000,0,236.990
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.604,1.000,0,275.640
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.155,1.000,0,275.640
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Cheetahs,15,8,564.809,1.000,0,550.460
Spring Invite Padova,2023-04-21,Shout,3SB - Women,15,11,381.165,1.000,0,757.500
Spring Invite Padova,2023-04-21,Shout,CUS Padova Tane Malefiche,11,8,365.609,1.000,0,325.160
Spring Invite Padova,2023-04-21,Shout,DiscoBolo,15,6,600.000,1.000,1,776.620
Spring Invite Padova,2023-04-21,Shout,East Block,15,14,125.000,1.000,0,212.610
Spring Invite Padova,2023-04-21,Shout,East Block,15,11,381.165,1.000,0,212.610
Spring Invite Padova,2023-04-21,Shout,box vienna,15,8,564.809,1.000,0,449.600
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,15,11,381.165,1.000,0,184.530
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,13,12,125.000,1.000,0,184.530
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Catchup Women,15,12,300.492,1.000,0,478.390
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Cheetahs,15,6,600.000,1.000,1,753.210
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Panthers Wroclaw - Women,14,10,398.702,1.000,0,202.750
Spring Invite Padova,2023-04-21,box vienna,CUS Padova Tane Malefiche,15,11,381.165,1.000,0,-124.440
Spring Invite Padova,2023-04-21,box vienna,DiscoBolo,14,10,398.702,1.000,0,327.020
Spring Invite Padova,2023-04-21,box vienna,Panthers Wroclaw - Women,15,11,381.165,1.000,0,326.120
Spring Invite UK,2023-04-23,Bristol,Horizon,15,2,600.000,1.000,0,599.950
Spring Invite UK,2023-04-23,Bristol,Spice,14,10,398.702,1.000,0,352.290
Spring Invite UK,2023-04-23,Gravity,Bristol,10,9,125.000,1.000,0,78.640
Spring Invite UK,2023-04-23,Gravity,SCRAM,13,5,600.000,1.000,0,815.450
Spring Invite UK,2023-04-23,Gravity,Spice,15,6,600.000,1.000,0,430.930
Spring Invite UK,2023-04-23,Horizon,Chameleons,15,1,600.000,1.000,0,599.970
Spring Invite UK,2023-04-23,Iceni,SCRAM,15,6,600.000,1.000,0,600.000
Spring Invite UK,2023-04-23,Oxford,Chameleons,8,5,453.604,0.827,0,533.730
Spring Invite UK,2023-04-23,Oxford,Chameleons,15,7,600.000,1.000,0,533.730
Spring Invite UK,2023-04-23,Spice,SCRAM,15,6,600.000,1.000,0,384.520
Elite Invite,2023-05-29,Bristol,3SB - Women,15,9,515.481,1.000,0,383.140
Elite Invite,2023-05-29,Bristol,FABulous,15,4,600.000,1.000,0,249.790
Elite Invite,2023-05-29,Bristol,box vienna,13,12,125.000,1.000,0,75.240
Elite Invite,2023-05-29,FABulous,3SB - Women,15,8,564.809,1.000,0,133.350
Elite Invite,2023-05-29,JinX,3SB - Women,15,9,515.481,1.000,0,764.830
Elite Invite,2023-05-29,JinX,Bristol,15,6,600.000,1.000,0,381.690
Elite Invite,2023-05-29,JinX,FABulous,15,6,600.000,1.000,1,631.480
Elite Invite,2023-05-29,JinX,Seagulls,12,8,441.155,1.000,0,197.700
Elite Invite,2023-05-29,JinX,YAKA,12,11,125.000,1.000,0,-131.270
Elite Invite,2023-05-29,Seagulls,3SB - Women,12,6,579.311,0.973,0,567.130
Elite Invite,2023-05-29,Seagulls,Bristol,13,7,557.532,1.000,0,183.990
Elite Invite,2023-05-29,Seagulls,box vienna,15,9,515.481,1.000,0,259.230
Elite Invite,2023-05-29,Shout,3SB - Women,15,9,515.481,1.000,0,757.500
Elite Invite,2023-05-29,Shout,FABulous,15,6,600.000,1.000,1,624.150
Elite Invite,2023-05-29,Shout,Seagulls,15,8,564.809,1.000,0,190.370
Elite Invite,2023-05-29,Shout,Seagulls,15,13,214.179,1.000,0,190.370
Elite Invite,2023-05-29,Shout,box vienna,15,9,515.481,1.000,0,449.600
Elite Invite,2023-05-29,YAKA,Bristol,15,10,453.604,1.000,0,512.960
Elite Invite,2023-05-29,YAKA,FABulous,15,7,600.000,1.000,0,762.750
Elite Invite,2023-05-29,YAKA,JinX,15,5,600.000,1.000,0,131.270
Elite Invite,2023-05-29,YAKA,Shout,14,12,220.957,1.000,0,138.600
Elite Invite,2023-05-29,YAKA,box vienna,15,9,515.481,1.000,0,588.200
Elite Invite,2023-05-29,box vienna,3SB - Women,15,7,600.000,1.000,0,307.900
Elite Invite,2023-05-29,box vienna,FABulous,13,9,418.566,1.000,0,174.550
