Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
YAKA,658.910,1,6,5,1,0,0.833,0.620,85,55,5.000,1.000,14,0
JinX,527.640,1,6,5,1,0,0.833,0.523,74,55,3.167,1.000,14,0
Shout,520.310,2,12,11,1,0,0.917,0.433,173,117,4.667,1.000,14,0
Seagulls,329.940,1,6,3,3,0,0.500,0.648,69,64,0.833,1.000,17,0
East Block,307.700,1,6,3,3,0,0.500,0.658,83,69,2.333,1.000,13,0
Gravity,224.590,1,3,3,0,0,1.000,0.296,38,20,6.000,1.000,11,0
CUS Padova Tane Malefiche,195.150,1,6,4,2,0,0.667,0.436,76,64,2.000,1.000,13,0
Bristol,145.950,2,9,5,4,0,0.556,0.537,104,90,1.556,1.000,19,0
box vienna,70.710,2,12,5,7,0,0.417,0.556,133,151,-1.500,1.000,17,0
Iceni,9.140,1,1,1,0,0,1.000,0.000,15,6,9.000,1.000,3,0
Tequila Boom Boom,-52.660,1,6,5,1,0,0.833,0.278,81,66,2.500,1.000,13,0
FABulous,-103.840,1,6,1,5,0,0.167,0.634,47,81,-5.667,1.000,17,0
Spice,-206.340,1,3,1,2,0,0.333,0.519,31,35,-1.333,1.000,11,0
3SB - Women,-237.190,2,12,3,9,0,0.250,0.553,124,161,-3.083,1.000,17,0
Panthers Wroclaw - Women,-255.410,1,6,3,3,0,0.500,0.306,76,69,1.167,1.000,14,0
DiscoBolo,-256.310,1,5,1,4,0,0.200,0.500,44,62,-3.600,1.000,13,0
Horizon,-454.000,1,2,1,1,0,0.500,0.278,17,16,0.500,1.000,11,0
Oxford,-520.240,1,2,2,0,0,1.000,0.000,23,12,5.500,1.000,2,0
Catchup Women,-531.050,1,6,1,5,0,0.167,0.458,62,81,-3.167,1.000,13,0
SCRAM,-590.860,1,3,0,3,0,0.000,0.778,17,43,-8.667,1.000,4,0
Cheetahs,-805.870,1,5,0,5,0,0.000,0.390,39,69,-6.000,1.000,13,0
Chameleons,-1053.970,1,3,0,3,0,0.000,0.833,13,38,-8.333,1.000,3,0
