Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GRUT,633.840,3,18,15,3,0,0.833,0.514,252,178,4.111,1.000,37,1
Deep Space,622.900,3,17,14,3,0,0.824,0.575,232,158,4.353,1.000,42,1
Reading,505.800,3,17,13,4,0,0.765,0.566,231,161,4.118,1.000,48,1
DISConnection,470.110,3,18,15,3,0,0.833,0.481,252,184,3.778,1.000,43,1
Leamington Lemmings,458.980,3,18,14,4,0,0.778,0.473,245,141,5.778,1.000,46,1
Sesquidistus,366.210,2,13,8,5,0,0.615,0.523,168,140,2.154,1.000,33,1
Monkey Grenoble,349.640,2,12,8,4,0,0.667,0.542,162,136,2.167,1.000,42,1
Manchots,346.870,2,13,8,5,0,0.615,0.587,168,153,1.154,1.000,34,1
Tartu Turbulence,334.950,2,13,6,7,0,0.462,0.645,162,168,-0.462,1.000,40,1
Nullacht! Ultimate,283.780,2,13,6,7,0,0.462,0.599,165,164,0.077,1.000,41,1
Left Overs,283.530,3,18,12,6,0,0.667,0.537,203,172,1.722,1.000,43,1
FRuBB,200.640,2,13,8,5,0,0.615,0.527,147,133,1.077,1.000,40,1
Bremen Ultimate,176.100,1,6,2,4,0,0.333,0.502,72,78,-1.000,1.000,20,0
KS FLOW WROCŁAW,142.510,3,17,9,8,0,0.529,0.580,177,180,-0.176,1.000,41,1
AKS ZŁY ULTIMATE,116.930,1,5,3,2,0,0.600,0.563,60,59,0.200,1.000,23,0
PELT,115.680,1,6,3,3,0,0.500,0.560,55,54,0.167,1.000,24,0
Smog,110.860,3,18,7,11,0,0.389,0.614,199,224,-1.389,1.000,40,1
Malmö Ultimate Club,97.760,1,6,4,2,0,0.667,0.313,68,48,3.333,1.000,17,0
Mosquitos,56.590,2,11,5,6,0,0.455,0.444,126,132,-0.545,1.000,37,1
Savage Ultimate,21.670,3,18,11,7,0,0.611,0.459,217,195,1.222,1.000,41,1
FucZH,19.390,2,12,6,6,0,0.500,0.503,128,141,-1.083,1.000,29,0
Gentle Mixed,-47.070,2,12,7,5,0,0.583,0.411,133,126,0.583,1.000,34,1
Glasgow Mixed,-51.450,2,11,4,7,0,0.364,0.566,109,131,-2.000,1.000,41,1
Hässliche Erdferkel,-84.120,1,7,4,3,0,0.571,0.476,65,65,0.000,1.000,22,0
RJP,-129.950,1,7,4,3,0,0.571,0.448,68,67,0.143,1.000,26,0
AUT BeeFire,-147.370,1,6,2,4,0,0.333,0.405,64,74,-1.667,1.000,19,0
PUC,-149.330,1,6,0,6,0,0.000,0.669,49,87,-6.333,1.000,27,0
FlyHigh,-156.130,2,12,6,6,0,0.500,0.377,144,143,0.083,1.000,27,0
Catchup Mixed,-198.990,1,6,3,3,0,0.500,0.414,77,67,1.667,1.000,22,0
DiscoBolo,-208.360,1,5,1,4,0,0.200,0.423,52,63,-2.200,1.000,19,0
DTU,-219.650,1,6,2,4,0,0.333,0.486,60,74,-2.333,1.000,12,0
Zoom Ultimate,-259.720,3,16,5,11,0,0.312,0.496,136,182,-2.875,1.000,41,1
OUT,-287.330,1,6,3,3,0,0.500,0.425,59,69,-1.667,1.000,26,0
Fireball Ultimate,-305.170,1,6,4,2,0,0.667,0.384,50,46,0.667,1.000,17,0
Steamhuck,-309.460,1,5,2,3,0,0.400,0.587,49,47,0.400,1.000,6,0
SMOG 2,-363.880,1,5,2,3,0,0.400,0.463,50,58,-1.600,1.000,23,0
OldSchool,-393.200,1,6,3,3,0,0.500,0.430,58,58,0.000,1.000,15,0
Shopski Otryad,-398.550,1,5,3,2,0,0.600,0.372,53,44,1.800,1.000,11,0
CUS Bergamo Ultimate,-418.950,1,5,0,5,0,0.000,0.430,51,72,-4.200,1.000,17,0
Prague Devils,-432.390,1,6,2,4,0,0.333,0.455,49,61,-2.000,1.000,22,0
Owls UC,-448.100,2,12,1,11,0,0.083,0.567,95,151,-4.667,1.000,34,1
ZomBees,-476.780,2,11,3,8,0,0.273,0.430,101,142,-3.727,1.000,36,1
Transylvania Ultimate,-580.480,2,11,1,10,0,0.091,0.459,87,119,-2.909,1.000,27,0
HoneyMoon,-662.230,1,6,1,5,0,0.167,0.495,41,82,-6.833,1.000,34,0
BN1,-675.610,1,5,2,3,0,0.400,0.473,43,63,-4.000,1.000,27,0
Seahawks Ultimate,-727.270,1,5,1,4,0,0.200,0.319,41,58,-3.400,1.000,17,0
Oxford Ultimate,-729.150,1,5,3,2,0,0.600,0.278,55,50,1.000,1.000,19,0
Rubber Duckies,-744.650,1,5,0,5,0,0.000,0.468,37,70,-6.600,1.000,26,0
Thundering Herd,-827.870,1,5,1,4,0,0.200,0.471,40,64,-4.800,1.000,22,0
Flyght Mixed,-1190.100,1,5,1,4,0,0.200,0.445,40,58,-3.600,1.000,21,0
Nemesis,-1193.000,1,5,2,3,0,0.400,0.353,43,62,-3.800,1.000,20,0
Zoo,-1444.460,1,5,0,5,0,0.000,0.468,32,68,-7.200,1.000,23,0
