Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Leuven,2023-04-21,7 Schwaben,Bora,15,9,515.481,1.000,0,434.830
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,515.481,1.000,0,520.710
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,515.481,1.000,0,203.270
Spring Invite Leuven,2023-04-21,7 Schwaben,XVI,13,8,496.160,1.000,0,113.070
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,125.000,1.000,0,51.680
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,UFO,12,11,125.000,1.000,0,-158.110
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,XVI,13,10,328.142,1.000,0,-63.520
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,600.000,1.000,0,562.710
Spring Invite Leuven,2023-04-21,Bad Skid,Hard2Fisch,15,7,600.000,1.000,0,953.810
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,600.000,1.000,0,369.440
Spring Invite Leuven,2023-04-21,Bad Skid,Terrible Monkeys,15,8,564.809,1.000,0,465.400
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,125.000,1.000,0,85.880
Spring Invite Leuven,2023-04-21,Bora,Uprising,13,10,328.142,1.000,0,-231.560
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,7 Schwaben,15,8,564.809,1.000,0,113.090
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Aarhus Ultimate,15,9,515.481,1.000,0,289.680
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,SmashD,15,11,381.165,1.000,0,96.410
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Uprising,13,11,228.840,1.000,0,316.360
Spring Invite Leuven,2023-04-21,Frizzly Bears,Bora,15,8,564.809,1.000,0,206.560
Spring Invite Leuven,2023-04-21,Frizzly Bears,Hard2Fisch,15,11,381.165,1.000,0,339.420
Spring Invite Leuven,2023-04-21,Gentle Open,Bora,15,4,600.000,1.000,1,830.880
Spring Invite Leuven,2023-04-21,Gentle Open,Freezzz Beezzz,15,11,381.165,1.000,0,282.960
Spring Invite Leuven,2023-04-21,Gentle Open,Révolution'air,15,6,600.000,1.000,1,916.760
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,12,300.492,1.000,0,475.330
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,0,600.000,1.000,0,475.330
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Aarhus Ultimate,15,9,515.481,1.000,0,507.730
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Bad Skid,15,14,125.000,1.000,0,-54.980
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Frizzly Bears,15,10,453.604,1.000,0,559.410
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Gentle Open,13,12,125.000,1.000,0,-64.910
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,SmashD,15,7,600.000,1.000,0,314.460
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,XVI,15,8,564.809,1.000,0,444.210
Spring Invite Leuven,2023-04-21,SmashD,Hard2Fisch,15,9,515.481,1.000,0,584.370
Spring Invite Leuven,2023-04-21,SmashD,UFO,15,10,453.604,1.000,0,35.160
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bora,15,9,515.481,1.000,0,355.550
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Révolution'air,15,5,600.000,1.000,0,441.430
Spring Invite Leuven,2023-04-21,Terrible Monkeys,UFO,15,12,300.492,1.000,0,-60.800
Spring Invite Leuven,2023-04-21,UFO,7 Schwaben,15,12,300.492,1.000,0,-18.480
Spring Invite Leuven,2023-04-21,UFO,Freezzz Beezzz,15,13,214.179,1.000,0,-131.570
Spring Invite Leuven,2023-04-21,UFO,Uprising,14,7,582.887,1.000,0,184.790
Spring Invite Leuven,2023-04-21,Uprising,Hard2Fisch,15,4,600.000,1.000,0,364.420
Spring Invite Leuven,2023-04-21,Uprising,Révolution'air,11,10,125.000,1.000,0,317.440
Spring Invite Leuven,2023-04-21,XVI,Frizzly Bears,13,12,125.000,1.000,0,115.200
Spring Invite Leuven,2023-04-21,XVI,Hard2Fisch,15,5,600.000,1.000,0,454.620
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,238.123,1.000,0,209.020
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,564.809,1.000,0,447.750
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,600.000,1.000,0,573.020
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,515.481,1.000,0,297.490
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,564.809,1.000,0,295.950
Spring Invite Padova,2023-04-21,3SB - Open,Red Bulls,15,12,300.492,1.000,0,402.110
Spring Invite Padova,2023-04-21,Alligators,Canieporci,15,9,515.481,1.000,0,649.220
Spring Invite Padova,2023-04-21,Alligators,Cotarica Grandes,11,8,365.609,1.000,0,-126.610
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,214.179,1.000,0,221.610
Spring Invite Padova,2023-04-21,Alligators,Panthers Wroclaw - Open,15,8,564.809,1.000,0,107.430
Spring Invite Padova,2023-04-21,Canieporci,SLOVENIA,15,9,515.481,1.000,0,122.810
Spring Invite Padova,2023-04-21,Cotarica Grandes,Panthers Bern,15,11,381.165,1.000,0,213.540
Spring Invite Padova,2023-04-21,Cotarica Grandes,Red Bulls,15,11,381.165,1.000,0,319.700
Spring Invite Padova,2023-04-21,Cotarica Grandes,SLOVENIA,15,7,600.000,1.000,0,898.640
Spring Invite Padova,2023-04-21,Cotarica Grandes,thebigEZ,15,9,515.481,1.000,0,473.020
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Cotarica Grandes,14,11,313.338,1.000,0,-365.340
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Freespeed,13,12,125.000,1.000,0,55.740
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Hardfisch,15,10,453.604,1.000,0,460.450
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,M.U.C.,13,12,125.000,1.000,0,-282.640
Spring Invite Padova,2023-04-21,FWD>>,Canieporci,15,7,600.000,1.000,0,285.220
Spring Invite Padova,2023-04-21,FWD>>,Hardfisch,14,13,125.000,1.000,0,335.180
Spring Invite Padova,2023-04-21,Flying Angels Bern,Canieporci,15,7,600.000,1.000,0,560.750
Spring Invite Padova,2023-04-21,Flying Angels Bern,FWD>>,13,10,328.142,1.000,0,275.530
Spring Invite Padova,2023-04-21,Freespeed,Flying Angels Bern,13,12,125.000,1.000,0,-206.000
Spring Invite Padova,2023-04-21,Freespeed,Hardfisch,15,4,600.000,1.000,0,404.710
Spring Invite Padova,2023-04-21,Freespeed,Outsiterz,13,12,125.000,1.000,0,-72.860
Spring Invite Padova,2023-04-21,Freespeed,SLOVENIA,15,11,381.165,1.000,0,477.560
Spring Invite Padova,2023-04-21,Hardfisch,SLOVENIA,15,14,125.000,1.000,0,72.850
Spring Invite Padova,2023-04-21,M.U.C.,Alligators,15,10,453.604,1.000,0,43.910
