Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,732.570,2,12,10,2,0,0.833,0.660,169,119,4.167,1.000,43,1
BFD La Fotta,690.750,3,17,14,3,0,0.824,0.579,244,153,5.353,1.000,47,1
Clapham Ultimate,651.320,3,16,13,3,0,0.812,0.654,217,167,3.125,1.000,45,1
Wall City,448.140,3,17,11,6,0,0.647,0.667,224,209,0.882,1.000,52,1
Alba,382.030,2,11,8,3,0,0.727,0.587,152,124,2.545,1.000,44,1
3SB - Open,348.460,3,19,14,5,0,0.737,0.504,264,218,2.421,1.000,46,1
Chevron Action Flash,331.070,3,17,10,7,0,0.588,0.573,222,196,1.529,1.000,49,1
Gentle Open,303.810,3,17,11,6,0,0.647,0.507,234,177,3.353,1.000,50,1
Tchac,295.430,2,13,7,6,0,0.538,0.569,176,159,1.308,1.000,39,1
Bad Skid,293.880,3,18,13,5,0,0.722,0.501,257,200,3.167,1.000,52,1
Cotarica Grandes,266.050,3,17,11,6,0,0.647,0.487,226,182,2.588,1.000,49,1
Ranelagh,263.220,3,17,10,7,0,0.588,0.559,231,217,0.824,1.000,48,1
JetSet Ultimate Open,238.900,2,13,9,4,0,0.692,0.535,176,154,1.692,1.000,51,1
Bristol Open,194.920,2,12,7,5,0,0.583,0.527,148,136,1.000,1.000,48,1
M.U.C.,183.350,3,18,12,6,0,0.667,0.500,239,200,2.167,1.000,50,1
Københavns Frisbee Klub (KFK),181.340,2,13,7,6,0,0.538,0.591,163,164,-0.077,1.000,48,1
Alligators,139.440,2,11,6,5,0,0.545,0.556,131,129,0.182,1.000,45,1
Heidees Open,73.480,2,11,3,8,0,0.273,0.593,128,150,-2.000,1.000,41,1
Panthers Bern,52.510,3,18,8,10,0,0.444,0.544,223,227,-0.222,1.000,49,1
Solebang,51.760,1,6,2,4,0,0.333,0.525,57,68,-1.833,1.000,30,0
Flying Angels Bern,50.970,3,18,8,10,0,0.444,0.544,199,225,-1.444,1.000,49,1
Panthers Wroclaw - Open,32.010,3,18,12,6,0,0.667,0.446,237,209,1.556,1.000,51,1
Iznogood,29.080,1,6,2,4,0,0.333,0.534,54,61,-1.167,1.000,31,0
Freezzz Beezzz,20.850,2,11,6,5,0,0.545,0.464,141,130,1.000,1.000,41,1
Amsterdam Ultimate Club,-21.530,1,6,2,4,0,0.333,0.584,67,80,-2.167,1.000,38,0
Red Bulls,-53.650,2,12,6,6,0,0.500,0.508,133,139,-0.500,1.000,42,1
SmashD,-75.560,3,16,7,9,0,0.438,0.509,183,198,-0.938,1.000,52,1
Outsiterz,-82.170,4,23,13,10,0,0.565,0.422,318,251,2.913,1.000,51,1
7 Schwaben,-92.240,1,6,4,2,0,0.667,0.355,78,65,2.167,1.000,27,0
Cus Padova Barbastreji,-99.290,2,11,4,7,0,0.364,0.537,121,145,-2.182,1.000,36,1
UFO,-110.720,1,6,3,3,0,0.500,0.455,77,74,0.500,1.000,33,0
Freespeed,-155.030,2,11,5,6,0,0.455,0.442,119,131,-1.091,1.000,38,1
Terrible Monkeys,-171.520,2,12,5,7,0,0.417,0.431,139,137,0.167,1.000,46,1
Otso,-173.280,2,13,5,8,0,0.385,0.487,150,175,-1.923,1.000,50,1
XVI,-205.310,2,11,4,7,0,0.364,0.486,127,136,-0.818,1.000,37,1
thebigEZ,-206.970,2,12,5,7,0,0.417,0.447,146,147,-0.083,1.000,41,1
Armada,-210.040,1,6,3,3,0,0.500,0.358,55,70,-2.500,1.000,30,0
FWD>>,-224.560,3,18,6,12,0,0.333,0.503,205,239,-1.889,1.000,51,1
Aarhus Ultimate,-268.830,2,11,3,8,0,0.273,0.491,106,146,-3.636,1.000,30,1
PirU,-275.420,1,6,4,2,0,0.667,0.365,77,71,1.000,1.000,37,0
PELT Ultimate,-290.170,1,5,3,2,0,0.600,0.381,56,61,-1.000,1.000,22,0
Uprising,-295.510,3,18,7,11,0,0.389,0.462,195,221,-1.444,1.000,51,1
Frizzly Bears,-320.510,2,10,2,8,0,0.200,0.441,108,128,-2.000,1.000,38,1
Prague Devils,-369.650,1,6,3,3,0,0.500,0.414,73,74,-0.167,1.000,25,0
Helsinki Ultimate,-469.490,1,6,2,4,0,0.333,0.395,65,76,-1.833,1.000,28,0
Ka-Pow!,-508.200,1,6,2,4,0,0.333,0.353,73,80,-1.167,1.000,24,0
Canieporci,-509.780,1,6,1,5,0,0.167,0.465,47,84,-6.167,1.000,40,0
Bora,-527.070,1,6,2,4,0,0.333,0.387,56,82,-4.333,1.000,31,0
Hardfisch,-559.740,1,6,1,5,0,0.167,0.412,60,88,-4.667,1.000,32,0
Newcastle Brown,-560.060,1,5,2,3,0,0.400,0.400,50,69,-3.800,1.000,22,0
NXT,-569.520,1,6,1,5,0,0.167,0.464,59,84,-4.167,1.000,30,0
Révolution'air,-612.950,1,5,0,5,0,0.000,0.491,42,69,-5.400,1.000,28,0
SLOVENIA,-632.590,3,17,4,13,0,0.235,0.383,177,219,-2.471,1.000,44,1
Hard2Fisch,-659.930,1,5,0,5,0,0.000,0.422,36,75,-7.800,1.000,36,0
Reading Open,-673.250,1,6,1,5,0,0.167,0.427,59,85,-4.333,1.000,27,0
Dublin Frisbee 7s,-753.610,1,5,1,4,0,0.200,0.454,42,72,-6.000,1.000,23,0
DEAC FreeBees,-853.510,1,5,2,3,0,0.400,0.273,51,48,0.600,1.000,22,0
Azvarlirea,-1453.500,1,5,0,5,0,0.000,0.367,6,75,-13.800,1.000,22,0
