Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.142,1.000,0,261.010
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.809,1.000,0,546.320
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.000,1.000,0,-17.950
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.809,1.000,0,709.510
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.155,1.000,0,447.360
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.179,1.000,0,-120.520
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.481,1.000,0,122.050
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.338,1.000,0,285.310
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.160,0.918,0,547.460
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.604,1.000,0,567.880
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.481,1.000,0,298.280
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.000,1.000,0,242.570
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.604,1.000,0,278.960
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.155,1.000,0,278.960
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Cheetahs,15,8,564.809,1.000,0,564.270
Spring Invite Padova,2023-04-21,Shout,3SB - Women,15,11,381.165,1.000,0,740.120
Spring Invite Padova,2023-04-21,Shout,CUS Padova Tane Malefiche,11,8,365.609,1.000,0,291.620
Spring Invite Padova,2023-04-21,Shout,DiscoBolo,15,6,600.000,1.000,1,738.980
Spring Invite Padova,2023-04-21,Shout,East Block,15,14,125.000,1.000,0,171.100
Spring Invite Padova,2023-04-21,Shout,East Block,15,11,381.165,1.000,0,171.100
Spring Invite Padova,2023-04-21,Shout,box vienna,15,8,564.809,1.000,0,413.670
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,15,11,381.165,1.000,0,270.740
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,13,12,125.000,1.000,0,270.740
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Catchup Women,15,12,300.492,1.000,0,531.750
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Cheetahs,15,6,600.000,1.000,1,817.060
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Panthers Wroclaw - Women,14,10,398.702,1.000,0,252.790
Spring Invite Padova,2023-04-21,box vienna,CUS Padova Tane Malefiche,15,11,381.165,1.000,0,-122.050
Spring Invite Padova,2023-04-21,box vienna,DiscoBolo,14,10,398.702,1.000,0,325.310
Spring Invite Padova,2023-04-21,box vienna,Panthers Wroclaw - Women,15,11,381.165,1.000,0,308.500
Spring Invite UK,2023-04-23,Bristol,Horizon,15,2,600.000,1.000,1,663.370
Spring Invite UK,2023-04-23,Bristol,Spice,14,10,398.702,1.000,0,97.970
Spring Invite UK,2023-04-23,Gravity,Bristol,10,9,125.000,1.000,0,-56.770
Spring Invite UK,2023-04-23,Gravity,SCRAM,13,5,600.000,1.000,0,352.590
Spring Invite UK,2023-04-23,Gravity,Spice,15,6,600.000,1.000,0,41.200
Spring Invite UK,2023-04-23,Horizon,Chameleons,15,1,600.000,1.000,0,515.320
Spring Invite UK,2023-04-23,Iceni,SCRAM,15,6,600.000,1.000,1,696.510
Spring Invite UK,2023-04-23,Oxford,Chameleons,8,5,453.604,0.827,0,533.730
Spring Invite UK,2023-04-23,Oxford,Chameleons,15,7,600.000,1.000,0,533.730
Spring Invite UK,2023-04-23,Spice,SCRAM,15,6,600.000,1.000,0,311.390
Elite Invite,2023-05-29,Bristol,3SB - Women,15,9,515.481,1.000,0,194.210
Elite Invite,2023-05-29,Bristol,FABulous,15,4,600.000,1.000,0,174.530
Elite Invite,2023-05-29,Bristol,box vienna,13,12,125.000,1.000,0,-132.240
Elite Invite,2023-05-29,FABulous,3SB - Women,15,8,564.809,1.000,0,19.680
Elite Invite,2023-05-29,JinX,3SB - Women,15,9,515.481,1.000,0,537.620
Elite Invite,2023-05-29,JinX,Bristol,15,6,600.000,1.000,0,343.410
Elite Invite,2023-05-29,JinX,FABulous,15,6,600.000,1.000,0,517.940
Elite Invite,2023-05-29,JinX,Seagulls,12,8,441.155,1.000,0,338.440
Elite Invite,2023-05-29,JinX,YAKA,12,11,125.000,1.000,0,-227.700
Elite Invite,2023-05-29,Seagulls,3SB - Women,12,6,579.311,0.973,0,199.180
Elite Invite,2023-05-29,Seagulls,Bristol,13,7,557.532,1.000,0,4.970
Elite Invite,2023-05-29,Seagulls,box vienna,15,9,515.481,1.000,0,-127.270
Elite Invite,2023-05-29,Shout,3SB - Women,15,9,515.481,1.000,0,740.120
Elite Invite,2023-05-29,Shout,FABulous,15,6,600.000,1.000,1,720.440
Elite Invite,2023-05-29,Shout,Seagulls,15,8,564.809,1.000,0,540.940
Elite Invite,2023-05-29,Shout,Seagulls,15,13,214.179,1.000,0,540.940
Elite Invite,2023-05-29,Shout,box vienna,15,9,515.481,1.000,0,413.670
Elite Invite,2023-05-29,YAKA,Bristol,15,10,453.604,1.000,0,571.110
Elite Invite,2023-05-29,YAKA,FABulous,15,7,600.000,1.000,0,745.640
Elite Invite,2023-05-29,YAKA,JinX,15,5,600.000,1.000,0,227.700
Elite Invite,2023-05-29,YAKA,Shout,14,12,220.957,1.000,0,25.200
Elite Invite,2023-05-29,YAKA,box vienna,15,9,515.481,1.000,0,438.870
Elite Invite,2023-05-29,box vienna,3SB - Women,15,7,600.000,1.000,0,326.450
Elite Invite,2023-05-29,box vienna,FABulous,13,9,418.566,1.000,0,306.770
EUCR Gent,2023-08-07,FABulous,Wuf.,15,12,300.492,1.000,0,316.080
EUCR Gent,2023-08-07,Heidees Frauen,FABulous,15,11,381.165,1.000,0,270.070
EUCR Gent,2023-08-07,Heidees Frauen,FABulous,13,11,228.840,1.000,0,270.070
EUCR Gent,2023-08-07,Heidees Frauen,Lillipuc,11,5,600.000,0.918,0,578.420
EUCR Gent,2023-08-07,Heidees Frauen,Seagulls,15,9,515.481,1.000,0,90.570
EUCR Gent,2023-08-07,Jetset LUV,Lillipuc,15,11,381.165,1.000,0,280.290
EUCR Gent,2023-08-07,Jetset LUV,Seagulls,14,11,313.338,1.000,0,-207.560
EUCR Gent,2023-08-07,Jetset LUV,Seagulls,13,8,496.160,1.000,0,-207.560
EUCR Gent,2023-08-07,Jetset LUV,Wuf.,14,12,220.957,1.000,0,288.020
EUCR Gent,2023-08-07,Lillipuc,Wuf.,9,8,125.000,0.946,0,7.730
EUCR Gent,2023-08-07,Mooncup,FABulous,14,7,582.887,1.000,0,659.250
EUCR Gent,2023-08-07,Mooncup,Heidees Frauen,15,13,214.179,1.000,0,389.180
EUCR Gent,2023-08-07,Mooncup,Seagulls,13,7,557.532,1.000,0,479.750
