Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
YAKA,571.730,2,12,10,2,0,0.833,0.634,162,109,4.417,1.000,25,0
Shout,546.530,3,18,16,2,0,0.889,0.534,258,172,4.778,1.000,28,0
Mooncup,485.340,2,12,10,2,0,0.833,0.565,162,112,4.167,1.000,28,0
East Block,375.430,3,17,12,5,0,0.706,0.546,239,190,2.882,1.000,25,0
JinX,344.030,2,12,10,2,0,0.833,0.507,156,118,3.167,1.000,28,0
Iceni,287.770,3,12,9,3,0,0.750,0.517,142,110,2.667,1.000,25,0
CUS Padova Tane Malefiche,254.910,1,6,4,2,0,0.667,0.472,76,64,2.000,1.000,19,0
Troubles Warsaw,240.570,2,12,6,6,0,0.500,0.625,155,151,0.333,1.000,26,0
box vienna,132.860,4,23,10,13,0,0.435,0.585,275,287,-0.522,1.000,28,0
Heidees Frauen,96.160,2,12,6,6,0,0.500,0.482,152,136,1.333,1.000,28,0
Tequila Boom Boom,77.150,3,18,12,6,0,0.667,0.435,228,210,1.000,1.000,28,0
Seagulls,5.590,2,12,5,7,0,0.417,0.525,131,133,-0.167,1.000,26,0
Bristol,0.620,4,22,12,10,0,0.545,0.501,242,229,0.591,1.000,29,0
Gravity,-56.150,3,17,10,7,0,0.588,0.461,189,167,1.294,1.000,26,0
Spice,-97.350,3,14,6,8,0,0.429,0.502,132,144,-0.857,1.000,27,0
SYC,-164.840,1,6,4,2,0,0.667,0.381,54,47,1.167,1.000,18,0
FABulous,-173.910,2,11,2,9,0,0.182,0.590,102,149,-4.273,1.000,26,0
Panthers Wroclaw - Women,-175.640,2,11,4,7,0,0.364,0.348,130,136,-0.545,1.000,22,0
DiscoBolo,-192.450,1,5,1,4,0,0.200,0.539,44,62,-3.600,1.000,19,0
3SB - Women,-193.590,4,24,6,18,0,0.250,0.528,256,326,-2.917,1.000,28,0
Flame,-196.770,2,12,5,7,0,0.417,0.525,111,137,-2.167,1.000,25,0
Jetset LUV,-201.970,2,11,4,7,0,0.364,0.469,113,140,-2.455,1.000,26,0
SCRAM,-408.740,2,10,3,7,0,0.300,0.496,88,108,-2.000,1.000,19,0
Catchup Women,-454.600,1,6,1,5,0,0.167,0.385,62,81,-3.167,1.000,19,0
Lillipuc,-482.260,1,5,1,4,0,0.200,0.336,44,57,-2.600,1.000,16,0
Wuf.,-489.990,1,5,1,4,0,0.200,0.272,48,63,-3.000,1.000,15,0
Oxford,-644.340,1,2,2,0,0,1.000,0.000,23,12,5.500,1.000,6,0
Horizon,-662.750,2,8,2,6,0,0.250,0.368,61,81,-2.500,1.000,22,0
Cheetahs,-739.910,1,5,0,5,0,0.000,0.329,39,69,-6.000,1.000,19,0
Chameleons,-1178.070,2,8,0,8,0,0.000,0.564,32,106,-9.250,1.000,22,0
