Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,DISConnection,FlyHigh,13,7,557.532,1.000,0,550.580
Spring Invite Padova,2023-04-21,DISConnection,Gentle Mixed,15,9,515.481,1.000,0,492.510
Spring Invite Padova,2023-04-21,DISConnection,HoneyMoon,15,6,600.000,1.000,1,1060.520
Spring Invite Padova,2023-04-21,DISConnection,Leamington Lemmings,13,12,125.000,1.000,0,-0.060
Spring Invite Padova,2023-04-21,DISConnection,Owls UC,15,6,600.000,1.000,1,882.270
Spring Invite Padova,2023-04-21,DISConnection,ZomBees,14,8,536.035,1.000,0,846.880
Spring Invite Padova,2023-04-21,FlyHigh,HoneyMoon,15,7,600.000,1.000,0,509.940
Spring Invite Padova,2023-04-21,FlyHigh,HoneyMoon,13,8,496.160,1.000,0,509.940
Spring Invite Padova,2023-04-21,FlyHigh,ZomBees,15,7,600.000,1.000,0,296.300
Spring Invite Padova,2023-04-21,FucZH,FlyHigh,15,9,515.481,1.000,0,154.480
Spring Invite Padova,2023-04-21,FucZH,Gentle Mixed,14,8,536.035,1.000,0,96.410
Spring Invite Padova,2023-04-21,FucZH,Owls UC,11,7,466.893,0.973,0,486.170
Spring Invite Padova,2023-04-21,Gentle Mixed,FucZH,10,9,125.000,1.000,0,-96.410
Spring Invite Padova,2023-04-21,Gentle Mixed,Owls UC,12,8,441.155,1.000,0,389.760
Spring Invite Padova,2023-04-21,Gentle Mixed,ZomBees,15,6,600.000,1.000,0,354.370
Spring Invite Padova,2023-04-21,HoneyMoon,ZomBees,11,9,249.207,1.000,0,-213.640
Spring Invite Padova,2023-04-21,Leamington Lemmings,FucZH,15,5,600.000,1.000,0,396.160
Spring Invite Padova,2023-04-21,Leamington Lemmings,FucZH,15,3,600.000,1.000,0,396.160
Spring Invite Padova,2023-04-21,Leamington Lemmings,Gentle Mixed,15,10,453.604,1.000,0,492.570
Spring Invite Padova,2023-04-21,Leamington Lemmings,HoneyMoon,15,1,600.000,1.000,1,1060.580
Spring Invite Padova,2023-04-21,Leamington Lemmings,Owls UC,15,6,600.000,1.000,1,882.330
Spring Invite Padova,2023-04-21,Owls UC,HoneyMoon,15,8,564.809,1.000,0,178.250
Spring Invite Padova,2023-04-21,ZomBees,FlyHigh,15,14,125.000,1.000,0,-296.300
Spring Invite Padova,2023-04-21,ZomBees,Owls UC,10,9,125.000,1.000,0,35.390
Spring Invite Wroclaw,2023-04-21,FRuBB,Hässliche Erdferkel,11,5,600.000,0.918,0,410.870
Spring Invite Wroclaw,2023-04-21,FRuBB,KS FLOW WROCŁAW,11,10,125.000,1.000,0,281.630
Spring Invite Wroclaw,2023-04-21,FRuBB,KS FLOW WROCŁAW,13,6,600.000,1.000,0,281.630
Spring Invite Wroclaw,2023-04-21,FRuBB,PELT,12,11,125.000,1.000,0,206.870
Spring Invite Wroclaw,2023-04-21,FRuBB,Zoom Ultimate,13,5,600.000,1.000,0,518.490
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,PELT,10,8,262.666,0.973,0,-204.000
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Prague Devils,9,6,418.566,0.889,0,351.260
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Savage Ultimate,12,9,345.365,1.000,0,-49.720
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Transylvania Ultimate,10,9,125.000,1.000,0,475.500
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,Left Overs,7,6,125.000,0.827,0,-195.910
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,RJP,10,9,125.000,1.000,0,200.860
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,Zoom Ultimate,10,9,125.000,1.000,0,236.860
Spring Invite Wroclaw,2023-04-21,Left Overs,FRuBB,11,9,249.207,1.000,0,-85.720
Spring Invite Wroclaw,2023-04-21,Left Overs,PELT,11,9,249.207,1.000,0,121.150
