Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
FRuBB,576.890,1,6,5,1,0,0.833,0.569,69,48,3.500,1.000,15,0
Deep Space,504.390,2,11,8,3,0,0.727,0.574,144,92,4.727,1.000,33,1
GRUT,491.400,2,12,10,2,0,0.833,0.459,165,121,3.667,1.000,29,0
Left Overs,491.170,2,12,9,3,0,0.750,0.520,131,95,3.000,1.000,24,0
Monkey Grenoble,477.110,1,5,5,0,0,1.000,0.486,71,49,4.400,1.000,17,0
Reading,462.220,2,11,8,3,0,0.727,0.564,147,100,4.273,1.000,32,1
Leamington Lemmings,416.200,2,11,9,2,0,0.818,0.441,151,73,7.091,1.000,29,0
DISConnection,416.140,2,12,10,2,0,0.833,0.473,165,115,4.167,1.000,34,1
PELT,370.020,1,6,3,3,0,0.500,0.658,55,54,0.167,1.000,15,0
Sesquidistus,368.380,2,13,8,5,0,0.615,0.607,168,140,2.154,1.000,26,0
Manchots,335.660,1,6,5,1,0,0.833,0.427,83,64,3.167,1.000,15,0
KS FLOW WROCŁAW,295.260,2,11,6,5,0,0.545,0.675,107,109,-0.182,1.000,23,0
AKS ZŁY ULTIMATE,259.700,1,5,3,2,0,0.600,0.600,60,59,0.200,1.000,18,0
Savage Ultimate,215.740,2,11,9,2,0,0.818,0.409,133,101,2.909,1.000,23,0
Tartu Turbulence,205.740,1,6,3,3,0,0.500,0.583,70,72,-0.333,1.000,12,0
Nullacht! Ultimate,174.710,1,6,3,3,0,0.500,0.569,73,75,-0.333,1.000,16,0
Hässliche Erdferkel,166.020,1,7,4,3,0,0.571,0.566,65,65,0.000,1.000,16,0
Smog,95.100,2,11,5,6,0,0.455,0.620,123,130,-0.636,1.000,33,1
RJP,94.400,1,7,4,3,0,0.571,0.492,68,67,0.143,1.000,18,0
Mosquitos,74.910,2,11,5,6,0,0.455,0.446,126,132,-0.545,1.000,35,1
Bremen Ultimate,65.180,1,6,2,4,0,0.333,0.528,72,78,-1.000,1.000,12,0
Zoom Ultimate,58.400,2,10,5,5,0,0.500,0.451,93,92,0.100,1.000,17,0
Malmö Ultimate Club,51.790,1,6,4,2,0,0.667,0.319,68,48,3.333,1.000,12,0
FucZH,20.040,2,12,6,6,0,0.500,0.574,128,141,-1.083,1.000,22,0
Fireball Ultimate,-10.900,1,6,4,2,0,0.667,0.415,50,46,0.667,1.000,14,0
Steamhuck,-15.460,1,5,2,3,0,0.400,0.587,49,47,0.400,1.000,6,0
Catchup Mixed,-71.500,1,6,3,3,0,0.500,0.448,77,67,1.667,1.000,17,0
Gentle Mixed,-76.370,2,12,7,5,0,0.583,0.417,133,126,0.583,1.000,30,1
OldSchool,-96.770,1,6,3,3,0,0.500,0.461,58,58,0.000,1.000,11,0
Shopski Otryad,-109.830,1,5,3,2,0,0.600,0.372,53,44,1.800,1.000,11,0
Glasgow Mixed,-110.060,1,5,3,2,0,0.600,0.469,56,48,1.600,1.000,20,0
FlyHigh,-134.440,2,12,6,6,0,0.500,0.405,144,143,0.083,1.000,22,0
AUT BeeFire,-137.550,1,6,2,4,0,0.333,0.441,64,74,-1.667,1.000,17,0
OUT,-158.360,1,6,3,3,0,0.500,0.473,59,69,-1.667,1.000,20,0
PUC,-172.170,1,6,0,6,0,0.000,0.653,49,87,-6.333,1.000,27,0
DiscoBolo,-173.900,1,5,1,4,0,0.200,0.490,52,63,-2.200,1.000,14,0
Prague Devils,-185.240,1,6,2,4,0,0.333,0.521,49,61,-2.000,1.000,17,0
DTU,-266.220,1,6,2,4,0,0.333,0.486,60,74,-2.333,1.000,12,0
Transylvania Ultimate,-309.480,2,11,1,10,0,0.091,0.519,87,119,-2.909,1.000,20,0
SMOG 2,-325.080,1,5,2,3,0,0.400,0.516,50,58,-1.600,1.000,15,0
CUS Bergamo Ultimate,-407.860,1,5,0,5,0,0.000,0.473,51,72,-4.200,1.000,13,0
ZomBees,-430.740,2,11,3,8,0,0.273,0.449,101,142,-3.727,1.000,32,1
Seahawks Ultimate,-438.130,1,5,1,4,0,0.200,0.356,41,58,-3.400,1.000,14,0
Owls UC,-466.130,2,12,1,11,0,0.083,0.570,95,151,-4.667,1.000,30,1
Oxford Ultimate,-594.260,1,5,3,2,0,0.600,0.291,55,50,1.000,1.000,15,0
BN1,-606.580,1,5,2,3,0,0.400,0.509,43,63,-4.000,1.000,20,0
Rubber Duckies,-620.500,1,5,0,5,0,0.000,0.509,37,70,-6.600,1.000,22,0
HoneyMoon,-644.380,1,6,1,5,0,0.167,0.501,41,82,-6.833,1.000,27,0
Thundering Herd,-733.170,1,5,1,4,0,0.200,0.476,40,64,-4.800,1.000,15,0
Nemesis,-1016.740,1,5,2,3,0,0.400,0.345,43,62,-3.800,1.000,15,0
Flyght Mixed,-1019.090,1,5,1,4,0,0.200,0.425,40,58,-3.600,1.000,16,0
Zoo,-1140.320,1,5,0,5,0,0.000,0.524,32,68,-7.200,1.000,16,0
