Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Leuven,2023-04-21,7 Schwaben,Bora,15,9,515.481,1.000,0,436.580
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,515.481,1.000,0,536.820
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,515.481,1.000,0,225.420
Spring Invite Leuven,2023-04-21,7 Schwaben,XVI,13,8,496.160,1.000,0,115.370
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,125.000,1.000,0,34.600
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,UFO,12,11,125.000,1.000,0,-110.510
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,XVI,13,10,328.142,1.000,0,-8.230
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,600.000,1.000,0,583.350
Spring Invite Leuven,2023-04-21,Bad Skid,Hard2Fisch,15,7,600.000,1.000,0,1002.570
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,600.000,1.000,0,437.930
Spring Invite Leuven,2023-04-21,Bad Skid,Terrible Monkeys,15,8,564.809,1.000,0,579.540
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,125.000,1.000,0,100.240
Spring Invite Leuven,2023-04-21,Bora,Uprising,13,10,328.142,1.000,0,-211.160
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,7 Schwaben,15,8,564.809,1.000,0,149.990
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Aarhus Ultimate,15,9,515.481,1.000,0,273.590
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,SmashD,15,11,381.165,1.000,0,128.170
Spring Invite Leuven,2023-04-21,Freezzz Beezzz,Uprising,13,11,228.840,1.000,0,375.410
Spring Invite Leuven,2023-04-21,Frizzly Bears,Bora,15,8,564.809,1.000,0,278.380
Spring Invite Leuven,2023-04-21,Frizzly Bears,Hard2Fisch,15,11,381.165,1.000,0,384.620
Spring Invite Leuven,2023-04-21,Gentle Open,Bora,15,4,600.000,1.000,1,759.150
Spring Invite Leuven,2023-04-21,Gentle Open,Freezzz Beezzz,15,11,381.165,1.000,0,172.580
Spring Invite Leuven,2023-04-21,Gentle Open,Révolution'air,15,6,600.000,1.000,1,859.390
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,12,300.492,1.000,0,442.360
Spring Invite Leuven,2023-04-21,Gentle Open,Terrible Monkeys,15,0,600.000,1.000,0,442.360
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Aarhus Ultimate,15,9,515.481,1.000,0,588.740
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Bad Skid,15,14,125.000,1.000,0,5.390
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Frizzly Bears,15,10,453.604,1.000,0,623.340
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,Gentle Open,13,12,125.000,1.000,0,142.570
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,SmashD,15,7,600.000,1.000,0,443.320
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open,XVI,15,8,564.809,1.000,0,580.510
Spring Invite Leuven,2023-04-21,SmashD,Hard2Fisch,15,9,515.481,1.000,0,564.640
Spring Invite Leuven,2023-04-21,SmashD,UFO,15,10,453.604,1.000,0,34.910
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Bora,15,9,515.481,1.000,0,316.790
Spring Invite Leuven,2023-04-21,Terrible Monkeys,Révolution'air,15,5,600.000,1.000,0,417.030
Spring Invite Leuven,2023-04-21,Terrible Monkeys,UFO,15,12,300.492,1.000,0,-106.700
Spring Invite Leuven,2023-04-21,UFO,7 Schwaben,15,12,300.492,1.000,0,-13.090
Spring Invite Leuven,2023-04-21,UFO,Freezzz Beezzz,15,13,214.179,1.000,0,-163.080
Spring Invite Leuven,2023-04-21,UFO,Uprising,14,7,582.887,1.000,0,212.330
Spring Invite Leuven,2023-04-21,Uprising,Hard2Fisch,15,4,600.000,1.000,0,317.400
Spring Invite Leuven,2023-04-21,Uprising,Révolution'air,11,10,125.000,1.000,0,311.400
Spring Invite Leuven,2023-04-21,XVI,Frizzly Bears,13,12,125.000,1.000,0,42.830
Spring Invite Leuven,2023-04-21,XVI,Hard2Fisch,15,5,600.000,1.000,0,427.450
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,238.123,1.000,0,320.290
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,564.809,1.000,0,563.400
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,600.000,1.000,1,807.830
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,515.481,1.000,0,442.170
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,564.809,1.000,0,404.340
Spring Invite Padova,2023-04-21,3SB - Open,Red Bulls,15,12,300.492,1.000,0,524.950
Spring Invite Padova,2023-04-21,Alligators,Canieporci,15,9,515.481,1.000,0,703.250
Spring Invite Padova,2023-04-21,Alligators,Cotarica Grandes,11,8,365.609,1.000,0,-0.500
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,214.179,1.000,0,266.730
Spring Invite Padova,2023-04-21,Alligators,Panthers Wroclaw - Open,15,8,564.809,1.000,0,126.140
Spring Invite Padova,2023-04-21,Canieporci,SLOVENIA,15,9,515.481,1.000,0,136.880
Spring Invite Padova,2023-04-21,Cotarica Grandes,Panthers Bern,15,11,381.165,1.000,0,84.550
Spring Invite Padova,2023-04-21,Cotarica Grandes,Red Bulls,15,11,381.165,1.000,0,205.160
Spring Invite Padova,2023-04-21,Cotarica Grandes,SLOVENIA,15,7,600.000,1.000,0,840.630
Spring Invite Padova,2023-04-21,Cotarica Grandes,thebigEZ,15,9,515.481,1.000,0,413.520
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Cotarica Grandes,14,11,313.338,1.000,0,-243.610
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Freespeed,13,12,125.000,1.000,0,88.370
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Hardfisch,15,10,453.604,1.000,0,509.120
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,M.U.C.,13,12,125.000,1.000,0,-452.080
Spring Invite Padova,2023-04-21,FWD>>,Canieporci,15,7,600.000,1.000,0,215.710
Spring Invite Padova,2023-04-21,FWD>>,Hardfisch,14,13,125.000,1.000,0,264.690
Spring Invite Padova,2023-04-21,Flying Angels Bern,Canieporci,15,7,600.000,1.000,0,581.370
Spring Invite Padova,2023-04-21,Flying Angels Bern,FWD>>,13,10,328.142,1.000,0,365.660
Spring Invite Padova,2023-04-21,Freespeed,Flying Angels Bern,13,12,125.000,1.000,0,-209.600
Spring Invite Padova,2023-04-21,Freespeed,Hardfisch,15,4,600.000,1.000,0,420.750
Spring Invite Padova,2023-04-21,Freespeed,Outsiterz,13,12,125.000,1.000,0,-64.750
Spring Invite Padova,2023-04-21,Freespeed,SLOVENIA,15,11,381.165,1.000,0,508.650
Spring Invite Padova,2023-04-21,Hardfisch,SLOVENIA,15,14,125.000,1.000,0,87.900
Spring Invite Padova,2023-04-21,M.U.C.,Alligators,15,10,453.604,1.000,0,208.970
Spring Invite Padova,2023-04-21,M.U.C.,Canieporci,15,4,600.000,1.000,1,912.220
Spring Invite Padova,2023-04-21,M.U.C.,Outsiterz,15,10,453.604,1.000,0,475.700
Spring Invite Padova,2023-04-21,M.U.C.,Panthers Bern,15,12,300.492,1.000,0,293.020
Spring Invite Padova,2023-04-21,M.U.C.,Red Bulls,15,8,564.809,1.000,0,413.630
Spring Invite Padova,2023-04-21,Outsiterz,Canieporci,15,5,600.000,1.000,0,436.520
Spring Invite Padova,2023-04-21,Outsiterz,FWD>>,15,14,125.000,1.000,0,220.810
Spring Invite Padova,2023-04-21,Outsiterz,thebigEZ,15,12,300.492,1.000,0,146.290
Spring Invite Padova,2023-04-21,Panthers Bern,Panthers Wroclaw - Open,15,13,214.179,1.000,0,42.090
Spring Invite Padova,2023-04-21,Panthers Bern,SLOVENIA,15,9,515.481,1.000,0,756.080
Spring Invite Padova,2023-04-21,Panthers Bern,thebigEZ,13,8,496.160,1.000,0,328.970
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Cus Padova Barbastreji,11,9,249.207,1.000,0,116.970
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Freespeed,14,12,220.957,1.000,0,205.340
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Open,Hardfisch,15,8,564.809,1.000,0,626.090
Spring Invite Padova,2023-04-21,Red Bulls,FWD>>,13,12,125.000,1.000,0,282.880
Spring Invite Padova,2023-04-21,Red Bulls,Flying Angels Bern,13,9,418.566,1.000,0,-82.780
Spring Invite Padova,2023-04-21,Red Bulls,Panthers Wroclaw - Open,11,10,125.000,1.000,0,-78.520
Spring Invite Padova,2023-04-21,thebigEZ,Flying Angels Bern,8,7,125.000,0.889,0,-291.140
Spring Invite Padova,2023-04-21,thebigEZ,Hardfisch,15,10,453.604,1.000,0,339.210
Spring Invite Padova,2023-04-21,thebigEZ,SLOVENIA,15,9,515.481,1.000,0,427.110
Elite Invite,2023-05-29,3SB - Open,Chevron Action Flash,15,14,125.000,1.000,0,145.730
Elite Invite,2023-05-29,3SB - Open,Chevron Action Flash,14,11,313.338,1.000,0,145.730
Elite Invite,2023-05-29,3SB - Open,Heidees Open,15,10,453.604,1.000,0,392.480
Elite Invite,2023-05-29,3SB - Open,Ranelagh,15,11,381.165,1.000,0,297.170
Elite Invite,2023-05-29,3SB - Open,Ranelagh,15,10,453.604,1.000,0,297.170
Elite Invite,2023-05-29,BFD La Fotta,Heidees Open,15,10,453.604,1.000,0,572.960
Elite Invite,2023-05-29,BFD La Fotta,Mooncatchers,15,13,214.179,1.000,0,-186.590
Elite Invite,2023-05-29,BFD La Fotta,Wall City,15,12,300.492,1.000,0,176.290
Elite Invite,2023-05-29,BFD La Fotta,Wall City,14,10,398.702,1.000,0,176.290
Elite Invite,2023-05-29,Chevron Action Flash,Heidees Open,14,12,220.957,1.000,0,246.750
Elite Invite,2023-05-29,Chevron Action Flash,Heidees Open,15,6,600.000,1.000,0,246.750
Elite Invite,2023-05-29,Clapham Ultimate,BFD La Fotta,12,11,125.000,1.000,0,-110.530
Elite Invite,2023-05-29,Clapham Ultimate,BFD La Fotta,15,11,381.165,1.000,0,-110.530
Elite Invite,2023-05-29,Clapham Ultimate,Chevron Action Flash,15,11,381.165,1.000,0,215.680
Elite Invite,2023-05-29,Clapham Ultimate,Wall City,14,12,220.957,1.000,0,65.760
Elite Invite,2023-05-29,Heidees Open,Ranelagh,15,14,125.000,1.000,0,-95.310
Elite Invite,2023-05-29,Mooncatchers,Clapham Ultimate,15,12,300.492,1.000,0,297.120
Elite Invite,2023-05-29,Mooncatchers,Clapham Ultimate,15,3,600.000,1.000,0,297.120
Elite Invite,2023-05-29,Mooncatchers,Ranelagh,15,10,453.604,1.000,0,664.240
Elite Invite,2023-05-29,Mooncatchers,Wall City,15,9,515.481,1.000,0,362.880
Elite Invite,2023-05-29,Mooncatchers,Wall City,15,9,515.481,1.000,0,362.880
Elite Invite,2023-05-29,Ranelagh,Chevron Action Flash,13,12,125.000,1.000,0,-151.440
Elite Invite,2023-05-29,Ranelagh,Heidees Open,12,10,238.123,1.000,0,95.310
Elite Invite,2023-05-29,Wall City,3SB - Open,15,11,381.165,1.000,0,4.190
EUCQ Timisoara,2023-06-18,DEAC FreeBees,Azvarlirea,15,3,600.000,1.000,0,599.990
EUCQ Timisoara,2023-06-18,DEAC FreeBees,Azvarlirea,15,1,600.000,1.000,0,599.990
EUCQ Timisoara,2023-06-18,Outsiterz,Azvarlirea,15,0,600.000,1.000,1,1394.300
EUCQ Timisoara,2023-06-18,Outsiterz,DEAC FreeBees,15,3,600.000,1.000,1,794.310
EUCQ Timisoara,2023-06-18,Outsiterz,DEAC FreeBees,15,6,600.000,1.000,1,794.310
EUCQ Timisoara,2023-06-18,Outsiterz,SLOVENIA,15,12,300.492,1.000,0,573.400
EUCQ Timisoara,2023-06-18,SLOVENIA,Azvarlirea,15,0,600.000,1.000,1,820.900
EUCQ Timisoara,2023-06-18,SLOVENIA,Azvarlirea,15,2,600.000,1.000,1,820.900
EUCQ Timisoara,2023-06-18,SLOVENIA,DEAC FreeBees,14,12,220.957,1.000,0,220.910
EUCQ Timisoara,2023-06-18,SLOVENIA,Outsiterz,15,11,381.165,1.000,0,-573.400
EUCR Gent,2023-08-07,Amsterdam Ultimate Club,Aarhus Ultimate,12,10,238.123,1.000,0,247.220
EUCR Gent,2023-08-07,Amsterdam Ultimate Club,Freezzz Beezzz,12,11,125.000,1.000,0,-26.370
EUCR Gent,2023-08-07,Armada,Aarhus Ultimate,9,8,125.000,0.946,0,92.290
EUCR Gent,2023-08-07,Armada,Frizzly Bears,10,7,389.665,0.946,0,126.890
EUCR Gent,2023-08-07,Armada,Frizzly Bears,13,11,228.840,1.000,0,126.890
EUCR Gent,2023-08-07,Bad Skid,Aarhus Ultimate,15,6,600.000,1.000,0,583.350
EUCR Gent,2023-08-07,Bad Skid,Amsterdam Ultimate Club,15,13,214.179,1.000,0,336.130
EUCR Gent,2023-08-07,Bad Skid,Freezzz Beezzz,15,11,381.165,1.000,0,309.760
EUCR Gent,2023-08-07,Bad Skid,Gentle Open,15,11,381.165,1.000,0,137.180
EUCR Gent,2023-08-07,Bad Skid,Københavns Frisbee Klub (KFK),15,9,515.481,1.000,0,68.500
EUCR Gent,2023-08-07,Freezzz Beezzz,Aarhus Ultimate,15,8,564.809,1.000,0,273.590
EUCR Gent,2023-08-07,Freezzz Beezzz,Frizzly Bears,14,11,313.338,1.000,0,308.190
EUCR Gent,2023-08-07,Gentle Open,Amsterdam Ultimate Club,15,8,564.809,1.000,0,198.950
EUCR Gent,2023-08-07,Gentle Open,Heidees Open,15,14,125.000,1.000,0,139.770
EUCR Gent,2023-08-07,Heidees Open,Aarhus Ultimate,15,10,453.604,1.000,0,306.400
EUCR Gent,2023-08-07,Heidees Open,Armada,14,11,313.338,1.000,0,214.110
EUCR Gent,2023-08-07,Københavns Frisbee Klub (KFK),Armada,15,5,600.000,1.000,0,422.560
EUCR Gent,2023-08-07,Københavns Frisbee Klub (KFK),Frizzly Bears,14,9,473.868,1.000,0,549.450
EUCR Gent,2023-08-07,Københavns Frisbee Klub (KFK),Gentle Open,15,10,453.604,1.000,0,68.680
EUCR Gent,2023-08-07,Københavns Frisbee Klub (KFK),Heidees Open,14,12,220.957,1.000,0,208.450
EUCR Gent,2023-08-07,M.U.C.,Amsterdam Ultimate Club,14,11,313.338,1.000,0,340.340
EUCR Gent,2023-08-07,M.U.C.,Armada,15,7,600.000,1.000,0,495.270
EUCR Gent,2023-08-07,M.U.C.,Freezzz Beezzz,15,8,564.809,1.000,0,313.970
EUCR Gent,2023-08-07,M.U.C.,Frizzly Bears,15,4,600.000,1.000,1,622.160
EUCR Gent,2023-08-07,M.U.C.,Københavns Frisbee Klub (KFK),13,12,125.000,1.000,0,72.710
EUCR Gent,2023-08-07,Wall City,Amsterdam Ultimate Club,15,11,381.165,1.000,0,455.850
EUCR Gent,2023-08-07,Wall City,Bad Skid,13,9,418.566,1.000,0,119.720
EUCR Gent,2023-08-07,Wall City,Gentle Open,14,12,220.957,1.000,0,256.900
EUCR Gent,2023-08-07,Wall City,Heidees Open,15,10,453.604,1.000,0,396.670
EUCR Gent,2023-08-07,Wall City,M.U.C.,15,12,300.492,1.000,0,115.510
EUCR Bern,2023-08-27,Alligators,Cus Padova Barbastreji,15,11,381.165,1.000,0,243.110
EUCR Bern,2023-08-27,Alligators,Red Bulls,12,8,441.155,1.000,0,204.660
EUCR Bern,2023-08-27,BFD La Fotta,Alligators,15,7,600.000,1.000,0,500.770
EUCR Bern,2023-08-27,BFD La Fotta,Flying Angels Bern,15,6,600.000,1.000,1,622.650
EUCR Bern,2023-08-27,BFD La Fotta,Flying Angels Bern,15,6,600.000,1.000,1,622.650
EUCR Bern,2023-08-27,BFD La Fotta,Iznogood,15,6,600.000,1.000,1,649.110
EUCR Bern,2023-08-27,BFD La Fotta,Solebang,15,5,600.000,1.000,1,607.860
EUCR Bern,2023-08-27,Cotarica Grandes,Cus Padova Barbastreji,15,10,453.604,1.000,0,243.610
EUCR Bern,2023-08-27,Cotarica Grandes,Freespeed,14,8,536.035,1.000,0,331.980
EUCR Bern,2023-08-27,Cotarica Grandes,Iznogood,11,7,466.893,0.973,0,148.840
EUCR Bern,2023-08-27,Flying Angels Bern,Alligators,15,13,214.179,1.000,0,-121.880
EUCR Bern,2023-08-27,Flying Angels Bern,Panthers Bern,15,10,453.604,1.000,0,-37.830
EUCR Bern,2023-08-27,Flying Angels Bern,Tchac,13,12,125.000,1.000,0,-345.370
EUCR Bern,2023-08-27,Freespeed,Red Bulls,14,9,473.868,1.000,0,-126.820
EUCR Bern,2023-08-27,Iznogood,Freespeed,12,5,600.000,0.946,0,183.140
EUCR Bern,2023-08-27,Iznogood,Solebang,9,8,125.000,0.946,0,-41.250
EUCR Bern,2023-08-27,Panthers Bern,Freespeed,15,12,300.492,1.000,0,247.430
EUCR Bern,2023-08-27,Panthers Bern,Iznogood,11,10,125.000,1.000,0,64.290
EUCR Bern,2023-08-27,Panthers Bern,Red Bulls,15,8,564.809,1.000,0,120.610
EUCR Bern,2023-08-27,Panthers Bern,Solebang,13,10,328.142,1.000,0,23.040
EUCR Bern,2023-08-27,Red Bulls,Cus Padova Barbastreji,14,12,220.957,1.000,0,38.450
EUCR Bern,2023-08-27,Red Bulls,Freespeed,15,0,600.000,1.000,0,126.820
EUCR Bern,2023-08-27,Red Bulls,Iznogood,11,10,125.000,1.000,0,-56.320
EUCR Bern,2023-08-27,Solebang,Cotarica Grandes,11,10,125.000,1.000,0,-107.590
EUCR Bern,2023-08-27,Solebang,Cus Padova Barbastreji,15,6,600.000,1.000,0,136.020
EUCR Bern,2023-08-27,Tchac,Alligators,15,8,564.809,1.000,0,223.490
EUCR Bern,2023-08-27,Tchac,Cotarica Grandes,13,12,125.000,1.000,0,222.990
EUCR Bern,2023-08-27,Tchac,Cus Padova Barbastreji,15,10,453.604,1.000,0,466.600
EUCR Bern,2023-08-27,Tchac,Panthers Bern,14,11,313.338,1.000,0,307.540
EUCR Bern,2023-08-27,Tchac,Solebang,15,8,564.809,1.000,0,330.580
EUCR Warsaw,2023-08-27,FWD>>,NXT,14,10,398.702,1.000,0,319.510
EUCR Warsaw,2023-08-27,FWD>>,PirU,14,12,220.957,1.000,0,2.140
EUCR Warsaw,2023-08-27,FWD>>,Terrible Monkeys,15,14,125.000,1.000,0,-112.760
EUCR Warsaw,2023-08-27,Helsinki Ultimate,Prague Devils,15,7,600.000,1.000,0,-116.480
