Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,914.530,1,6,5,1,0,0.833,0.627,88,58,5.000,1.000,20,0
BFD La Fotta,727.940,2,11,9,2,0,0.818,0.520,156,102,4.909,1.000,32,1
Clapham Ultimate,617.410,2,10,7,3,0,0.700,0.651,127,110,1.700,1.000,28,0
Wall City,551.650,2,11,6,5,0,0.545,0.710,139,138,0.091,1.000,35,1
3SB - Open,547.460,2,12,11,1,0,0.917,0.483,172,124,4.000,1.000,41,1
Tchac,450.660,1,6,5,1,0,0.833,0.486,84,62,3.667,1.000,19,0
JetSet Ultimate Open,437.320,1,6,6,0,0,1.000,0.465,88,60,4.667,1.000,27,0
M.U.C.,436.140,2,12,10,2,0,0.833,0.471,171,114,4.750,1.000,44,1
Bad Skid,431.930,2,11,9,2,0,0.818,0.472,158,105,4.818,1.000,33,1
Chevron Action Flash,401.730,2,10,6,4,0,0.600,0.553,134,110,2.400,1.000,26,0
Københavns Frisbee Klub (KFK),363.430,1,6,4,2,0,0.667,0.543,79,64,2.500,1.000,27,0
Alba,355.840,1,5,4,1,0,0.800,0.491,73,48,5.000,1.000,18,0
Gentle Open,294.750,2,11,7,4,0,0.636,0.486,150,112,3.455,1.000,31,1
Ranelagh,250.290,2,11,5,6,0,0.455,0.561,143,140,0.273,1.000,30,1
Cotarica Grandes,227.670,2,11,7,4,0,0.636,0.451,141,112,2.636,1.000,27,0
Alligators,227.170,2,11,6,5,0,0.545,0.634,131,129,0.182,1.000,38,1
Heidees Open,154.980,2,11,3,8,0,0.273,0.588,128,150,-2.000,1.000,35,1
Panthers Bern,143.120,2,12,7,5,0,0.583,0.558,149,144,0.417,1.000,36,1
Freezzz Beezzz,122.170,2,11,6,5,0,0.545,0.503,141,130,1.000,1.000,35,1
Solebang,120.080,1,6,2,4,0,0.333,0.595,57,68,-1.833,1.000,20,0
