Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.142,1.000,0,241.910
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.809,1.000,0,542.350
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.000,1.000,0,-25.430
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.809,1.000,0,675.060
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.155,1.000,0,444.010
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.179,1.000,0,-138.750
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.481,1.000,0,144.880
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.338,1.000,0,300.440
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.160,0.918,0,531.490
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.604,1.000,0,582.760
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.481,1.000,0,190.130
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.000,1.000,0,283.630
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.604,1.000,0,267.340
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.155,1.000,0,267.340
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Cheetahs,15,8,564.809,1.000,0,567.780
Spring Invite Padova,2023-04-21,Shout,3SB - Women,15,11,381.165,1.000,0,714.400
Spring Invite Padova,2023-04-21,Shout,CUS Padova Tane Malefiche,11,8,365.609,1.000,0,281.250
Spring Invite Padova,2023-04-21,Shout,DiscoBolo,15,6,600.000,1.000,1,725.260
