Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Leamington Lemmings,558.010,1,6,5,1,0,0.833,0.472,87,38,8.167,2.000,7,0
DISConnection,447.310,1,6,6,0,0,1.000,0.417,85,48,6.167,2.000,7,0
FRuBB,339.200,1,6,5,1,0,0.833,0.468,69,48,3.500,1.000,9,0
Left Overs,276.520,1,7,5,2,0,0.714,0.429,65,49,2.286,1.000,9,0
FucZH,183.480,1,6,3,3,0,0.500,0.556,57,64,-1.167,2.000,7,0
Savage Ultimate,149.090,1,6,5,1,0,0.833,0.413,68,53,2.500,1.000,9,0
PELT,145.730,1,6,3,3,0,0.500,0.571,55,54,0.167,1.000,9,0
Gentle Mixed,71.990,1,6,3,3,0,0.500,0.556,64,67,-0.500,2.000,7,0
Hässliche Erdferkel,29.820,1,7,4,3,0,0.571,0.558,65,65,0.000,1.000,9,0
KS FLOW WROCŁAW,3.750,1,7,3,4,0,0.429,0.636,56,65,-1.286,1.000,9,0
RJP,-57.140,1,7,4,3,0,0.571,0.459,68,67,0.143,1.000,9,0
FlyHigh,-126.140,1,6,3,3,0,0.500,0.417,73,65,1.333,2.000,7,0
Zoom Ultimate,-201.200,1,6,1,5,0,0.167,0.468,48,61,-2.167,1.000,9,0
Owls UC,-224.800,1,6,1,5,0,0.167,0.556,51,71,-3.333,2.000,7,0
Prague Devils,-325.690,1,6,2,4,0,0.333,0.452,49,61,-2.000,1.000,9,0
ZomBees,-376.560,1,6,2,4,0,0.333,0.472,55,78,-3.833,2.000,7,0
Transylvania Ultimate,-386.850,1,6,0,6,0,0.000,0.532,46,66,-3.333,1.000,9,0
HoneyMoon,-566.350,1,6,1,5,0,0.167,0.556,41,82,-6.833,2.000,7,0
