Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
3SB - Open,546.060,1,6,6,0,0,1.000,0.500,87,53,5.667,1.000,15,0
JetSet Ultimate Open,517.260,1,6,6,0,0,1.000,0.556,88,60,4.667,2.000,13,0
Gentle Open,465.110,1,6,5,1,0,0.833,0.500,87,46,6.833,2.000,13,0
Bad Skid,459.390,1,5,4,1,0,0.800,0.480,74,42,6.400,2.000,13,0
M.U.C.,458.740,1,6,5,1,0,0.833,0.500,87,57,5.000,1.000,15,0
Alligators,297.160,1,6,4,2,0,0.667,0.611,76,65,1.833,1.000,15,0
Freezzz Beezzz,212.240,1,6,4,2,0,0.667,0.539,82,69,2.167,2.000,14,0
Cotarica Grandes,175.080,1,6,4,2,0,0.667,0.472,79,63,2.667,1.000,15,0
Cus Padova Barbastreji,162.670,1,6,4,2,0,0.667,0.639,72,71,0.167,1.000,15,0
Terrible Monkeys,90.980,1,6,3,3,0,0.500,0.550,65,71,-1.000,2.000,13,0
Panthers Bern,74.930,1,6,3,3,0,0.500,0.583,74,75,-0.167,1.000,15,0
Red Bulls,74.100,1,6,3,3,0,0.500,0.611,68,76,-1.333,1.000,15,0
Panthers Wroclaw - Open,47.580,1,6,3,3,0,0.500,0.528,71,70,0.167,1.000,15,0
Outsiterz,37.370,1,6,3,3,0,0.500,0.528,80,74,1.000,1.000,15,0
UFO,33.580,1,6,3,3,0,0.500,0.511,77,74,0.500,2.000,14,0
7 Schwaben,17.190,1,6,4,2,0,0.667,0.372,78,65,2.167,2.000,13,0
SmashD,10.980,1,5,2,3,0,0.400,0.593,54,64,-2.000,2.000,12,0
Freespeed,5.090,1,6,4,2,0,0.667,0.361,80,66,2.333,1.000,15,0
Aarhus Ultimate,-6.600,1,6,3,3,0,0.500,0.628,64,80,-2.667,2.000,13,0
Frizzly Bears,-59.040,1,5,2,3,0,0.400,0.447,66,62,0.800,2.000,14,0
Flying Angels Bern,-62.240,1,6,2,4,0,0.333,0.528,65,66,-0.167,1.000,15,0
FWD>>,-142.700,1,6,2,4,0,0.333,0.444,71,76,-0.833,1.000,15,0
XVI,-150.160,1,5,2,3,0,0.400,0.513,54,58,-0.800,2.000,13,0
thebigEZ,-176.600,1,6,3,3,0,0.500,0.361,67,69,-0.333,1.000,15,0
Uprising,-341.800,1,6,2,4,0,0.333,0.361,63,69,-1.000,2.000,13,0
Bora,-342.600,1,6,2,4,0,0.333,0.456,56,82,-4.333,2.000,13,0
Canieporci,-450.200,1,6,1,5,0,0.167,0.444,47,84,-6.167,1.000,15,0
Hardfisch,-459.430,1,6,1,5,0,0.167,0.444,60,88,-4.667,1.000,15,0
Révolution'air,-485.420,1,5,0,5,0,0.000,0.533,42,69,-5.400,2.000,12,0
Hard2Fisch,-555.460,1,5,0,5,0,0.000,0.467,36,75,-7.800,2.000,13,0
SLOVENIA,-580.620,1,6,0,6,0,0.000,0.444,59,90,-5.167,1.000,15,0
