Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,3SB - Women,Catchup Women,13,10,328.142,1.000,0,348.240
Spring Invite Padova,2023-04-21,3SB - Women,Cheetahs,15,8,564.809,1.000,0,622.060
Spring Invite Padova,2023-04-21,3SB - Women,Panthers Wroclaw - Women,14,13,125.000,1.000,0,76.360
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,Catchup Women,15,8,564.809,1.000,0,667.990
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,DiscoBolo,12,8,441.155,1.000,0,444.150
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,East Block,15,13,214.179,1.000,0,-116.930
Spring Invite Padova,2023-04-21,CUS Padova Tane Malefiche,box vienna,15,9,515.481,1.000,0,154.530
Spring Invite Padova,2023-04-21,Catchup Women,Cheetahs,14,11,313.338,1.000,0,273.820
Spring Invite Padova,2023-04-21,DiscoBolo,Cheetahs,10,6,496.160,0.918,0,497.660
Spring Invite Padova,2023-04-21,East Block,DiscoBolo,15,10,453.604,1.000,0,561.080
Spring Invite Padova,2023-04-21,East Block,Tequila Boom Boom,15,9,515.481,1.000,0,296.280
Spring Invite Padova,2023-04-21,East Block,box vienna,15,5,600.000,1.000,0,271.460
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,15,10,453.604,1.000,0,271.880
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Catchup Women,12,8,441.155,1.000,0,271.880
Spring Invite Padova,2023-04-21,Panthers Wroclaw - Women,Cheetahs,15,8,564.809,1.000,0,545.700
Spring Invite Padova,2023-04-21,Shout,3SB - Women,15,11,381.165,1.000,0,635.210
Spring Invite Padova,2023-04-21,Shout,CUS Padova Tane Malefiche,11,8,365.609,1.000,0,315.460
Spring Invite Padova,2023-04-21,Shout,DiscoBolo,15,6,600.000,1.000,1,759.610
Spring Invite Padova,2023-04-21,Shout,East Block,15,14,125.000,1.000,0,198.530
Spring Invite Padova,2023-04-21,Shout,East Block,15,11,381.165,1.000,0,198.530
Spring Invite Padova,2023-04-21,Shout,box vienna,15,8,564.809,1.000,0,469.990
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,15,11,381.165,1.000,0,140.400
Spring Invite Padova,2023-04-21,Tequila Boom Boom,3SB - Women,13,12,125.000,1.000,0,140.400
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Catchup Women,15,12,300.492,1.000,0,488.640
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Cheetahs,15,6,600.000,1.000,1,762.460
Spring Invite Padova,2023-04-21,Tequila Boom Boom,Panthers Wroclaw - Women,14,10,398.702,1.000,0,216.760
Spring Invite Padova,2023-04-21,box vienna,CUS Padova Tane Malefiche,15,11,381.165,1.000,0,-154.530
Spring Invite Padova,2023-04-21,box vienna,DiscoBolo,14,10,398.702,1.000,0,289.620
Spring Invite Padova,2023-04-21,box vienna,Panthers Wroclaw - Women,15,11,381.165,1.000,0,241.580
Spring Invite UK,2023-04-23,Bristol,Horizon,15,2,600.000,1.000,0,599.960
Spring Invite UK,2023-04-23,Bristol,Spice,14,10,398.702,1.000,0,352.350
Spring Invite UK,2023-04-23,Gravity,Bristol,10,9,125.000,1.000,0,78.580
Spring Invite UK,2023-04-23,Gravity,SCRAM,13,5,600.000,1.000,0,815.480
Spring Invite UK,2023-04-23,Gravity,Spice,15,6,600.000,1.000,0,430.930
Spring Invite UK,2023-04-23,Horizon,Chameleons,15,1,600.000,1.000,0,599.970
Spring Invite UK,2023-04-23,Iceni,SCRAM,15,6,600.000,1.000,0,600.000
Spring Invite UK,2023-04-23,Oxford,Chameleons,8,5,453.604,0.827,0,533.730
Spring Invite UK,2023-04-23,Oxford,Chameleons,15,7,600.000,1.000,0,533.730
Spring Invite UK,2023-04-23,Spice,SCRAM,15,6,600.000,1.000,0,384.550
