Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Shout,565.750,1,6,6,0,0,1.000,0.478,86,58,4.667,1.000,9,0
Gravity,535.360,1,3,3,0,0,1.000,0.333,38,20,6.000,2.000,5,0
Bristol,456.780,1,3,2,1,0,0.667,0.611,38,22,5.333,2.000,5,0
East Block,367.220,1,6,3,3,0,0.500,0.700,83,69,2.333,1.000,9,0
Iceni,319.880,1,1,1,0,0,1.000,0.000,15,6,9.000,2.000,3,0
CUS Padova Tane Malefiche,250.290,1,6,4,2,0,0.667,0.478,76,64,2.000,1.000,9,0
Spice,104.430,1,3,1,2,0,0.333,0.556,31,35,-1.333,2.000,5,0
box vienna,95.760,1,6,3,3,0,0.500,0.589,66,77,-1.833,1.000,9,0
Tequila Boom Boom,70.940,1,6,5,1,0,0.833,0.361,81,66,2.500,1.000,9,0
3SB - Women,-69.460,1,6,3,3,0,0.500,0.556,76,74,0.333,1.000,9,0
Horizon,-143.180,1,2,1,1,0,0.500,0.333,17,16,0.500,2.000,5,0
Panthers Wroclaw - Women,-145.820,1,6,3,3,0,0.500,0.361,76,69,1.167,1.000,9,0
DiscoBolo,-193.860,1,5,1,4,0,0.200,0.533,44,62,-3.600,1.000,9,0
Oxford,-209.420,1,2,2,0,0,1.000,0.000,23,12,5.500,2.000,2,0
SCRAM,-280.120,1,3,0,3,0,0.000,0.778,17,43,-8.667,2.000,4,0
Catchup Women,-417.700,1,6,1,5,0,0.167,0.500,62,81,-3.167,1.000,9,0
Cheetahs,-691.520,1,5,0,5,0,0.000,0.440,39,69,-6.000,1.000,9,0
Chameleons,-743.150,1,3,0,3,0,0.000,0.833,13,38,-8.333,2.000,3,0
