Team,Wildcard_Event,Division,Wildcard_Date,Season
Mooncatchers,Elite Invite,Open,5/12/2024,2024
Leamington Lemmings,Elite Invite,Mixed,5/12/2024,2024
Jinx Midnight,Elite Invite,Women,5/12/2024,2024
Deep Space,Summer Tour - Birimingham,Mixed,8/4/2024,2024
Ranelagh,Summer Tour - Malmö,Open,8/4/2024,2024
Atletico,Summer Tour - Malmö,Women,8/4/2024,2024
Tartu Turbulence,Summer Tour - Warsaw,Mixed,8/18/2024,2024
Tiefseetaucher,Summer Tour - Freiburg,Mixed,8/18/2024,2024
One Tribe,Summer Tour - Chambery,Open,8/18/2024,2024
3SB,Summer Tour - Trnava,Open,8/18/2024,2024
Chevron Action Flash,Summer Tour - Leicester,Open,8/18/2024,2024
Wall City,Summer Tour - Heilbronn,Open,8/18/2024,2024
wuf.,Summer Tour - Chambery,Women,8/18/2024,2024
3SB,Summer Tour - Trnava,Women,8/18/2024,2024
