Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,746.770,1,6,6,0,0,1.000,0.647,88,45,7.167,1.000,21,0
Glasgow Ultimate,428.120,1,6,6,0,0,1.000,0.389,77,40,6.167,1.000,7,0
Mosquitos,391.280,1,6,5,1,0,0.833,0.647,79,60,3.167,1.000,21,0
Leamington Lemmings,375.030,1,6,5,1,0,0.833,0.492,81,67,2.333,1.000,20,0
Deep Space,355.860,2,12,9,3,0,0.750,0.535,161,122,3.250,1.000,28,0
Sesquidistus,351.500,3,8,6,2,0,0.750,0.457,110,86,3.000,1.000,25,0
Cus Padova Rangərs,196.500,1,5,4,1,0,0.800,0.467,63,38,5.000,1.000,16,0
PELT,188.490,1,6,4,2,0,0.667,0.611,70,59,1.833,1.000,13,0
PUC,180.220,3,9,6,3,0,0.667,0.506,113,83,3.333,1.000,21,0
Reading Ultimate,130.450,1,6,3,3,0,0.500,0.450,78,77,0.167,1.000,19,0
Heroes Flying Disc,78.510,1,6,3,3,0,0.500,0.569,66,65,0.167,1.000,21,0
Nullacht! Ultimate,66.680,2,12,6,6,0,0.500,0.482,143,133,0.833,1.000,21,0
Sky This Warszawa,31.730,1,6,5,1,0,0.833,0.389,75,67,1.333,1.000,13,0
Frubb,10.220,1,5,4,1,0,0.800,0.400,66,56,2.000,1.000,14,0
Malmö Ultimate Club,-19.250,1,6,3,3,0,0.500,0.611,64,63,0.167,1.000,13,0
BN1,-19.330,1,6,3,3,0,0.500,0.522,73,65,1.333,1.000,16,0
Manchots,-21.390,2,7,2,5,0,0.286,0.524,81,96,-2.143,1.000,14,0
Tartu Turbulence,-29.340,1,6,1,5,0,0.167,0.492,74,85,-1.833,1.000,20,0
Disconnection,-30.130,1,6,1,5,0,0.167,0.548,67,80,-2.167,1.000,14,0
OUT,-70.040,1,6,3,3,0,0.500,0.475,67,62,0.833,1.000,20,0
Savage Ultimate,-116.390,1,6,2,4,0,0.333,0.472,61,67,-1.000,1.000,13,0
Colorado,-122.450,1,6,2,4,0,0.333,0.486,65,65,0.000,1.000,21,0
Remix,-189.600,1,3,1,2,0,0.333,0.444,32,31,0.333,1.000,13,0
The Owls,-337.600,2,9,3,6,0,0.333,0.509,76,113,-4.111,1.000,21,0
Nuclear Discs,-430.980,1,6,1,5,0,0.167,0.489,52,72,-3.333,1.000,14,0
Wiener Mischung,-460.470,1,6,0,6,0,0.000,0.583,49,89,-6.667,1.000,13,0
DTU,-468.440,1,6,1,5,0,0.167,0.528,43,77,-5.667,1.000,13,0
W.underteam,-473.130,1,6,2,4,0,0.333,0.389,40,78,-6.333,1.000,16,0
AKS Zły Ultimate,-541.800,1,6,1,5,0,0.167,0.361,56,76,-3.333,1.000,16,0
Zombees,-768.510,1,6,0,6,0,0.000,0.461,34,87,-8.833,1.000,15,0
