Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,556.080,2,12,12,0,0,1.000,0.437,171,130,3.417,1.000,26,0
Clapham,477.540,2,12,10,2,0,0.833,0.477,166,128,3.167,1.000,36,1
BFD LaFotta,471.980,4,17,10,7,0,0.588,0.593,220,180,2.353,1.000,30,1
Wall City,463.310,1,6,4,2,0,0.667,0.471,86,78,1.333,1.000,19,0
Gentle,407.990,1,6,3,3,0,0.500,0.692,79,81,-0.333,1.000,21,0
3SB,397.890,1,6,6,0,0,1.000,0.485,89,47,7.000,1.000,19,0
One Tribe,396.650,3,8,6,2,0,0.750,0.491,107,85,2.750,1.000,24,0
Ranelagh,373.530,1,6,4,2,0,0.667,0.441,81,63,3.000,1.000,22,0
Tchac,367.970,2,14,12,2,0,0.857,0.530,179,130,3.500,1.000,46,1
Chevron Action Flash,352.280,2,9,4,5,0,0.444,0.674,113,114,-0.111,1.000,33,0
Cotarica Grandes,252.930,3,14,9,5,0,0.643,0.484,182,146,2.571,1.000,44,1
XVI,234.820,1,6,5,1,0,0.833,0.574,75,56,3.167,1.000,28,0
Bristol,233.320,1,3,2,1,0,0.667,0.495,33,34,-0.333,1.000,23,0
Grut,214.360,2,8,5,3,0,0.625,0.496,93,77,2.000,1.000,28,0
FrankN,158.940,1,3,3,0,0,1.000,0.357,40,24,5.333,1.000,19,0
Jetset Open,150.510,2,13,3,10,0,0.231,0.622,155,168,-1.000,1.000,37,1
Quijotes,122.360,2,9,6,3,0,0.667,0.498,101,87,1.556,1.000,31,0
Bad Skid,107.480,1,6,2,4,0,0.333,0.533,75,76,-0.167,1.000,21,0
Iznogood,93.490,4,15,9,6,0,0.600,0.492,179,140,2.600,1.000,29,0
Catchup Graz,64.060,2,9,5,4,0,0.556,0.562,106,116,-1.111,1.000,32,0
Heidees,17.150,1,6,5,1,0,0.833,0.407,83,54,4.833,1.000,19,0
Alba,5.730,1,6,1,5,0,0.167,0.614,56,87,-5.167,1.000,22,0
KFK,-41.980,1,6,4,2,0,0.667,0.472,76,66,1.667,1.000,14,0
SMOG,-48.140,1,6,3,3,0,0.500,0.488,77,75,0.333,1.000,25,0
Outsiterz,-92.530,3,15,7,8,0,0.467,0.486,168,177,-0.600,1.000,40,1
Terrible Monkeys,-98.990,1,6,4,2,0,0.667,0.376,76,64,2.000,1.000,18,0
thebigEZ,-107.390,2,11,6,5,0,0.545,0.546,120,122,-0.182,1.000,33,1
Panthers Bern Ultimate,-111.260,1,6,1,5,0,0.167,0.525,60,84,-4.000,1.000,22,0
Monkey,-135.700,2,7,3,4,0,0.429,0.645,72,89,-2.429,1.000,29,0
Freezzz Beezzz,-157.260,3,12,6,6,0,0.500,0.393,145,137,0.667,1.000,25,0
Flying Angels Bern,-160.940,2,9,5,4,0,0.556,0.383,109,94,1.667,1.000,29,0
KFUM Örebro Frisbee,-186.080,1,6,3,3,0,0.500,0.539,65,70,-0.833,1.000,19,0
Uprising Ultimate,-190.670,2,10,4,6,0,0.400,0.567,105,111,-0.600,1.000,23,0
REDBULLS,-194.480,1,6,1,5,0,0.167,0.417,61,84,-3.833,1.000,16,0
DiscoBolo,-212.230,1,6,1,5,0,0.167,0.478,62,86,-4.000,1.000,21,0
Hardfisch,-219.390,1,6,1,5,0,0.167,0.588,54,84,-5.000,1.000,39,0
UFO,-236.570,2,9,4,5,0,0.444,0.485,108,113,-0.556,1.000,35,0
Solebang,-247.790,1,6,2,4,0,0.333,0.439,64,60,0.667,1.000,24,0
Smash'D,-315.540,1,6,3,3,0,0.500,0.463,65,73,-1.333,1.000,24,0
Panthers Wrocław,-352.650,1,6,2,4,0,0.333,0.456,62,71,-1.500,1.000,19,0
FWD>>,-434.580,2,9,2,7,0,0.222,0.436,95,110,-1.667,1.000,24,0
Freespeed,-443.340,1,6,1,5,0,0.167,0.453,53,69,-2.667,1.000,26,0
Ka-Pow!,-463.960,1,3,1,2,0,0.333,0.415,27,38,-3.667,1.000,23,0
Armada,-515.470,1,3,1,2,0,0.333,0.404,27,38,-3.667,1.000,19,0
AUT Beefree,-606.700,2,7,1,6,0,0.143,0.487,47,89,-6.000,1.000,36,0
Aarhus,-629.480,1,6,1,5,0,0.167,0.463,44,75,-5.167,1.000,23,0
ZU PlatZHirsch,-692.930,2,8,1,7,0,0.125,0.471,66,109,-5.375,1.000,28,0
Atrofované Ruce,-755.470,1,6,0,6,0,0.000,0.459,43,86,-7.167,1.000,18,0
Révolution'Air,-759.000,2,9,1,8,0,0.111,0.405,68,113,-5.000,1.000,23,0
