Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,618.290,3,14,14,0,0,1.000,0.518,204,100,7.429,1.000,31,1
Deep Space,494.720,4,21,18,3,0,0.857,0.549,275,199,3.619,1.000,33,1
Sesquidistus,477.890,4,14,11,3,0,0.786,0.491,197,142,3.929,1.000,30,1
Leamington Lemmings,446.030,3,14,9,5,0,0.643,0.604,171,151,1.429,1.000,28,0
Reading Ultimate,369.290,3,14,8,6,0,0.571,0.563,174,157,1.214,1.000,27,0
Mosquitos,262.590,2,12,10,2,0,0.833,0.518,163,114,4.083,1.000,34,1
Tartu Turbulence,249.230,2,11,6,5,0,0.545,0.520,140,122,1.636,1.000,32,1
Disconnection,219.050,3,14,4,10,0,0.286,0.661,165,174,-0.643,1.000,30,1
Nullacht! Ultimate,217.500,3,18,10,8,0,0.556,0.484,224,190,1.889,1.000,32,1
Glasgow Ultimate,186.030,3,11,6,5,0,0.545,0.483,119,96,2.091,1.000,30,1
Manchots,155.920,2,7,2,5,0,0.286,0.596,81,96,-2.143,1.000,25,0
PELT,152.800,2,11,7,4,0,0.636,0.486,136,106,2.727,1.000,31,1
PUC,150.350,4,10,7,3,0,0.700,0.486,128,91,3.700,1.000,29,0
Sky This Warszawa,80.000,2,12,10,2,0,0.833,0.426,147,128,1.583,1.000,30,1
Heck,78.860,3,11,6,5,0,0.545,0.551,105,126,-1.909,1.000,31,1
Cus Padova Rangərs,12.100,3,12,7,5,0,0.583,0.429,138,106,2.667,1.000,30,1
Savage Ultimate,-5.000,2,12,6,6,0,0.500,0.454,139,124,1.250,1.000,33,1
BN1,-110.410,3,13,4,9,0,0.308,0.564,129,153,-1.846,1.000,33,1
Heroes Flying Disc,-119.230,2,12,5,7,0,0.417,0.551,123,130,-0.583,1.000,33,1
Remix,-135.900,4,11,6,5,0,0.545,0.482,121,118,0.273,1.000,27,0
Malmö Ultimate Club,-141.160,2,11,4,7,0,0.364,0.507,109,115,-0.545,1.000,31,1
Colorado,-214.520,2,12,4,8,0,0.333,0.502,127,131,-0.333,1.000,31,1
OUT,-243.460,2,11,5,6,0,0.455,0.412,119,121,-0.182,1.000,33,1
KS Flow Wrocław,-316.550,1,6,2,4,0,0.333,0.483,61,72,-1.833,1.000,26,0
Frubb,-334.290,2,11,5,6,0,0.455,0.472,110,139,-2.636,1.000,33,1
The Owls,-359.020,3,15,5,10,0,0.333,0.549,126,186,-4.000,1.000,32,1
Zoom Ultimate,-362.730,4,11,5,6,0,0.455,0.416,97,120,-2.091,1.000,29,0
Wiener Mischung,-387.220,2,12,1,11,0,0.083,0.524,96,168,-6.000,1.000,31,1
DTU,-425.790,1,6,1,5,0,0.167,0.480,43,77,-5.667,1.000,25,0
Steamhuck,-487.760,3,9,2,7,0,0.222,0.476,74,104,-3.333,1.000,27,0
Fireball Ultimate,-612.760,1,1,0,1,0,0.000,0.222,6,7,-1.000,1.000,7,0
W.underteam,-633.900,1,6,2,4,0,0.333,0.336,40,78,-6.333,1.000,28,0
Nuclear Discs,-675.990,1,6,1,5,0,0.167,0.374,52,72,-3.333,1.000,26,0
AKS Zły Ultimate,-719.740,2,11,1,10,0,0.091,0.395,76,149,-6.636,1.000,33,1
Zombees,-1089.640,1,6,0,6,0,0.000,0.347,34,87,-8.833,1.000,25,0
