Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Gentle Invite,2024-03-16,Freezzz Beezzz,Armada,15,7,600.000,1.000,0,251.790
Gentle Invite,2024-03-16,Iznogood,Armada,15,8,564.809,1.000,0,532.700
Gentle Invite,2024-03-17,Iznogood,Freezzz Beezzz,14,12,220.957,1.000,0,280.910
Spring Tour 2024 Brno,2024-04-20,3SB,KFUM Örebro Frisbee,14,8,536.035,1.000,0,409.130
Spring Tour 2024 Brno,2024-04-20,3SB,Outsiterz,15,10,453.604,1.000,0,383.510
Spring Tour 2024 Brno,2024-04-20,3SB,thebigEZ,15,8,564.809,1.000,0,481.760
Spring Tour 2024 Brno,2024-04-20,FWD>>,Atrofované Ruce,14,6,600.000,1.000,0,244.100
Spring Tour 2024 Brno,2024-04-20,KFK,Atrofované Ruce,15,9,515.481,1.000,0,676.940
Spring Tour 2024 Brno,2024-04-20,KFK,Uprising Ultimate,11,9,249.207,1.000,0,176.240
Spring Tour 2024 Brno,2024-04-20,Outsiterz,Panthers Wrocław,14,11,313.338,1.000,0,261.240
Spring Tour 2024 Brno,2024-04-20,Panthers Wrocław,KFUM Örebro Frisbee,12,11,125.000,1.000,0,-235.620
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,Atrofované Ruce,15,8,564.809,1.000,0,712.310
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,FWD>>,15,8,564.809,1.000,0,468.210
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,KFK,13,11,228.840,1.000,0,35.370
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,FWD>>,13,12,125.000,1.000,0,256.600
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,Terrible Monkeys,15,7,600.000,1.000,0,-211.610
Spring Tour 2024 Brno,2024-04-20,thebigEZ,KFUM Örebro Frisbee,12,9,345.365,1.000,0,-72.630
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Outsiterz,10,9,125.000,1.000,0,-98.250
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Panthers Wrocław,11,10,125.000,1.000,0,162.990
Spring Tour 2024 Grenoble,2024-04-20,Flying Angels Bern,Aarhus,12,6,579.311,0.973,0,408.930
Spring Tour 2024 Grenoble,2024-04-20,Freezzz Beezzz,Freespeed,15,8,564.809,1.000,0,229.370
Spring Tour 2024 Grenoble,2024-04-20,Grut,Freespeed,13,8,496.160,1.000,0,581.390
Spring Tour 2024 Grenoble,2024-04-20,Grut,SMOG,14,12,220.957,1.000,0,217.310
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Révolution'Air,15,3,600.000,1.000,1,799.380
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Smash'D,15,11,381.165,1.000,0,336.990
Spring Tour 2024 Grenoble,2024-04-20,Heidees,UFO,15,10,453.604,1.000,0,317.050
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,AUT Beefree,14,5,600.000,1.000,1,683.220
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,Solebang,12,10,238.123,1.000,0,317.970
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Aarhus,13,8,496.160,1.000,0,424.550
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Flying Angels Bern,14,13,125.000,1.000,0,15.620
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,AUT Beefree,13,8,496.160,1.000,0,725.830
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Iznogood,10,9,125.000,1.000,0,42.610
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Solebang,11,9,249.207,1.000,0,360.580
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freespeed,13,10,328.142,1.000,0,364.080
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freezzz Beezzz,15,12,300.492,1.000,0,134.710
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,Révolution'Air,15,10,453.604,1.000,0,462.390
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,ZU PlatZHirsch,15,8,564.809,1.000,0,482.520
Spring Tour 2024 Grenoble,2024-04-20,Solebang,AUT Beefree,13,5,600.000,1.000,0,365.250
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Freezzz Beezzz,15,6,600.000,1.000,0,526.300
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Grut,11,10,125.000,1.000,0,174.280
Spring Tour 2024 Grenoble,2024-04-20,Tchac,SMOG,15,10,453.604,1.000,0,391.590
Spring Tour 2024 Grenoble,2024-04-20,UFO,Révolution'Air,15,9,515.481,1.000,0,482.330
Spring Tour 2024 Grenoble,2024-04-20,UFO,ZU PlatZHirsch,13,10,328.142,1.000,0,502.460
Spring Tour 2024 Grenoble,2024-04-20,XVI,Aarhus,15,6,600.000,1.000,1,723.410
Spring Tour 2024 Grenoble,2024-04-20,XVI,Flying Angels Bern,13,9,418.566,1.000,0,314.480
Spring Tour 2024 Grenoble,2024-04-20,XVI,Monkey,15,8,564.809,1.000,0,298.860
Spring Tour 2024 Grenoble,2024-04-20,ZU PlatZHirsch,Révolution'Air,12,8,441.155,1.000,0,-20.130
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,One Tribe,13,9,418.566,1.000,0,155.790
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,REDBULLS,15,8,564.809,1.000,0,674.610
Spring Tour 2024 Padova,2024-04-20,Catchup Graz,Bad Skid,14,12,220.957,1.000,0,-171.200
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Bad Skid,15,11,381.165,1.000,0,66.680
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Catchup Graz,15,11,381.165,1.000,0,237.880
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,DiscoBolo,15,6,600.000,1.000,0,475.670
Spring Tour 2024 Padova,2024-04-20,DiscoBolo,REDBULLS,15,13,214.179,1.000,0,11.450
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,BFD LaFotta,13,11,228.840,1.000,0,102.170
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,Catchup Graz,15,7,600.000,1.000,0,527.540
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,DiscoBolo,15,10,453.604,1.000,0,765.330
Spring Tour 2024 Padova,2024-04-20,One Tribe,Panthers Bern Ultimate,15,9,515.481,1.000,0,353.340
Spring Tour 2024 Padova,2024-04-20,Panthers Bern Ultimate,REDBULLS,12,10,238.123,1.000,0,165.480
Spring Tour 2024 Padova,2024-04-20,Ranelagh,Bad Skid,15,9,515.481,1.000,0,71.060
Spring Tour 2024 Padova,2024-04-20,Ranelagh,One Tribe,15,10,453.604,1.000,0,-27.320
Spring Tour 2024 Padova,2024-04-20,Ranelagh,Panthers Bern Ultimate,15,8,564.809,1.000,0,326.020
Spring Tour 2024 Brno,2024-04-21,3SB,KFK,15,10,453.604,1.000,0,430.880
Spring Tour 2024 Brno,2024-04-21,3SB,Panthers Wrocław,15,5,600.000,1.000,1,644.750
Spring Tour 2024 Brno,2024-04-21,3SB,Uprising Ultimate,15,6,600.000,1.000,1,607.120
Spring Tour 2024 Brno,2024-04-21,FWD>>,Panthers Wrocław,14,9,473.868,1.000,0,-218.970
Spring Tour 2024 Brno,2024-04-21,KFK,FWD>>,15,11,381.165,1.000,0,432.840
Spring Tour 2024 Brno,2024-04-21,KFK,thebigEZ,14,9,473.868,1.000,0,50.880
Spring Tour 2024 Brno,2024-04-21,KFUM Örebro Frisbee,FWD>>,11,10,125.000,1.000,0,454.590
Spring Tour 2024 Brno,2024-04-21,KFUM Örebro Frisbee,Outsiterz,13,10,328.142,1.000,0,-25.620
Spring Tour 2024 Brno,2024-04-21,KFUM Örebro Frisbee,Terrible Monkeys,13,12,125.000,1.000,0,-13.620
Spring Tour 2024 Brno,2024-04-21,Outsiterz,Atrofované Ruce,12,8,441.155,1.000,0,724.310
Spring Tour 2024 Brno,2024-04-21,Panthers Wrocław,Atrofované Ruce,15,6,600.000,1.000,0,463.070
Spring Tour 2024 Brno,2024-04-21,Terrible Monkeys,Outsiterz,14,9,473.868,1.000,0,-12.000
Spring Tour 2024 Brno,2024-04-21,Uprising Ultimate,Atrofované Ruce,15,6,600.000,1.000,0,500.700
Spring Tour 2024 Brno,2024-04-21,Uprising Ultimate,thebigEZ,14,13,125.000,1.000,0,-125.360
Spring Tour 2024 Grenoble,2024-04-21,AUT Beefree,Révolution'Air,10,9,125.000,1.000,0,118.370
Spring Tour 2024 Grenoble,2024-04-21,Aarhus,ZU PlatZHirsch,13,8,496.160,1.000,0,185.450
Spring Tour 2024 Grenoble,2024-04-21,Flying Angels Bern,AUT Beefree,13,9,418.566,1.000,0,455.880
Spring Tour 2024 Grenoble,2024-04-21,Flying Angels Bern,Solebang,13,8,496.160,1.000,0,90.630
Spring Tour 2024 Grenoble,2024-04-21,Freespeed,ZU PlatZHirsch,15,6,600.000,1.000,0,311.440
Spring Tour 2024 Grenoble,2024-04-21,Freezzz Beezzz,AUT Beefree,12,8,441.155,1.000,0,402.310
