Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,559.030,2,12,12,0,0,1.000,0.558,171,130,3.417,1.000,42,1
Clapham,506.410,3,14,12,2,0,0.857,0.591,192,141,3.643,1.000,49,1
BFD LaFotta,456.860,4,17,10,7,0,0.588,0.688,220,180,2.353,1.000,41,1
Wall City,446.280,2,12,10,2,0,0.833,0.537,170,131,3.250,1.000,37,1
Tchac,409.950,2,14,12,2,0,0.857,0.544,179,130,3.500,1.000,54,1
Chevron Action Flash,387.500,5,19,14,5,0,0.737,0.582,260,198,3.263,1.000,44,1
3SB,386.350,2,12,12,0,0,1.000,0.463,173,93,6.667,1.000,26,0
One Tribe,301.070,4,14,10,4,0,0.714,0.507,188,155,2.357,1.000,46,1
Gentle,292.910,2,12,7,5,0,0.583,0.637,157,153,0.333,1.000,31,1
Ranelagh,273.750,2,12,10,2,0,0.833,0.454,160,120,3.333,1.000,45,1
Cotarica Grandes,269.370,3,14,9,5,0,0.643,0.552,182,146,2.571,1.000,51,1
XVI,251.700,2,11,9,2,0,0.818,0.510,133,104,2.636,1.000,42,1
Grut,235.670,3,10,6,4,0,0.600,0.549,114,94,2.000,1.000,43,1
Quijotes,207.170,3,15,11,4,0,0.733,0.458,183,155,1.867,1.000,43,1
Bad Skid,202.690,4,15,9,6,0,0.600,0.483,199,167,2.133,1.000,42,1
Iznogood,164.560,4,14,8,6,0,0.571,0.534,165,134,2.214,1.000,44,1
Heidees,162.350,2,12,9,3,0,0.750,0.461,156,121,2.917,1.000,41,1
Jetset Open,148.000,3,19,7,12,0,0.368,0.617,235,236,-0.053,1.000,50,1
Bristol,71.830,4,13,6,7,0,0.462,0.500,159,155,0.308,1.000,37,1
Alba,48.600,4,16,8,8,0,0.500,0.552,183,207,-1.500,1.000,40,1
Catchup Graz,31.490,3,15,9,6,0,0.600,0.512,186,185,0.067,1.000,41,1
SMOG,18.360,4,16,8,8,0,0.500,0.481,192,177,0.938,1.000,42,1
Outsiterz,2.840,4,21,11,10,0,0.524,0.509,249,240,0.429,1.000,50,1
Terrible Monkeys,-9.160,2,12,8,4,0,0.667,0.480,150,135,1.250,1.000,29,0
KFUM Örebro Frisbee,-22.780,2,12,7,5,0,0.583,0.515,142,131,0.917,1.000,37,1
KFK,-44.530,2,12,7,5,0,0.583,0.446,149,126,1.917,1.000,40,1
Monkey,-47.160,3,13,5,8,0,0.385,0.521,146,165,-1.462,1.000,44,1
Panthers Bern Ultimate,-52.270,2,12,4,8,0,0.333,0.528,140,162,-1.833,1.000,42,1
Flying Angels Bern,-62.780,4,17,9,8,0,0.529,0.410,204,200,0.235,1.000,51,1
FrankN,-92.680,4,12,6,6,0,0.500,0.424,147,153,-0.500,1.000,42,1
thebigEZ,-95.410,2,11,6,5,0,0.545,0.514,120,122,-0.182,1.000,44,1
Freezzz Beezzz,-116.350,4,17,9,8,0,0.529,0.395,201,199,0.118,1.000,48,1
Solebang,-153.410,2,7,3,4,0,0.429,0.378,76,68,1.143,1.000,36,0
UFO,-154.700,2,9,4,5,0,0.444,0.470,108,113,-0.556,1.000,45,0
Smash'D,-174.640,4,17,7,10,0,0.412,0.467,183,207,-1.412,1.000,38,1
Hardfisch,-186.470,4,14,4,10,0,0.286,0.521,150,186,-2.571,1.000,50,1
7Schwaben,-193.500,3,11,3,8,0,0.273,0.464,134,160,-2.364,1.000,32,1
DiscoBolo,-206.300,1,6,1,5,0,0.167,0.529,62,86,-4.000,1.000,29,0
REDBULLS,-217.750,1,6,1,5,0,0.167,0.467,61,84,-3.833,1.000,29,0
Uprising Ultimate,-220.770,4,17,7,10,0,0.412,0.489,175,193,-1.059,1.000,35,1
Panthers Wrocław,-258.400,3,13,5,8,0,0.385,0.435,142,155,-1.000,1.000,29,0
Black Birds,-321.150,1,6,0,6,0,0.000,0.519,55,83,-4.667,1.000,33,0
Freespeed,-345.720,2,12,1,11,0,0.083,0.506,117,159,-3.500,1.000,47,1
Ka-Pow!,-357.380,4,13,3,10,0,0.231,0.443,124,171,-3.615,1.000,45,1
Armada,-368.140,2,8,1,7,0,0.125,0.537,78,106,-3.500,1.000,37,0
PirU,-424.320,1,5,1,4,0,0.200,0.496,53,72,-3.800,1.000,31,0
OTSO,-455.230,2,8,2,6,0,0.250,0.420,80,106,-3.250,1.000,35,0
Aarhus,-471.710,2,12,2,10,0,0.167,0.462,104,153,-4.083,1.000,47,1
Rebel Ultimate,-472.510,1,5,1,4,0,0.200,0.378,48,68,-4.000,1.000,22,0
FWD>>,-477.370,3,15,2,13,0,0.133,0.464,139,195,-3.733,1.000,43,1
Dublin Frisbee 7s,-485.050,1,5,1,4,0,0.200,0.432,36,62,-5.200,1.000,24,0
AUT Beefree,-518.660,2,7,1,6,0,0.143,0.515,47,89,-6.000,1.000,42,0
Krakens,-594.570,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
Révolution'Air,-637.030,1,6,1,5,0,0.167,0.326,46,72,-4.333,1.000,29,0
ZU PlatZHirsch,-657.160,2,8,1,7,0,0.125,0.384,66,109,-5.375,1.000,40,0
Atrofované Ruce,-721.470,1,6,0,6,0,0.000,0.451,43,86,-7.167,1.000,23,0
