Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
YAKA,614.640,3,11,9,2,0,0.818,0.611,148,96,4.727,1.000,29,0
BFD Shout,585.470,2,12,10,2,0,0.833,0.578,172,103,5.750,1.000,26,0
3SB,530.510,2,10,9,1,0,0.900,0.481,132,82,5.000,1.000,21,0
Jinx Midnight,514.870,4,11,9,2,0,0.818,0.619,142,110,2.909,1.000,30,1
East Block,449.440,2,12,9,3,0,0.750,0.577,159,119,3.333,1.000,28,0
GRUT,442.220,3,12,9,3,0,0.750,0.602,154,100,4.500,1.000,31,1
Atletico,335.730,1,6,6,0,0,1.000,0.338,86,37,8.167,1.000,15,0
Mooncup,315.080,2,12,7,5,0,0.583,0.612,143,123,1.667,1.000,31,1
Iceni,244.590,2,12,7,5,0,0.583,0.526,139,126,1.083,1.000,27,0
Bristol,232.050,3,13,8,5,0,0.615,0.538,155,121,2.615,1.000,24,0
Catchup,178.960,2,10,6,4,0,0.600,0.471,115,88,2.700,1.000,22,0
Troubles,141.770,3,11,6,5,0,0.545,0.551,111,115,-0.364,1.000,21,0
LMU,132.770,4,11,7,4,0,0.636,0.478,118,101,1.545,1.000,27,0
FABulous,55.170,4,21,10,11,0,0.476,0.519,222,216,0.286,1.000,23,0
box vienna ultimate,-19.560,3,15,5,10,0,0.333,0.551,152,172,-1.333,1.000,27,0
SMOG,-32.940,4,18,10,8,0,0.556,0.458,201,186,0.833,1.000,24,0
Jetset LUV,-40.140,5,21,10,11,0,0.476,0.491,216,234,-0.857,1.000,26,0
wuf.,-80.380,3,15,9,6,0,0.600,0.449,164,151,0.867,1.000,28,0
Seagulls,-98.440,4,14,6,8,0,0.429,0.514,143,145,-0.143,1.000,28,0
Tequila Boom Boom,-136.130,2,12,7,5,0,0.583,0.359,129,106,1.917,1.000,25,0
Dublin Gravity,-136.550,2,12,5,7,0,0.417,0.463,125,119,0.500,1.000,18,0
SYC,-196.030,5,22,9,13,0,0.409,0.495,208,259,-2.318,1.000,29,0
Sharks Ultimate Barcelona,-354.480,2,9,3,6,0,0.333,0.385,86,98,-1.333,1.000,26,0
Spice,-364.220,3,8,2,6,0,0.250,0.401,69,90,-2.625,1.000,22,0
Queen Kong,-485.610,2,12,2,10,0,0.167,0.406,102,127,-2.083,1.000,25,0
Copenhagen Hucks,-574.240,1,5,1,4,0,0.200,0.480,37,65,-5.600,1.000,15,0
FlyHigh Louves,-600.250,1,6,2,4,0,0.333,0.471,39,75,-6.000,1.000,21,0
Horizon,-713.450,2,7,0,7,0,0.000,0.446,48,98,-7.143,1.000,18,0
ZU Swarm,-763.090,2,9,0,9,0,0.000,0.412,62,133,-7.889,1.000,26,0
Solebang,-967.540,1,6,0,6,0,0.000,0.460,28,82,-9.000,1.000,19,0
Aarhus Ultimate,-1174.240,1,5,0,5,0,0.000,0.520,13,75,-12.400,1.000,15,0
Outsisterz,,1,6,0,6,0,0.000,0.580,20,86,-11.000,1.000,19,0
