Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Jinx Midnight,590.010,2,9,8,1,0,0.889,0.639,117,89,3.111,1.000,26,0
BFD Shout,561.510,2,12,10,2,0,0.833,0.550,172,103,5.750,1.000,25,0
YAKA,551.840,3,11,9,2,0,0.818,0.605,148,96,4.727,1.000,21,0
3SB,507.300,1,4,4,0,0,1.000,0.475,54,29,6.250,1.000,15,0
GRUT,435.380,3,12,9,3,0,0.750,0.576,154,100,4.500,1.000,26,0
East Block,274.080,1,6,4,2,0,0.667,0.603,75,76,-0.167,1.000,23,0
Mooncup,231.030,2,12,7,5,0,0.583,0.590,143,123,1.667,1.000,23,0
Catchup,162.400,2,10,6,4,0,0.600,0.452,115,88,2.700,1.000,21,0
Iceni,159.070,2,12,7,5,0,0.583,0.506,139,126,1.083,1.000,21,0
Bristol,101.920,2,10,6,4,0,0.600,0.490,112,91,2.100,1.000,17,0
FABulous,77.850,3,15,7,8,0,0.467,0.538,166,160,0.400,1.000,22,0
LMU,30.820,3,9,6,3,0,0.667,0.396,98,79,2.111,1.000,21,0
Troubles,14.680,1,4,2,2,0,0.500,0.633,37,48,-2.750,1.000,15,0
Jetset LUV,0.360,4,15,6,9,0,0.400,0.526,152,176,-1.600,1.000,25,0
box vienna ultimate,-29.660,2,9,3,6,0,0.333,0.560,92,110,-2.000,1.000,26,0
SMOG,-117.870,2,9,5,4,0,0.556,0.399,94,91,0.333,1.000,17,0
wuf.,-134.300,2,9,4,5,0,0.444,0.510,89,94,-0.556,1.000,26,0
Tequila Boom Boom,-174.830,1,6,3,3,0,0.500,0.346,59,55,0.667,1.000,18,0
Sharks Ultimate Barcelona,-247.890,1,3,1,2,0,0.333,0.444,24,35,-3.667,1.000,11,0
Seagulls,-258.950,2,7,3,4,0,0.429,0.391,69,76,-1.000,1.000,20,0
Dublin Gravity,-334.730,1,6,1,5,0,0.167,0.472,53,61,-1.333,1.000,15,0
SYC,-352.340,3,14,4,10,0,0.286,0.524,113,173,-4.286,1.000,23,0
Spice,-488.610,3,8,2,6,0,0.250,0.372,69,90,-2.625,1.000,15,0
Queen Kong,-530.210,1,6,1,5,0,0.167,0.383,43,57,-2.333,1.000,17,0
ZU Swarm,-638.400,1,3,0,3,0,0.000,0.378,22,43,-7.000,1.000,16,0
FlyHigh Louves,-648.860,1,6,2,4,0,0.333,0.444,39,75,-6.000,1.000,19,0
Horizon,-851.930,2,7,0,7,0,0.000,0.414,48,98,-7.143,1.000,15,0
Solebang,-1014.140,1,6,0,6,0,0.000,0.407,28,82,-9.000,1.000,17,0
