Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,751.320,1,6,6,0,0,1.000,0.625,88,45,7.167,1.000,22,0
Heck,553.420,1,1,1,0,0,1.000,0.857,11,10,1.000,1.000,6,0
Glasgow Ultimate,428.430,2,7,6,1,0,0.857,0.476,87,51,5.143,1.000,8,0
Mosquitos,383.110,1,6,5,1,0,0.833,0.647,79,60,3.167,1.000,21,0
Leamington Lemmings,375.350,1,6,5,1,0,0.833,0.492,81,67,2.333,1.000,20,0
Deep Space,354.310,2,12,9,3,0,0.750,0.535,161,122,3.250,1.000,28,0
Sesquidistus,353.500,3,8,6,2,0,0.750,0.457,110,86,3.000,1.000,25,0
Cus Padova Rangərs,217.970,2,6,4,2,0,0.667,0.500,71,47,4.000,1.000,18,0
PUC,194.930,3,9,6,3,0,0.667,0.509,113,83,3.333,1.000,22,0
PELT,188.800,1,6,4,2,0,0.667,0.563,70,59,1.833,1.000,14,0
Reading Ultimate,130.540,1,6,3,3,0,0.500,0.450,78,77,0.167,1.000,19,0
Heroes Flying Disc,74.780,1,6,3,3,0,0.500,0.569,66,65,0.167,1.000,21,0
Nullacht! Ultimate,67.000,2,12,6,6,0,0.500,0.482,143,133,0.833,1.000,21,0
Zoom Ultimate,59.780,2,3,2,1,0,0.667,0.556,32,28,1.333,1.000,10,0
Sky This Warszawa,32.040,1,6,5,1,0,0.833,0.389,75,67,1.333,1.000,13,0
Malmö Ultimate Club,-18.940,1,6,3,3,0,0.500,0.587,64,63,0.167,1.000,14,0
Frubb,-20.320,1,5,4,1,0,0.800,0.400,66,56,2.000,1.000,14,0
Manchots,-20.630,2,7,2,5,0,0.286,0.524,81,96,-2.143,1.000,14,0
BN1,-28.920,1,6,3,3,0,0.500,0.522,73,65,1.333,1.000,16,0
Tartu Turbulence,-29.020,1,6,1,5,0,0.167,0.492,74,85,-1.833,1.000,20,0
Disconnection,-29.810,1,6,1,5,0,0.167,0.548,67,80,-2.167,1.000,14,0
OUT,-77.800,1,6,3,3,0,0.500,0.453,67,62,0.833,1.000,21,0
Remix,-83.130,2,4,2,2,0,0.500,0.500,44,42,0.500,1.000,15,0
Savage Ultimate,-116.070,1,6,2,4,0,0.333,0.448,61,67,-1.000,1.000,14,0
Colorado,-127.830,1,6,2,4,0,0.333,0.486,65,65,0.000,1.000,21,0
The Owls,-320.440,2,9,3,6,0,0.333,0.546,76,113,-4.111,1.000,22,0
Steamhuck,-381.350,1,2,1,1,0,0.500,0.333,15,18,-1.500,1.000,4,0
Nuclear Discs,-453.740,1,6,1,5,0,0.167,0.467,52,72,-3.333,1.000,15,0
Wiener Mischung,-460.150,1,6,0,6,0,0.000,0.560,49,89,-6.667,1.000,14,0
DTU,-468.120,1,6,1,5,0,0.167,0.504,43,77,-5.667,1.000,14,0
W.underteam,-484.730,1,6,2,4,0,0.333,0.389,40,78,-6.333,1.000,16,0
Fireball Ultimate,-506.340,1,1,0,1,0,0.000,0.500,6,7,-1.000,1.000,2,0
AKS Zły Ultimate,-558.320,1,6,1,5,0,0.167,0.361,56,76,-3.333,1.000,16,0
Zombees,-872.930,1,6,0,6,0,0.000,0.439,34,87,-8.833,1.000,16,0
