Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,577.090,2,12,12,0,0,1.000,0.462,171,130,3.417,1.000,28,0
Clapham,499.860,3,14,12,2,0,0.857,0.499,192,141,3.643,1.000,42,1
BFD LaFotta,488.920,4,17,10,7,0,0.588,0.614,220,180,2.353,1.000,30,1
Wall City,481.210,1,6,4,2,0,0.667,0.484,86,78,1.333,1.000,20,0
Gentle,426.030,1,6,3,3,0,0.500,0.700,79,81,-0.333,1.000,22,0
One Tribe,412.870,3,8,6,2,0,0.750,0.491,107,85,2.750,1.000,24,0
Ranelagh,399.000,1,6,4,2,0,0.667,0.457,81,63,3.000,1.000,23,0
Chevron Action Flash,386.900,3,10,5,5,0,0.500,0.637,128,120,0.800,1.000,34,1
Tchac,366.420,2,14,12,2,0,0.857,0.519,179,130,3.500,1.000,48,1
3SB,365.420,1,6,6,0,0,1.000,0.495,89,47,7.000,1.000,19,0
Cotarica Grandes,268.130,3,14,9,5,0,0.643,0.491,182,146,2.571,1.000,45,1
Bristol,234.100,2,4,3,1,0,0.750,0.496,47,43,1.000,1.000,28,0
XVI,232.870,1,6,5,1,0,0.833,0.567,75,56,3.167,1.000,29,0
Grut,184.440,3,10,6,4,0,0.600,0.473,114,94,2.000,1.000,30,1
Bad Skid,164.590,2,7,3,4,0,0.429,0.552,90,87,0.429,1.000,23,0
Jetset Open,158.250,2,13,3,10,0,0.231,0.635,155,168,-1.000,1.000,41,1
Quijotes,124.830,2,9,6,3,0,0.667,0.509,101,87,1.556,1.000,35,0
Iznogood,87.160,4,14,8,6,0,0.571,0.498,165,134,2.214,1.000,32,1
Catchup Graz,68.010,2,9,5,4,0,0.556,0.568,106,116,-1.111,1.000,33,0
FrankN,37.330,2,4,3,1,0,0.750,0.425,53,39,3.500,1.000,22,0
Heidees,27.670,1,6,5,1,0,0.833,0.416,83,54,4.833,1.000,20,0
Alba,12.180,2,8,2,6,0,0.250,0.587,74,112,-4.750,1.000,28,0
7Schwaben,11.440,1,3,2,1,0,0.667,0.440,41,41,0.000,1.000,17,0
KFK,-76.700,1,6,4,2,0,0.667,0.466,76,66,1.667,1.000,14,0
SMOG,-81.530,2,7,3,4,0,0.429,0.457,87,87,0.000,1.000,29,0
Panthers Bern Ultimate,-85.800,1,6,1,5,0,0.167,0.540,60,84,-4.000,1.000,23,0
Outsiterz,-107.070,3,15,7,8,0,0.467,0.484,168,177,-0.600,1.000,42,1
Terrible Monkeys,-128.820,1,6,4,2,0,0.667,0.370,76,64,2.000,1.000,18,0
thebigEZ,-137.450,2,11,6,5,0,0.545,0.524,120,122,-0.182,1.000,35,1
Monkey,-138.290,2,7,3,4,0,0.429,0.639,72,89,-2.429,1.000,30,0
Flying Angels Bern,-170.720,3,11,6,5,0,0.545,0.393,129,118,1.000,1.000,39,1
Freezzz Beezzz,-171.010,3,11,5,6,0,0.455,0.372,130,129,0.091,1.000,28,0
REDBULLS,-172.630,1,6,1,5,0,0.167,0.417,61,84,-3.833,1.000,16,0
DiscoBolo,-188.730,1,6,1,5,0,0.167,0.493,62,86,-4.000,1.000,22,0
KFUM Örebro Frisbee,-199.870,1,6,3,3,0,0.500,0.555,65,70,-0.833,1.000,19,0
Hardfisch,-214.800,2,7,1,6,0,0.143,0.597,67,99,-4.571,1.000,41,0
UFO,-230.260,2,9,4,5,0,0.444,0.474,108,113,-0.556,1.000,38,0
Solebang,-256.330,2,7,3,4,0,0.429,0.360,76,68,1.143,1.000,28,0
Uprising Ultimate,-259.910,3,11,4,7,0,0.364,0.532,116,125,-0.818,1.000,24,0
Smash'D,-264.590,2,8,4,4,0,0.500,0.476,89,96,-0.875,1.000,28,0
Panthers Wrocław,-302.480,2,7,3,4,0,0.429,0.443,76,82,-0.857,1.000,19,0
Freespeed,-451.760,1,6,1,5,0,0.167,0.439,53,69,-2.667,1.000,28,0
FWD>>,-460.590,2,9,2,7,0,0.222,0.432,95,110,-1.667,1.000,26,0
Ka-Pow!,-555.570,2,4,1,3,0,0.250,0.434,36,53,-4.250,1.000,31,0
OTSO,-589.280,1,2,0,2,0,0.000,0.573,15,28,-6.500,1.000,20,0
AUT Beefree,-599.420,2,7,1,6,0,0.143,0.497,47,89,-6.000,1.000,38,0
Armada,-624.330,1,2,0,2,0,0.000,0.513,15,30,-7.500,1.000,16,0
Aarhus,-640.930,1,6,1,5,0,0.167,0.469,44,75,-5.167,1.000,26,0
Révolution'Air,-692.980,1,6,1,5,0,0.167,0.369,46,72,-4.333,1.000,22,0
Krakens,-697.490,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
ZU PlatZHirsch,-715.550,2,8,1,7,0,0.125,0.447,66,109,-5.375,1.000,30,0
Atrofované Ruce,-776.160,1,6,0,6,0,0.000,0.469,43,86,-7.167,1.000,18,0
