Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FABulous,15,8,564.809,1.000,0,483.570
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FlyHigh Louves,15,5,600.000,1.000,1,1208.280
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,GRUT,13,10,328.142,1.000,0,125.910
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Queen Kong,13,6,600.000,1.000,0,691.890
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Solebang,15,2,600.000,1.000,1,1175.140
Spring Tour 2024 Grenoble,2024-04-20,FABulous,FlyHigh Louves,15,6,600.000,1.000,1,724.710
Spring Tour 2024 Grenoble,2024-04-20,FABulous,wuf.,14,7,582.887,1.000,0,208.330
Spring Tour 2024 Grenoble,2024-04-20,GRUT,FlyHigh Louves,15,4,600.000,1.000,1,1082.370
Spring Tour 2024 Grenoble,2024-04-20,GRUT,wuf.,12,8,441.155,1.000,0,565.990
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Catchup,13,12,125.000,1.000,0,-162.110
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Queen Kong,9,6,418.566,0.889,0,529.780
Spring Tour 2024 Grenoble,2024-04-20,Queen Kong,Solebang,13,6,600.000,1.000,0,483.250
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Jetset LUV,12,10,238.123,1.000,0,-174.180
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Queen Kong,10,5,573.898,0.889,0,355.600
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Solebang,13,3,600.000,1.000,1,838.850
Spring Tour 2024 Grenoble,2024-04-20,wuf.,FlyHigh Louves,15,6,600.000,1.000,0,516.380
Spring Tour 2024 London,2024-04-20,Bristol,Dublin Gravity,12,9,345.365,1.000,0,429.860
Spring Tour 2024 London,2024-04-20,Bristol,Spice,15,3,600.000,1.000,0,549.400
Spring Tour 2024 London,2024-04-20,Dublin Gravity,Horizon,13,7,557.532,1.000,0,506.120
Spring Tour 2024 London,2024-04-20,Iceni,Horizon,15,4,600.000,1.000,1,994.810
Spring Tour 2024 London,2024-04-20,Iceni,Mooncup,10,9,125.000,1.000,0,-73.550
Spring Tour 2024 London,2024-04-20,Iceni,Seagulls,13,7,557.532,1.000,0,410.910
Spring Tour 2024 London,2024-04-20,LMU,Dublin Gravity,10,8,262.666,0.973,0,380.050
Spring Tour 2024 London,2024-04-20,LMU,Horizon,15,4,600.000,1.000,1,886.170
Spring Tour 2024 London,2024-04-20,LMU,Seagulls,13,7,557.532,1.000,0,302.270
Spring Tour 2024 London,2024-04-20,Mooncup,SMOG,11,9,249.207,1.000,0,360.620
Spring Tour 2024 London,2024-04-20,Mooncup,SYC,15,2,600.000,1.000,0,584.140
Spring Tour 2024 London,2024-04-20,SMOG,Bristol,12,11,125.000,1.000,0,-228.240
Spring Tour 2024 London,2024-04-20,SMOG,Spice,15,9,515.481,1.000,0,321.160
Spring Tour 2024 London,2024-04-20,SYC,Seagulls,13,11,228.840,1.000,0,-99.680
Spring Tour 2024 London,2024-04-20,SYC,Spice,11,9,249.207,1.000,0,97.640
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,GRUT,15,10,453.604,1.000,0,125.910
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,Jetset LUV,15,3,600.000,1.000,0,561.220
