Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Jinx Midnight,587.600,2,9,8,1,0,0.889,0.606,117,89,3.111,1.000,25,0
BFD Shout,562.670,2,12,10,2,0,0.833,0.550,172,103,5.750,1.000,25,0
YAKA,538.230,1,6,4,2,0,0.667,0.657,82,64,3.000,1.000,20,0
3SB,508.260,1,4,4,0,0,1.000,0.475,54,29,6.250,1.000,15,0
GRUT,436.760,3,12,9,3,0,0.750,0.577,154,100,4.500,1.000,26,0
East Block,273.580,1,6,4,2,0,0.667,0.578,75,76,-0.167,1.000,23,0
Mooncup,235.450,2,12,7,5,0,0.583,0.603,143,123,1.667,1.000,23,0
Catchup,163.560,2,10,6,4,0,0.600,0.452,115,88,2.700,1.000,21,0
Iceni,161.900,2,12,7,5,0,0.583,0.506,139,126,1.083,1.000,21,0
Bristol,103.070,1,6,4,2,0,0.667,0.431,71,51,3.333,1.000,17,0
FABulous,79.100,3,15,7,8,0,0.467,0.538,166,160,0.400,1.000,22,0
LMU,53.260,2,8,6,2,0,0.750,0.349,92,66,3.250,1.000,21,0
Troubles,15.830,1,4,2,2,0,0.500,0.633,37,48,-2.750,1.000,15,0
Jetset LUV,1.450,4,15,6,9,0,0.400,0.527,152,176,-1.600,1.000,25,0
box vienna ultimate,-30.150,2,9,3,6,0,0.333,0.543,92,110,-2.000,1.000,25,0
SMOG,-125.170,1,6,4,2,0,0.667,0.334,70,60,1.667,1.000,15,0
wuf.,-129.230,2,9,4,5,0,0.444,0.520,89,94,-0.556,1.000,25,0
Tequila Boom Boom,-172.730,1,6,3,3,0,0.500,0.346,59,55,0.667,1.000,18,0
Sharks Ultimate Barcelona,-247.620,1,3,1,2,0,0.333,0.444,24,35,-3.667,1.000,11,0
Seagulls,-249.010,2,7,3,4,0,0.429,0.407,69,76,-1.000,1.000,20,0
Dublin Gravity,-326.790,1,6,1,5,0,0.167,0.516,53,61,-1.333,1.000,15,0
SYC,-348.690,2,10,3,7,0,0.300,0.540,83,125,-4.200,1.000,23,0
Spice,-446.330,2,7,2,5,0,0.286,0.424,61,79,-2.571,1.000,15,0
Queen Kong,-528.330,1,6,1,5,0,0.167,0.383,43,57,-2.333,1.000,17,0
ZU Swarm,-638.060,1,3,0,3,0,0.000,0.378,22,43,-7.000,1.000,16,0
FlyHigh Louves,-645.610,1,6,2,4,0,0.333,0.444,39,75,-6.000,1.000,19,0
Horizon,-832.910,2,7,0,7,0,0.000,0.452,48,98,-7.143,1.000,15,0
Solebang,-1011.580,1,6,0,6,0,0.000,0.407,28,82,-9.000,1.000,17,0
