Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,666.490,2,8,8,0,0,1.000,0.518,118,68,6.250,1.000,25,0
Deep Space,456.300,4,21,18,3,0,0.857,0.518,275,199,3.619,1.000,30,1
Sesquidistus,398.100,3,8,6,2,0,0.750,0.445,110,86,3.000,1.000,27,0
Leamington Lemmings,367.170,3,14,9,5,0,0.643,0.575,171,151,1.429,1.000,26,0
Mosquitos,364.470,1,6,5,1,0,0.833,0.633,79,60,3.167,1.000,23,0
Reading Ultimate,286.390,3,14,8,6,0,0.571,0.510,174,157,1.214,1.000,26,0
Cus Padova Rangərs,180.000,2,6,4,2,0,0.667,0.528,71,47,4.000,1.000,19,0
PUC,179.720,4,10,7,3,0,0.700,0.469,128,91,3.700,1.000,25,0
Disconnection,114.080,2,8,1,7,0,0.125,0.659,90,110,-2.500,1.000,18,0
Heroes Flying Disc,57.490,1,6,3,3,0,0.500,0.587,66,65,0.167,1.000,23,0
Glasgow Ultimate,48.440,3,11,6,5,0,0.545,0.465,119,96,2.091,1.000,26,0
Tartu Turbulence,45.750,1,6,1,5,0,0.167,0.515,74,85,-1.833,1.000,23,0
Manchots,36.600,2,7,2,5,0,0.286,0.501,81,96,-2.143,1.000,18,0
Nullacht! Ultimate,12.060,2,12,6,6,0,0.500,0.481,143,133,0.833,1.000,23,0
Heck,7.840,2,5,2,3,0,0.400,0.585,50,63,-2.600,1.000,25,0
Zoom Ultimate,-8.550,3,5,4,1,0,0.800,0.363,48,41,1.400,1.000,10,0
Frubb,-48.380,1,5,4,1,0,0.800,0.362,66,56,2.000,1.000,18,0
PELT,-49.570,1,6,4,2,0,0.667,0.460,70,59,1.833,1.000,15,0
OUT,-76.750,1,6,3,3,0,0.500,0.471,67,62,0.833,1.000,23,0
BN1,-93.900,3,13,4,9,0,0.308,0.586,129,153,-1.846,1.000,29,0
Colorado,-134.410,1,6,2,4,0,0.333,0.477,65,65,0.000,1.000,23,0
Sky This Warszawa,-154.530,1,6,5,1,0,0.833,0.389,75,67,1.333,1.000,13,0
Remix,-180.220,3,5,2,3,0,0.400,0.573,52,57,-1.000,1.000,15,0
Malmö Ultimate Club,-221.100,1,6,3,3,0,0.500,0.535,64,63,0.167,1.000,15,0
Steamhuck,-303.470,2,4,1,3,0,0.250,0.600,28,34,-1.500,1.000,4,0
Savage Ultimate,-332.280,1,6,2,4,0,0.333,0.396,61,67,-1.000,1.000,15,0
The Owls,-369.320,2,9,3,6,0,0.333,0.540,76,113,-4.111,1.000,24,0
Fireball Ultimate,-428.460,1,1,0,1,0,0.000,0.250,6,7,-1.000,1.000,2,0
Nuclear Discs,-477.910,1,6,1,5,0,0.167,0.467,52,72,-3.333,1.000,15,0
W.underteam,-513.950,1,6,2,4,0,0.333,0.362,40,78,-6.333,1.000,20,0
AKS Zły Ultimate,-591.390,1,6,1,5,0,0.167,0.335,56,76,-3.333,1.000,20,0
DTU,-661.560,1,6,1,5,0,0.167,0.452,43,77,-5.667,1.000,15,0
Wiener Mischung,-688.500,1,6,0,6,0,0.000,0.508,49,89,-6.667,1.000,15,0
Zombees,-906.480,1,6,0,6,0,0.000,0.439,34,87,-8.833,1.000,16,0
