Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,564.240,2,12,12,0,0,1.000,0.505,171,130,3.417,1.000,31,1
Clapham,510.190,3,14,12,2,0,0.857,0.528,192,141,3.643,1.000,45,1
Wall City,472.490,1,6,4,2,0,0.667,0.508,86,78,1.333,1.000,23,0
BFD LaFotta,459.680,4,17,10,7,0,0.588,0.639,220,180,2.353,1.000,35,1
3SB,434.150,1,6,6,0,0,1.000,0.495,89,47,7.000,1.000,24,0
Gentle,420.430,1,6,3,3,0,0.500,0.700,79,81,-0.333,1.000,22,0
Tchac,394.650,2,14,12,2,0,0.857,0.543,179,130,3.500,1.000,50,1
One Tribe,380.720,3,8,6,2,0,0.750,0.512,107,85,2.750,1.000,28,0
Chevron Action Flash,366.030,4,14,9,5,0,0.643,0.587,188,157,2.214,1.000,39,1
XVI,282.430,1,6,5,1,0,0.833,0.567,75,56,3.167,1.000,31,0
Ranelagh,269.710,2,12,10,2,0,0.833,0.439,160,120,3.333,1.000,42,1
Cotarica Grandes,265.100,3,14,9,5,0,0.643,0.522,182,146,2.571,1.000,49,1
Grut,210.650,3,10,6,4,0,0.600,0.532,114,94,2.000,1.000,34,1
Bad Skid,181.120,3,9,5,4,0,0.556,0.524,120,103,1.889,1.000,29,0
Jetset Open,154.780,2,13,3,10,0,0.231,0.636,155,168,-1.000,1.000,44,1
Quijotes,145.540,2,9,6,3,0,0.667,0.476,101,87,1.556,1.000,35,0
Iznogood,122.240,4,14,8,6,0,0.571,0.516,165,134,2.214,1.000,35,1
Bristol,99.830,3,8,4,4,0,0.500,0.452,100,96,0.500,1.000,33,0
Heidees,86.290,1,6,5,1,0,0.833,0.409,83,54,4.833,1.000,22,0
Catchup Graz,74.200,2,9,5,4,0,0.556,0.582,106,116,-1.111,1.000,33,0
SMOG,15.970,3,11,6,5,0,0.545,0.465,141,130,1.000,1.000,36,1
Alba,-10.210,3,11,4,7,0,0.364,0.561,117,151,-3.091,1.000,34,1
KFUM Örebro Frisbee,-23.100,2,12,7,5,0,0.583,0.522,142,131,0.917,1.000,37,1
KFK,-46.300,2,12,7,5,0,0.583,0.449,149,126,1.917,1.000,40,1
FrankN,-50.540,3,6,4,2,0,0.667,0.398,74,68,1.000,1.000,27,0
Outsiterz,-56.760,3,15,7,8,0,0.467,0.491,168,177,-0.600,1.000,45,1
Terrible Monkeys,-58.620,1,6,4,2,0,0.667,0.370,76,64,2.000,1.000,23,0
Monkey,-79.950,2,7,3,4,0,0.429,0.639,72,89,-2.429,1.000,32,0
thebigEZ,-90.720,2,11,6,5,0,0.545,0.517,120,122,-0.182,1.000,38,1
Flying Angels Bern,-103.190,3,11,6,5,0,0.545,0.404,129,118,1.000,1.000,42,1
Panthers Bern Ultimate,-122.360,1,6,1,5,0,0.167,0.589,60,84,-4.000,1.000,28,0
7Schwaben,-135.520,2,5,2,3,0,0.400,0.492,67,71,-0.800,1.000,21,0
Freezzz Beezzz,-148.790,4,17,9,8,0,0.529,0.395,201,199,0.118,1.000,42,1
UFO,-179.110,2,9,4,5,0,0.444,0.490,108,113,-0.556,1.000,41,0
Smash'D,-185.880,3,11,5,6,0,0.455,0.453,120,136,-1.455,1.000,32,1
Solebang,-186.900,2,7,3,4,0,0.429,0.377,76,68,1.143,1.000,31,0
Hardfisch,-189.690,4,14,4,10,0,0.286,0.522,150,186,-2.571,1.000,47,1
DiscoBolo,-201.650,1,6,1,5,0,0.167,0.515,62,86,-4.000,1.000,23,0
REDBULLS,-214.810,1,6,1,5,0,0.167,0.445,61,84,-3.833,1.000,21,0
Panthers Wrocław,-220.460,2,7,3,4,0,0.429,0.454,76,82,-0.857,1.000,23,0
Uprising Ultimate,-224.560,3,11,4,7,0,0.364,0.516,116,125,-0.818,1.000,28,0
FWD>>,-388.870,2,9,2,7,0,0.222,0.418,95,110,-1.667,1.000,33,0
Freespeed,-405.780,1,6,1,5,0,0.167,0.471,53,69,-2.667,1.000,33,0
PirU,-435.980,1,5,1,4,0,0.200,0.496,53,72,-3.800,1.000,31,0
OTSO,-473.480,2,8,2,6,0,0.250,0.422,80,106,-3.250,1.000,33,0
Ka-Pow!,-479.370,3,8,1,7,0,0.125,0.468,67,113,-5.750,1.000,40,0
Aarhus,-492.280,2,12,2,10,0,0.167,0.469,104,153,-4.083,1.000,43,1
AUT Beefree,-552.380,2,7,1,6,0,0.143,0.507,47,89,-6.000,1.000,41,0
Armada,-595.670,1,2,0,2,0,0.000,0.550,15,30,-7.500,1.000,20,0
Krakens,-628.050,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
Révolution'Air,-637.680,1,6,1,5,0,0.167,0.361,46,72,-4.333,1.000,24,0
ZU PlatZHirsch,-667.170,2,8,1,7,0,0.125,0.431,66,109,-5.375,1.000,36,0
Atrofované Ruce,-719.500,1,6,0,6,0,0.000,0.455,43,86,-7.167,1.000,22,0
