Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
3SB,631.370,1,4,4,0,0,1.000,0.500,54,29,6.250,1.000,15,0
BFD Shout,586.720,2,12,10,2,0,0.833,0.544,172,103,5.750,1.000,25,0
YAKA,558.910,3,11,9,2,0,0.818,0.589,148,96,4.727,1.000,25,0
Jinx Midnight,536.560,4,11,9,2,0,0.818,0.617,142,110,2.909,1.000,29,0
GRUT,466.300,3,12,9,3,0,0.750,0.561,154,100,4.500,1.000,29,0
East Block,299.040,1,6,4,2,0,0.667,0.603,75,76,-0.167,1.000,23,0
Troubles,281.230,2,5,3,2,0,0.600,0.670,52,58,-1.200,1.000,18,0
Mooncup,247.930,2,12,7,5,0,0.583,0.585,143,123,1.667,1.000,26,0
Catchup,243.040,2,10,6,4,0,0.600,0.462,115,88,2.700,1.000,21,0
Atletico,232.310,1,6,6,0,0,1.000,0.338,86,37,8.167,1.000,15,0
Iceni,184.440,2,12,7,5,0,0.583,0.519,139,126,1.083,1.000,25,0
FABulous,154.140,3,15,7,8,0,0.467,0.546,166,160,0.400,1.000,22,0
Bristol,130.180,3,13,8,5,0,0.615,0.502,155,121,2.615,1.000,20,0
LMU,44.660,4,11,7,4,0,0.636,0.450,118,101,1.545,1.000,24,0
Jetset LUV,37.980,4,15,6,9,0,0.400,0.519,152,176,-1.600,1.000,25,0
box vienna ultimate,3.800,2,9,3,6,0,0.333,0.552,92,110,-2.000,1.000,26,0
wuf.,-96.670,2,9,4,5,0,0.444,0.502,89,94,-0.556,1.000,26,0
Tequila Boom Boom,-116.520,1,6,3,3,0,0.500,0.346,59,55,0.667,1.000,18,0
SMOG,-142.320,4,18,10,8,0,0.556,0.431,201,186,0.833,1.000,20,0
Sharks Ultimate Barcelona,-175.090,1,3,1,2,0,0.333,0.444,24,35,-3.667,1.000,11,0
Seagulls,-200.590,4,14,6,8,0,0.429,0.491,143,145,-0.143,1.000,24,0
Dublin Gravity,-236.300,2,12,5,7,0,0.417,0.463,125,119,0.500,1.000,18,0
SYC,-349.990,4,16,4,12,0,0.250,0.531,132,202,-4.375,1.000,26,0
Queen Kong,-469.570,1,6,1,5,0,0.167,0.383,43,57,-2.333,1.000,17,0
Spice,-476.870,3,8,2,6,0,0.250,0.361,69,90,-2.625,1.000,18,0
ZU Swarm,-577.550,1,3,0,3,0,0.000,0.378,22,43,-7.000,1.000,16,0
FlyHigh Louves,-598.110,1,6,2,4,0,0.333,0.444,39,75,-6.000,1.000,19,0
Copenhagen Hucks,-677.920,1,5,1,4,0,0.200,0.480,37,65,-5.600,1.000,15,0
Horizon,-820.770,2,7,0,7,0,0.000,0.446,48,98,-7.143,1.000,18,0
Solebang,-958.450,1,6,0,6,0,0.000,0.407,28,82,-9.000,1.000,17,0
Aarhus Ultimate,-1277.920,1,5,0,5,0,0.000,0.520,13,75,-12.400,1.000,15,0
