Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,741.900,1,6,6,0,0,1.000,0.647,88,45,7.167,1.000,21,0
Heck,548.220,1,1,1,0,0,1.000,0.857,11,10,1.000,1.000,6,0
Glasgow Ultimate,423.220,2,7,6,1,0,0.857,0.476,87,51,5.143,1.000,8,0
Mosquitos,386.410,1,6,5,1,0,0.833,0.647,79,60,3.167,1.000,21,0
Leamington Lemmings,370.140,1,6,5,1,0,0.833,0.492,81,67,2.333,1.000,20,0
Deep Space,350.990,2,12,9,3,0,0.750,0.535,161,122,3.250,1.000,28,0
Zoom Ultimate,348.720,1,1,1,0,0,1.000,0.500,12,8,4.000,2.000,2,0
Sesquidistus,346.620,3,8,6,2,0,0.750,0.457,110,86,3.000,1.000,25,0
Cus Padova Rangərs,191.630,1,5,4,1,0,0.800,0.467,63,38,5.000,1.000,16,0
PELT,183.590,1,6,4,2,0,0.667,0.563,70,59,1.833,1.000,14,0
PUC,175.350,3,9,6,3,0,0.667,0.506,113,83,3.333,1.000,21,0
Reading Ultimate,125.570,1,6,3,3,0,0.500,0.450,78,77,0.167,1.000,19,0
Heroes Flying Disc,73.640,1,6,3,3,0,0.500,0.569,66,65,0.167,1.000,21,0
Nullacht! Ultimate,61.790,2,12,6,6,0,0.500,0.482,143,133,0.833,1.000,21,0
Sky This Warszawa,26.830,1,6,5,1,0,0.833,0.389,75,67,1.333,1.000,13,0
Frubb,5.350,1,5,4,1,0,0.800,0.400,66,56,2.000,1.000,14,0
Malmö Ultimate Club,-24.150,1,6,3,3,0,0.500,0.587,64,63,0.167,1.000,14,0
BN1,-24.200,1,6,3,3,0,0.500,0.522,73,65,1.333,1.000,16,0
Manchots,-26.280,2,7,2,5,0,0.286,0.524,81,96,-2.143,1.000,14,0
Tartu Turbulence,-34.220,1,6,1,5,0,0.167,0.492,74,85,-1.833,1.000,20,0
Disconnection,-35.010,1,6,1,5,0,0.167,0.548,67,80,-2.167,1.000,14,0
OUT,-74.910,1,6,3,3,0,0.500,0.475,67,62,0.833,1.000,20,0
Steamhuck,-92.430,1,2,1,1,0,0.500,0.500,15,18,-1.500,2.000,2,0
Savage Ultimate,-121.280,1,6,2,4,0,0.333,0.448,61,67,-1.000,1.000,14,0
Colorado,-127.320,1,6,2,4,0,0.333,0.486,65,65,0.000,1.000,21,0
Remix,-194.470,1,3,1,2,0,0.333,0.444,32,31,0.333,1.000,13,0
Fireball Ultimate,-217.420,1,1,0,1,0,0.000,0.500,6,7,-1.000,2.000,2,0
The Owls,-342.470,2,9,3,6,0,0.333,0.509,76,113,-4.111,1.000,21,0
Nuclear Discs,-435.850,1,6,1,5,0,0.167,0.489,52,72,-3.333,1.000,14,0
Wiener Mischung,-465.360,1,6,0,6,0,0.000,0.560,49,89,-6.667,1.000,14,0
DTU,-473.330,1,6,1,5,0,0.167,0.504,43,77,-5.667,1.000,14,0
W.underteam,-478.000,1,6,2,4,0,0.333,0.389,40,78,-6.333,1.000,16,0
AKS Zły Ultimate,-546.670,1,6,1,5,0,0.167,0.361,56,76,-3.333,1.000,16,0
Zombees,-773.380,1,6,0,6,0,0.000,0.461,34,87,-8.833,1.000,15,0
