Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Gentle Invite,2024-03-16,Freezzz Beezzz,Armada,15,7,600.000,1.000,0,453.760
Gentle Invite,2024-03-16,Iznogood,Armada,15,8,564.809,1.000,0,711.060
Gentle Invite,2024-03-17,Iznogood,Freezzz Beezzz,14,12,220.957,1.000,0,257.300
Single Game,2024-04-05,One Tribe,BFD LaFotta,15,9,515.481,1.000,0,-76.820
Spring Tour 2024 Brno,2024-04-20,3SB,KFUM Örebro Frisbee,14,8,536.035,1.000,0,565.420
Spring Tour 2024 Brno,2024-04-20,3SB,Outsiterz,15,10,453.604,1.000,0,472.440
Spring Tour 2024 Brno,2024-04-20,3SB,thebigEZ,15,8,564.809,1.000,0,502.760
Spring Tour 2024 Brno,2024-04-20,FWD>>,Atrofované Ruce,14,6,600.000,1.000,0,315.060
Spring Tour 2024 Brno,2024-04-20,KFK,Atrofované Ruce,15,9,515.481,1.000,0,699.490
Spring Tour 2024 Brno,2024-04-20,KFK,Uprising Ultimate,11,9,249.207,1.000,0,182.980
Spring Tour 2024 Brno,2024-04-20,Outsiterz,Panthers Wrocław,14,11,313.338,1.000,0,195.580
Spring Tour 2024 Brno,2024-04-20,Panthers Wrocław,KFUM Örebro Frisbee,12,11,125.000,1.000,0,-102.600
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,Atrofované Ruce,15,8,564.809,1.000,0,647.340
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,FWD>>,15,8,564.809,1.000,0,332.280
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,KFK,13,11,228.840,1.000,0,-52.150
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,FWD>>,13,12,125.000,1.000,0,201.450
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,Terrible Monkeys,15,7,600.000,1.000,0,-130.830
Spring Tour 2024 Brno,2024-04-20,thebigEZ,KFUM Örebro Frisbee,12,9,345.365,1.000,0,62.660
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Outsiterz,10,9,125.000,1.000,0,-30.320
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Panthers Wrocław,11,10,125.000,1.000,0,165.260
Spring Tour 2024 Grenoble,2024-04-20,Flying Angels Bern,Aarhus,12,6,579.311,0.973,0,461.560
Spring Tour 2024 Grenoble,2024-04-20,Freezzz Beezzz,Freespeed,15,8,564.809,1.000,0,278.150
Spring Tour 2024 Grenoble,2024-04-20,Grut,Freespeed,13,8,496.160,1.000,0,659.340
Spring Tour 2024 Grenoble,2024-04-20,Grut,SMOG,14,12,220.957,1.000,0,290.590
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Révolution'Air,15,3,600.000,1.000,0,719.500
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Smash'D,15,11,381.165,1.000,0,291.730
Spring Tour 2024 Grenoble,2024-04-20,Heidees,UFO,15,10,453.604,1.000,0,257.690
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,AUT Beefree,14,5,600.000,1.000,1,690.170
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,Solebang,12,10,238.123,1.000,0,346.710
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Aarhus,13,8,496.160,1.000,0,503.020
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Flying Angels Bern,14,13,125.000,1.000,0,41.460
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,AUT Beefree,13,8,496.160,1.000,0,728.090
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Iznogood,10,9,125.000,1.000,0,37.920
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Solebang,11,9,249.207,1.000,0,384.630
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freespeed,13,10,328.142,1.000,0,368.750
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freezzz Beezzz,15,12,300.492,1.000,0,90.600
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,Révolution'Air,15,10,453.604,1.000,0,427.770
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,ZU PlatZHirsch,15,8,564.809,1.000,0,451.370
Spring Tour 2024 Grenoble,2024-04-20,Solebang,AUT Beefree,13,5,600.000,1.000,0,343.460
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Freezzz Beezzz,15,6,600.000,1.000,0,532.780
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Grut,11,10,125.000,1.000,0,151.590
Spring Tour 2024 Grenoble,2024-04-20,Tchac,SMOG,15,10,453.604,1.000,0,442.180
Spring Tour 2024 Grenoble,2024-04-20,UFO,Révolution'Air,15,9,515.481,1.000,0,461.810
Spring Tour 2024 Grenoble,2024-04-20,UFO,ZU PlatZHirsch,13,10,328.142,1.000,0,485.410
Spring Tour 2024 Grenoble,2024-04-20,XVI,Aarhus,15,6,600.000,1.000,1,873.480
Spring Tour 2024 Grenoble,2024-04-20,XVI,Flying Angels Bern,13,9,418.566,1.000,0,411.920
Spring Tour 2024 Grenoble,2024-04-20,XVI,Monkey,15,8,564.809,1.000,0,370.460
Spring Tour 2024 Grenoble,2024-04-20,ZU PlatZHirsch,Révolution'Air,12,8,441.155,1.000,0,-23.600
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,One Tribe,13,9,418.566,1.000,0,76.820
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,REDBULLS,15,8,564.809,1.000,0,662.250
Spring Tour 2024 Padova,2024-04-20,Catchup Graz,Bad Skid,14,12,220.957,1.000,0,-96.840
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Bad Skid,15,11,381.165,1.000,0,103.050
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Catchup Graz,15,11,381.165,1.000,0,199.890
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,DiscoBolo,15,6,600.000,1.000,0,456.350
Spring Tour 2024 Padova,2024-04-20,DiscoBolo,REDBULLS,15,13,214.179,1.000,0,-16.340
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,BFD LaFotta,13,11,228.840,1.000,0,87.580
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,Catchup Graz,15,7,600.000,1.000,0,509.710
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,DiscoBolo,15,10,453.604,1.000,0,766.170
