Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,575.550,2,12,12,0,0,1.000,0.462,171,130,3.417,1.000,28,0
BFD LaFotta,487.970,4,17,10,7,0,0.588,0.614,220,180,2.353,1.000,30,1
Clapham,484.860,2,12,10,2,0,0.833,0.487,166,128,3.167,1.000,37,1
Wall City,477.140,1,6,4,2,0,0.667,0.481,86,78,1.333,1.000,19,0
Gentle,419.670,1,6,3,3,0,0.500,0.692,79,81,-0.333,1.000,21,0
One Tribe,411.150,3,8,6,2,0,0.750,0.491,107,85,2.750,1.000,24,0
Ranelagh,397.270,1,6,4,2,0,0.667,0.457,81,63,3.000,1.000,23,0
Chevron Action Flash,387.930,3,10,5,5,0,0.500,0.637,128,120,0.800,1.000,32,1
Tchac,367.840,2,14,12,2,0,0.857,0.518,179,130,3.500,1.000,47,1
3SB,362.560,1,6,6,0,0,1.000,0.495,89,47,7.000,1.000,19,0
Cotarica Grandes,265.730,3,14,9,5,0,0.643,0.489,182,146,2.571,1.000,45,1
Bristol,235.340,2,4,3,1,0,0.750,0.496,47,43,1.000,1.000,28,0
XVI,233.050,1,6,5,1,0,0.833,0.569,75,56,3.167,1.000,28,0
Grut,216.250,2,8,5,3,0,0.625,0.484,93,77,2.000,1.000,28,0
Bad Skid,162.680,2,7,3,4,0,0.429,0.552,90,87,0.429,1.000,23,0
Jetset Open,156.670,2,13,3,10,0,0.231,0.633,155,168,-1.000,1.000,39,1
Quijotes,130.280,2,9,6,3,0,0.667,0.512,101,87,1.556,1.000,33,0
Iznogood,92.360,4,14,8,6,0,0.571,0.500,165,134,2.214,1.000,31,1
Catchup Graz,65.840,2,9,5,4,0,0.556,0.568,106,116,-1.111,1.000,33,0
FrankN,35.910,2,4,3,1,0,0.750,0.425,53,39,3.500,1.000,22,0
Heidees,29.190,1,6,5,1,0,0.833,0.416,83,54,4.833,1.000,20,0
Alba,10.830,2,8,2,6,0,0.250,0.584,74,112,-4.750,1.000,27,0
7Schwaben,9.560,1,3,2,1,0,0.667,0.440,41,41,0.000,1.000,17,0
SMOG,-74.340,2,7,3,4,0,0.429,0.461,87,87,0.000,1.000,28,0
KFK,-79.690,1,6,4,2,0,0.667,0.466,76,66,1.667,1.000,14,0
Panthers Bern Ultimate,-87.520,1,6,1,5,0,0.167,0.540,60,84,-4.000,1.000,23,0
Outsiterz,-109.880,3,15,7,8,0,0.467,0.483,168,177,-0.600,1.000,42,1
Terrible Monkeys,-131.840,1,6,4,2,0,0.667,0.370,76,64,2.000,1.000,18,0
Monkey,-137.410,2,7,3,4,0,0.429,0.641,72,89,-2.429,1.000,29,0
thebigEZ,-140.200,2,11,6,5,0,0.545,0.525,120,122,-0.182,1.000,34,1
Freezzz Beezzz,-164.940,3,11,5,6,0,0.455,0.374,130,129,0.091,1.000,27,0
REDBULLS,-174.280,1,6,1,5,0,0.167,0.417,61,84,-3.833,1.000,16,0
Flying Angels Bern,-178.870,2,9,5,4,0,0.556,0.385,109,94,1.667,1.000,30,0
DiscoBolo,-190.620,1,6,1,5,0,0.167,0.493,62,86,-4.000,1.000,22,0
KFUM Örebro Frisbee,-202.860,1,6,3,3,0,0.500,0.555,65,70,-0.833,1.000,19,0
Hardfisch,-217.120,2,7,1,6,0,0.143,0.593,67,99,-4.571,1.000,40,0
UFO,-228.500,2,9,4,5,0,0.444,0.475,108,113,-0.556,1.000,37,0
Solebang,-254.350,2,7,3,4,0,0.429,0.362,76,68,1.143,1.000,26,0
Smash'D,-262.540,2,8,4,4,0,0.500,0.476,89,96,-0.875,1.000,28,0
Uprising Ultimate,-262.670,3,11,4,7,0,0.364,0.532,116,125,-0.818,1.000,24,0
Panthers Wrocław,-305.460,2,7,3,4,0,0.429,0.443,76,82,-0.857,1.000,19,0
Freespeed,-443.090,1,6,1,5,0,0.167,0.443,53,69,-2.667,1.000,27,0
FWD>>,-464.120,2,9,2,7,0,0.222,0.433,95,110,-1.667,1.000,25,0
Ka-Pow!,-558.680,2,4,1,3,0,0.250,0.436,36,53,-4.250,1.000,30,0
AUT Beefree,-597.810,2,7,1,6,0,0.143,0.498,47,89,-6.000,1.000,37,0
Armada,-618.700,1,2,0,2,0,0.000,0.513,15,30,-7.500,1.000,16,0
Aarhus,-640.430,1,6,1,5,0,0.167,0.471,44,75,-5.167,1.000,24,0
Révolution'Air,-690.310,1,6,1,5,0,0.167,0.369,46,72,-4.333,1.000,22,0
Krakens,-695.500,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
ZU PlatZHirsch,-713.910,2,8,1,7,0,0.125,0.447,66,109,-5.375,1.000,30,0
Atrofované Ruce,-779.180,1,6,0,6,0,0.000,0.469,43,86,-7.167,1.000,18,0
