Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Gentle Invite,2024-03-16,PUC,Remix,11,7,466.893,0.973,0,368.740
Gentle Invite,2024-03-16,PUC,The Owls,15,10,453.604,1.000,0,501.650
Gentle Invite,2024-03-16,Remix,The Owls,15,9,515.481,1.000,0,132.910
Gentle Invite,2024-03-17,The Owls,Remix,11,10,125.000,1.000,0,-132.910
FFFD Mixed Ph1,2024-03-24,Sesquidistus,PUC,14,10,398.702,1.000,0,322.640
FFFD Mixed Ph2,2024-04-07,Sesquidistus,Manchots,15,10,453.604,1.000,0,339.110
Spring Tour 2024 Malmö,2024-04-20,Glasgow Ultimate,PELT,10,5,573.898,0.889,0,0.790
Spring Tour 2024 Malmö,2024-04-20,Glasgow Ultimate,Savage Ultimate,13,7,557.532,1.000,0,214.410
Spring Tour 2024 Malmö,2024-04-20,Glasgow Ultimate,Wiener Mischung,15,8,564.809,1.000,0,610.130
Spring Tour 2024 Malmö,2024-04-20,Malmö Ultimate Club,DTU,15,7,600.000,1.000,0,337.260
Spring Tour 2024 Malmö,2024-04-20,Malmö Ultimate Club,Nullacht! Ultimate,12,11,125.000,1.000,0,-270.800
Spring Tour 2024 Malmö,2024-04-20,Nullacht! Ultimate,DTU,11,4,600.000,0.918,1,608.060
Spring Tour 2024 Malmö,2024-04-20,PELT,Savage Ultimate,12,11,125.000,1.000,0,213.620
Spring Tour 2024 Malmö,2024-04-20,PELT,Wiener Mischung,15,7,600.000,1.000,0,609.340
Spring Tour 2024 Malmö,2024-04-20,Savage Ultimate,Wiener Mischung,15,10,453.604,1.000,0,395.720
Spring Tour 2024 Malmö,2024-04-20,Sky This Warszawa,DTU,14,7,582.887,1.000,0,456.580
Spring Tour 2024 Malmö,2024-04-20,Sky This Warszawa,Malmö Ultimate Club,12,11,125.000,1.000,0,119.320
Spring Tour 2024 Malmö,2024-04-20,Sky This Warszawa,Nullacht! Ultimate,15,12,300.492,1.000,0,-151.480
Spring Tour 2024 Padova,2024-04-20,BN1,Colorado,13,10,328.142,1.000,0,139.700
Spring Tour 2024 Padova,2024-04-20,BN1,W.underteam,15,7,600.000,1.000,0,526.090
Spring Tour 2024 Padova,2024-04-20,Colorado,AKS Zły Ultimate,15,9,515.481,1.000,0,437.420
Spring Tour 2024 Padova,2024-04-20,Colorado,W.underteam,15,3,600.000,1.000,0,386.390
Spring Tour 2024 Padova,2024-04-20,Cus Padova Rangərs,Nuclear Discs,15,5,600.000,1.000,1,764.150
Spring Tour 2024 Padova,2024-04-20,Cus Padova Rangərs,OUT,15,6,600.000,1.000,0,317.850
Spring Tour 2024 Padova,2024-04-20,Deep Space,Heroes Flying Disc,15,1,600.000,1.000,1,633.780
Spring Tour 2024 Padova,2024-04-20,Deep Space,The Owls,15,6,600.000,1.000,1,842.120
Spring Tour 2024 Padova,2024-04-20,Frubb,Nuclear Discs,14,9,473.868,1.000,0,388.680
Spring Tour 2024 Padova,2024-04-20,Frubb,Zombees,15,10,453.604,1.000,0,783.430
Spring Tour 2024 Padova,2024-04-20,Mosquitos,Heroes Flying Disc,15,11,381.165,1.000,0,443.010
Spring Tour 2024 Padova,2024-04-20,Mosquitos,The Owls,15,4,600.000,1.000,1,651.350
Spring Tour 2024 Padova,2024-04-20,Nuclear Discs,Zombees,12,7,520.511,1.000,0,394.750
Spring Tour 2024 Padova,2024-04-20,OUT,Nuclear Discs,11,8,365.609,1.000,0,446.300
Spring Tour 2024 Padova,2024-04-20,OUT,Zombees,15,3,600.000,1.000,1,841.050
Spring Tour 2024 Padova,2024-04-20,PUC,AKS Zły Ultimate,15,8,564.809,1.000,0,829.520
Spring Tour 2024 Padova,2024-04-20,PUC,BN1,14,10,398.702,1.000,0,252.400
Spring Tour 2024 Padova,2024-04-20,PUC,Colorado,15,3,600.000,1.000,0,392.100
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,Deep Space,15,12,300.492,1.000,0,158.830
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,Heroes Flying Disc,15,9,515.481,1.000,0,792.610
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,Mosquitos,15,9,515.481,1.000,0,349.600
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,The Owls,15,4,600.000,1.000,1,1000.950
Spring Tour 2024 Padova,2024-04-20,W.underteam,AKS Zły Ultimate,12,9,345.365,1.000,0,51.030
Spring Tour 2024 Malmö,2024-04-21,DTU,Wiener Mischung,15,10,453.604,1.000,0,-30.110
Spring Tour 2024 Malmö,2024-04-21,Glasgow Ultimate,DTU,15,3,600.000,1.000,1,640.240
Spring Tour 2024 Malmö,2024-04-21,Glasgow Ultimate,Malmö Ultimate Club,12,6,579.311,0.973,0,302.980
Spring Tour 2024 Malmö,2024-04-21,Glasgow Ultimate,PELT,12,11,125.000,1.000,0,0.790
Spring Tour 2024 Malmö,2024-04-21,Malmö Ultimate Club,Savage Ultimate,10,9,125.000,1.000,0,-88.570
Spring Tour 2024 Malmö,2024-04-21,Nullacht! Ultimate,Savage Ultimate,15,7,600.000,1.000,0,182.230
Spring Tour 2024 Malmö,2024-04-21,Nullacht! Ultimate,Wiener Mischung,15,2,600.000,1.000,0,577.950
Spring Tour 2024 Malmö,2024-04-21,PELT,Nullacht! Ultimate,12,11,125.000,1.000,0,31.390
Spring Tour 2024 Malmö,2024-04-21,PELT,Sky This Warszawa,15,8,564.809,1.000,0,182.870
Spring Tour 2024 Malmö,2024-04-21,Savage Ultimate,DTU,12,7,520.511,1.000,0,425.830
Spring Tour 2024 Malmö,2024-04-21,Sky This Warszawa,Malmö Ultimate Club,12,10,238.123,1.000,0,119.320
Spring Tour 2024 Malmö,2024-04-21,Sky This Warszawa,Wiener Mischung,14,12,220.957,1.000,0,426.470
Spring Tour 2024 Padova,2024-04-21,AKS Zły Ultimate,Zombees,15,8,564.809,1.000,0,360.730
Spring Tour 2024 Padova,2024-04-21,BN1,AKS Zły Ultimate,15,6,600.000,1.000,0,577.120
Spring Tour 2024 Padova,2024-04-21,Cus Padova Rangərs,PUC,13,12,125.000,1.000,0,-31.350
Spring Tour 2024 Padova,2024-04-21,Cus Padova Rangərs,Zombees,15,2,600.000,1.000,1,1158.900
Spring Tour 2024 Padova,2024-04-21,Deep Space,Colorado,13,11,228.840,1.000,0,732.570
Spring Tour 2024 Padova,2024-04-21,Deep Space,OUT,12,11,125.000,1.000,0,689.670
Spring Tour 2024 Padova,2024-04-21,Frubb,BN1,13,12,125.000,1.000,0,-154.420
Spring Tour 2024 Padova,2024-04-21,Frubb,OUT,13,12,125.000,1.000,0,-57.620
Spring Tour 2024 Padova,2024-04-21,Heroes Flying Disc,Nuclear Discs,15,9,515.481,1.000,0,502.190
Spring Tour 2024 Padova,2024-04-21,Heroes Flying Disc,The Owls,15,6,600.000,1.000,0,208.340
Spring Tour 2024 Padova,2024-04-21,Heroes Flying Disc,W.underteam,15,5,600.000,1.000,0,485.180
Spring Tour 2024 Padova,2024-04-21,Mosquitos,BN1,15,8,564.809,1.000,0,402.100
Spring Tour 2024 Padova,2024-04-21,Mosquitos,Deep Space,12,11,125.000,1.000,0,-190.770
Spring Tour 2024 Padova,2024-04-21,Mosquitos,Frubb,13,11,228.840,1.000,0,556.520
Spring Tour 2024 Padova,2024-04-21,OUT,Colorado,12,11,125.000,1.000,0,42.900
Spring Tour 2024 Padova,2024-04-21,PUC,W.underteam,15,3,600.000,1.000,1,778.490
Spring Tour 2024 Padova,2024-04-21,The Owls,AKS Zły Ultimate,11,9,249.207,1.000,0,327.870
Spring Tour 2024 Padova,2024-04-21,The Owls,Zombees,15,4,600.000,1.000,1,688.600
Spring Tour 2024 Padova,2024-04-21,Tiefseetaucher,Cus Padova Rangərs,13,5,600.000,1.000,0,530.650
Spring Tour 2024 Padova,2024-04-21,Tiefseetaucher,PUC,15,6,600.000,1.000,0,499.300
Spring Tour 2024 Padova,2024-04-21,W.underteam,Nuclear Discs,10,9,125.000,1.000,0,17.010
Elite Invite 2024 Leuven,2024-05-10,Deep Space,Disconnection,15,10,453.604,1.000,0,298.100
Elite Invite 2024 Leuven,2024-05-10,Deep Space,Tartu Turbulence,15,13,214.179,1.000,0,281.560
Elite Invite 2024 Leuven,2024-05-10,Leamington Lemmings,Manchots,13,11,228.840,1.000,0,302.940
Elite Invite 2024 Leuven,2024-05-10,Manchots,Reading Ultimate,15,13,214.179,1.000,0,-224.860
Elite Invite 2024 Leuven,2024-05-10,Nullacht! Ultimate,Leamington Lemmings,14,13,125.000,1.000,0,-277.760
Elite Invite 2024 Leuven,2024-05-10,Reading Ultimate,Nullacht! Ultimate,15,12,300.492,1.000,0,199.680
Elite Invite 2024 Leuven,2024-05-10,Sesquidistus,Disconnection,15,11,381.165,1.000,0,280.270
Elite Invite 2024 Leuven,2024-05-10,Sesquidistus,Tartu Turbulence,15,11,381.165,1.000,0,263.730
Elite Invite 2024 Leuven,2024-05-11,Deep Space,Reading Ultimate,12,11,125.000,1.000,0,132.080
Elite Invite 2024 Leuven,2024-05-11,Deep Space,Sesquidistus,15,10,453.604,1.000,0,17.830
Elite Invite 2024 Leuven,2024-05-11,Disconnection,Tartu Turbulence,15,8,564.809,1.000,0,-16.540
Elite Invite 2024 Leuven,2024-05-11,Leamington Lemmings,Disconnection,15,11,381.165,1.000,0,244.100
Elite Invite 2024 Leuven,2024-05-11,Leamington Lemmings,Reading Ultimate,14,9,473.868,1.000,0,78.080
Elite Invite 2024 Leuven,2024-05-11,Nullacht! Ultimate,Manchots,15,10,453.604,1.000,0,25.180
Elite Invite 2024 Leuven,2024-05-11,Nullacht! Ultimate,Tartu Turbulence,14,13,125.000,1.000,0,-50.200
Elite Invite 2024 Leuven,2024-05-11,Sesquidistus,Manchots,15,12,300.492,1.000,0,339.110
Elite Invite 2024 Leuven,2024-05-12,Deep Space,Nullacht! Ultimate,15,8,564.809,1.000,0,331.760
Elite Invite 2024 Leuven,2024-05-12,Leamington Lemmings,Deep Space,14,11,313.338,1.000,0,-54.000
Elite Invite 2024 Leuven,2024-05-12,Leamington Lemmings,Sesquidistus,12,11,125.000,1.000,0,-36.170
Elite Invite 2024 Leuven,2024-05-12,Manchots,Disconnection,12,10,238.123,1.000,0,-58.840
Elite Invite 2024 Leuven,2024-05-12,Reading Ultimate,Disconnection,15,10,453.604,1.000,0,166.020
Elite Invite 2024 Leuven,2024-05-12,Reading Ultimate,Tartu Turbulence,15,14,125.000,1.000,0,149.480
Elite Invite 2024 Leuven,2024-05-12,Sesquidistus,Nullacht! Ultimate,15,5,600.000,1.000,0,313.930
Elite Invite 2024 Leuven,2024-05-12,Tartu Turbulence,Manchots,15,11,381.165,1.000,0,75.380
Türkiye Mixed Nationals,2024-05-19,Steamhuck,Fireball Ultimate,7,6,125.000,0.827,0,124.990
Türkiye Mixed Nationals,2024-05-19,Zoom Ultimate,Steamhuck,12,8,441.155,1.000,0,235.170
UKU Regionals,2024-06-08,Heck,Glasgow Ultimate,11,10,125.000,1.000,0,-95.950
Windmill Tournament,2024-06-14,Remix,Zoom Ultimate,12,11,125.000,1.000,0,-6.780
Windmill Tournament,2024-06-14,Zoom Ultimate,Cus Padova Rangərs,9,8,125.000,0.946,0,-330.610
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,BN1,14,8,536.035,1.000,0,592.870
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,Heck,14,8,536.035,1.000,0,395.530
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,Leamington Lemmings,15,7,600.000,1.000,0,54.000
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,Reading Ultimate,12,11,125.000,1.000,0,132.080
UKU Nationals Div 1 & 2,2024-07-07,Heck,BN1,15,9,515.481,1.000,0,197.340
UKU Nationals Div 1 & 2,2024-07-07,Leamington Lemmings,Heck,15,8,564.809,1.000,0,341.530
UKU Nationals Div 1 & 2,2024-07-07,Reading Ultimate,Heck,15,8,564.809,1.000,0,263.450
UKU Nationals Div 1 & 2,2024-07-07,Reading Ultimate,Leamington Lemmings,13,10,328.142,1.000,0,-78.080
"DFV-Mixed-DM 2. Spielwochenende, 1. Liga",2024-07-13,Tiefseetaucher,Disconnection,15,13,214.179,1.000,0,456.930
"DFV-Mixed-DM 2. Spielwochenende, 1. Liga",2024-07-14,Tiefseetaucher,Disconnection,15,10,453.604,1.000,0,456.930
Zoom Ultimate vs Steamhuck,2024-07-27,Zoom Ultimate,Steamhuck,8,7,125.000,0.889,0,235.170
Zoom Ultimate vs Steamhuck,2024-07-27,Zoom Ultimate,Steamhuck,8,6,300.492,0.858,0,235.170
Summer Tour 2024 Birmingham,2024-08-03,Deep Space,Glasgow Ultimate,10,7,389.665,0.946,0,299.580
Summer Tour 2024 Birmingham,2024-08-03,Deep Space,Leamington Lemmings,11,10,125.000,1.000,0,54.000
Summer Tour 2024 Birmingham,2024-08-03,Deep Space,Reading Ultimate,13,9,418.566,1.000,0,132.080
Summer Tour 2024 Birmingham,2024-08-03,Leamington Lemmings,BN1,12,8,441.155,1.000,0,538.870
Summer Tour 2024 Birmingham,2024-08-03,Leamington Lemmings,Glasgow Ultimate,11,10,125.000,1.000,0,245.580
Summer Tour 2024 Birmingham,2024-08-03,Reading Ultimate,BN1,14,8,536.035,1.000,0,460.790
Summer Tour 2024 Birmingham,2024-08-04,BN1,Glasgow Ultimate,10,7,389.665,0.946,0,-293.290
Summer Tour 2024 Birmingham,2024-08-04,Deep Space,BN1,13,6,600.000,1.000,0,592.870
Summer Tour 2024 Birmingham,2024-08-04,Deep Space,Leamington Lemmings,12,11,125.000,1.000,0,54.000
Summer Tour 2024 Birmingham,2024-08-04,Leamington Lemmings,Reading Ultimate,14,7,582.887,1.000,0,78.080
Summer Tour 2024 Birmingham,2024-08-04,Reading Ultimate,BN1,13,7,557.532,1.000,0,460.790
Summer Tour 2024 Birmingham,2024-08-04,Reading Ultimate,Glasgow Ultimate,14,8,536.035,1.000,0,167.500
Remix vs PUC,2024-08-10,PUC,Remix,15,8,564.809,1.000,0,368.740
Summer Tour 2024 Freiburg,2024-08-17,Cus Padova Rangərs,Colorado,14,7,582.887,1.000,0,360.750
Summer Tour 2024 Freiburg,2024-08-17,Cus Padova Rangərs,The Owls,14,7,582.887,1.000,0,470.300
Summer Tour 2024 Freiburg,2024-08-17,Disconnection,Nullacht! Ultimate,14,13,125.000,1.000,0,33.660
Summer Tour 2024 Freiburg,2024-08-17,Disconnection,Wiener Mischung,15,5,600.000,1.000,1,611.610
Summer Tour 2024 Freiburg,2024-08-17,Heck,Cus Padova Rangərs,11,9,249.207,1.000,0,-23.710
Summer Tour 2024 Freiburg,2024-08-17,Heck,The Owls,12,9,345.365,1.000,0,446.590
Summer Tour 2024 Freiburg,2024-08-17,Nullacht! Ultimate,Frubb,15,6,600.000,1.000,0,415.530
Summer Tour 2024 Freiburg,2024-08-17,Nullacht! Ultimate,Wiener Mischung,15,7,600.000,1.000,0,577.950
Summer Tour 2024 Freiburg,2024-08-17,Remix,Frubb,14,10,398.702,1.000,0,38.080
Summer Tour 2024 Freiburg,2024-08-17,Sesquidistus,Colorado,15,6,600.000,1.000,1,714.740
Summer Tour 2024 Freiburg,2024-08-17,Sesquidistus,Disconnection,14,12,220.957,1.000,0,280.270
Summer Tour 2024 Freiburg,2024-08-17,Sesquidistus,Zoom Ultimate,15,5,600.000,1.000,1,684.600
Summer Tour 2024 Freiburg,2024-08-17,The Owls,Zoom Ultimate,13,9,418.566,1.000,0,-139.690
Summer Tour 2024 Freiburg,2024-08-17,Tiefseetaucher,Frubb,15,3,600.000,1.000,1,906.120
Summer Tour 2024 Freiburg,2024-08-17,Tiefseetaucher,Heck,15,1,600.000,1.000,0,554.360
Summer Tour 2024 Freiburg,2024-08-17,Tiefseetaucher,Remix,15,3,600.000,1.000,1,868.040
Summer Tour 2024 Freiburg,2024-08-17,Wiener Mischung,Remix,11,10,125.000,1.000,0,-200.500
Summer Tour 2024 Freiburg,2024-08-17,Zoom Ultimate,Colorado,11,10,125.000,1.000,0,30.140
Summer Tour 2024 Warsaw,2024-08-17,KS Flow Wrocław,Heroes Flying Disc,10,9,125.000,1.000,0,-235.910
