Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Gentle Invite,2024-03-16,Freezzz Beezzz,Armada,15,7,600.000,1.000,0,318.270
Gentle Invite,2024-03-16,Iznogood,Armada,15,8,564.809,1.000,0,604.150
Gentle Invite,2024-03-17,Iznogood,Freezzz Beezzz,14,12,220.957,1.000,0,285.880
Spring Tour 2024 Brno,2024-04-20,3SB,KFUM Örebro Frisbee,14,8,536.035,1.000,0,455.420
Spring Tour 2024 Brno,2024-04-20,3SB,Outsiterz,15,10,453.604,1.000,0,469.840
Spring Tour 2024 Brno,2024-04-20,3SB,thebigEZ,15,8,564.809,1.000,0,531.360
Spring Tour 2024 Brno,2024-04-20,FWD>>,Atrofované Ruce,14,6,600.000,1.000,0,309.750
Spring Tour 2024 Brno,2024-04-20,KFK,Atrofované Ruce,15,9,515.481,1.000,0,690.290
Spring Tour 2024 Brno,2024-04-20,KFK,Uprising Ultimate,11,9,249.207,1.000,0,231.020
Spring Tour 2024 Brno,2024-04-20,Outsiterz,Panthers Wrocław,14,11,313.338,1.000,0,219.030
Spring Tour 2024 Brno,2024-04-20,Panthers Wrocław,KFUM Örebro Frisbee,12,11,125.000,1.000,0,-233.450
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,Atrofované Ruce,15,8,564.809,1.000,0,680.270
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,FWD>>,15,8,564.809,1.000,0,370.520
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,KFK,13,11,228.840,1.000,0,-10.020
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,FWD>>,13,12,125.000,1.000,0,149.520
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,Terrible Monkeys,15,7,600.000,1.000,0,-221.000
Spring Tour 2024 Brno,2024-04-20,thebigEZ,KFUM Örebro Frisbee,12,9,345.365,1.000,0,-75.940
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Outsiterz,10,9,125.000,1.000,0,-61.520
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Panthers Wrocław,11,10,125.000,1.000,0,157.510
Spring Tour 2024 Grenoble,2024-04-20,Flying Angels Bern,Aarhus,12,6,579.311,0.973,0,426.490
Spring Tour 2024 Grenoble,2024-04-20,Freezzz Beezzz,Freespeed,15,8,564.809,1.000,0,221.280
Spring Tour 2024 Grenoble,2024-04-20,Grut,Freespeed,13,8,496.160,1.000,0,562.460
Spring Tour 2024 Grenoble,2024-04-20,Grut,SMOG,14,12,220.957,1.000,0,188.380
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Révolution'Air,15,3,600.000,1.000,1,799.660
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Smash'D,15,11,381.165,1.000,0,321.040
Spring Tour 2024 Grenoble,2024-04-20,Heidees,UFO,15,10,453.604,1.000,0,320.200
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,AUT Beefree,14,5,600.000,1.000,1,673.100
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,Solebang,12,10,238.123,1.000,0,308.130
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Aarhus,13,8,496.160,1.000,0,427.540
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Flying Angels Bern,14,13,125.000,1.000,0,1.050
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,AUT Beefree,13,8,496.160,1.000,0,731.810
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Iznogood,10,9,125.000,1.000,0,58.710
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Solebang,11,9,249.207,1.000,0,366.840
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freespeed,13,10,328.142,1.000,0,374.080
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freezzz Beezzz,15,12,300.492,1.000,0,152.800
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,Révolution'Air,15,10,453.604,1.000,0,478.620
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,ZU PlatZHirsch,15,8,564.809,1.000,0,504.940
Spring Tour 2024 Grenoble,2024-04-20,Solebang,AUT Beefree,13,5,600.000,1.000,0,364.970
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Freezzz Beezzz,15,6,600.000,1.000,0,522.910
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Grut,11,10,125.000,1.000,0,181.730
Spring Tour 2024 Grenoble,2024-04-20,Tchac,SMOG,15,10,453.604,1.000,0,370.110
Spring Tour 2024 Grenoble,2024-04-20,UFO,Révolution'Air,15,9,515.481,1.000,0,479.460
Spring Tour 2024 Grenoble,2024-04-20,UFO,ZU PlatZHirsch,13,10,328.142,1.000,0,505.780
Spring Tour 2024 Grenoble,2024-04-20,XVI,Aarhus,15,6,600.000,1.000,1,807.570
Spring Tour 2024 Grenoble,2024-04-20,XVI,Flying Angels Bern,13,9,418.566,1.000,0,381.080
Spring Tour 2024 Grenoble,2024-04-20,XVI,Monkey,15,8,564.809,1.000,0,380.030
Spring Tour 2024 Grenoble,2024-04-20,ZU PlatZHirsch,Révolution'Air,12,8,441.155,1.000,0,-26.320
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,One Tribe,13,9,418.566,1.000,0,85.350
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,REDBULLS,15,8,564.809,1.000,0,657.540
Spring Tour 2024 Padova,2024-04-20,Catchup Graz,Bad Skid,14,12,220.957,1.000,0,-136.820
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Bad Skid,15,11,381.165,1.000,0,47.240
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Catchup Graz,15,11,381.165,1.000,0,184.060
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,DiscoBolo,15,6,600.000,1.000,0,463.000
Spring Tour 2024 Padova,2024-04-20,DiscoBolo,REDBULLS,15,13,214.179,1.000,0,16.610
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,BFD LaFotta,13,11,228.840,1.000,0,99.520
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,Catchup Graz,15,7,600.000,1.000,0,461.510
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,DiscoBolo,15,10,453.604,1.000,0,740.450
Spring Tour 2024 Padova,2024-04-20,One Tribe,Panthers Bern Ultimate,15,9,515.481,1.000,0,451.320
Spring Tour 2024 Padova,2024-04-20,Panthers Bern Ultimate,REDBULLS,12,10,238.123,1.000,0,120.870
Spring Tour 2024 Padova,2024-04-20,Ranelagh,Bad Skid,15,9,515.481,1.000,0,57.120
Spring Tour 2024 Padova,2024-04-20,Ranelagh,One Tribe,15,10,453.604,1.000,0,-82.700
Spring Tour 2024 Padova,2024-04-20,Ranelagh,Panthers Bern Ultimate,15,8,564.809,1.000,0,368.620
Spring Tour 2024 Brno,2024-04-21,3SB,KFK,15,10,453.604,1.000,0,479.990
Spring Tour 2024 Brno,2024-04-21,3SB,Panthers Wrocław,15,5,600.000,1.000,1,688.870
Spring Tour 2024 Brno,2024-04-21,3SB,Uprising Ultimate,15,6,600.000,1.000,1,711.010
Spring Tour 2024 Brno,2024-04-21,FWD>>,Panthers Wrocław,14,9,473.868,1.000,0,-171.660
Spring Tour 2024 Brno,2024-04-21,KFK,FWD>>,15,11,381.165,1.000,0,380.540
Spring Tour 2024 Brno,2024-04-21,KFK,thebigEZ,14,9,473.868,1.000,0,51.370
Spring Tour 2024 Brno,2024-04-21,KFUM Örebro Frisbee,FWD>>,11,10,125.000,1.000,0,405.110
Spring Tour 2024 Brno,2024-04-21,KFUM Örebro Frisbee,Outsiterz,13,10,328.142,1.000,0,14.420
Spring Tour 2024 Brno,2024-04-21,KFUM Örebro Frisbee,Terrible Monkeys,13,12,125.000,1.000,0,34.590
Spring Tour 2024 Brno,2024-04-21,Outsiterz,Atrofované Ruce,12,8,441.155,1.000,0,700.440
Spring Tour 2024 Brno,2024-04-21,Panthers Wrocław,Atrofované Ruce,15,6,600.000,1.000,0,481.410
Spring Tour 2024 Brno,2024-04-21,Terrible Monkeys,Outsiterz,14,9,473.868,1.000,0,-20.170
Spring Tour 2024 Brno,2024-04-21,Uprising Ultimate,Atrofované Ruce,15,6,600.000,1.000,0,459.270
Spring Tour 2024 Brno,2024-04-21,Uprising Ultimate,thebigEZ,14,13,125.000,1.000,0,-179.650
