Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,543.860,2,12,12,0,0,1.000,0.554,171,130,3.417,1.000,37,1
Clapham,484.350,3,14,12,2,0,0.857,0.567,192,141,3.643,1.000,49,1
BFD LaFotta,444.180,4,17,10,7,0,0.588,0.676,220,180,2.353,1.000,41,1
3SB,435.670,2,10,10,0,0,1.000,0.412,147,71,7.600,1.000,26,0
Tchac,407.500,2,14,12,2,0,0.857,0.545,179,130,3.500,1.000,53,1
Wall City,389.110,2,9,7,2,0,0.778,0.517,128,106,2.444,1.000,37,0
One Tribe,359.330,4,11,8,3,0,0.727,0.559,148,118,2.727,1.000,43,1
XVI,342.700,2,8,7,1,0,0.875,0.485,102,69,4.125,1.000,38,0
Chevron Action Flash,330.030,5,17,12,5,0,0.706,0.568,231,189,2.471,1.000,42,1
Gentle,304.660,2,9,5,4,0,0.556,0.608,119,115,0.444,1.000,27,0
Ranelagh,276.760,2,12,10,2,0,0.833,0.451,160,120,3.333,1.000,42,1
Cotarica Grandes,266.760,3,14,9,5,0,0.643,0.548,182,146,2.571,1.000,51,1
Quijotes,228.740,3,12,9,3,0,0.750,0.430,143,116,2.250,1.000,40,1
Grut,226.100,3,10,6,4,0,0.600,0.542,114,94,2.000,1.000,39,1
Bad Skid,219.420,4,12,8,4,0,0.667,0.473,163,136,2.250,1.000,35,1
Heidees,179.360,2,9,7,2,0,0.778,0.432,122,85,4.111,1.000,34,0
Iznogood,170.330,4,14,8,6,0,0.571,0.532,165,134,2.214,1.000,42,1
Catchup Graz,82.830,3,13,9,4,0,0.692,0.491,164,157,0.538,1.000,38,1
Jetset Open,80.970,3,16,4,12,0,0.250,0.626,191,203,-0.750,1.000,49,1
Bristol,56.960,4,11,5,6,0,0.455,0.468,137,132,0.455,1.000,37,1
SMOG,37.710,4,13,7,6,0,0.538,0.470,165,145,1.538,1.000,39,1
Alba,-0.610,4,14,7,7,0,0.500,0.513,157,183,-1.857,1.000,38,1
KFUM Örebro Frisbee,-19.760,2,12,7,5,0,0.583,0.518,142,131,0.917,1.000,37,1
Outsiterz,-34.340,4,19,10,9,0,0.526,0.473,222,216,0.316,1.000,49,1
Monkey,-37.530,3,10,4,6,0,0.400,0.587,109,127,-1.800,1.000,40,1
Flying Angels Bern,-38.640,4,14,8,6,0,0.571,0.416,169,160,0.643,1.000,50,1
KFK,-44.230,2,12,7,5,0,0.583,0.444,149,126,1.917,1.000,40,1
Terrible Monkeys,-54.360,2,10,7,3,0,0.700,0.388,127,111,1.600,1.000,25,0
Panthers Bern Ultimate,-92.190,2,9,2,7,0,0.222,0.566,97,126,-3.222,1.000,30,0
thebigEZ,-95.610,2,11,6,5,0,0.545,0.515,120,122,-0.182,1.000,40,1
FrankN,-97.990,4,9,5,4,0,0.556,0.426,108,111,-0.333,1.000,40,0
Freezzz Beezzz,-115.110,4,17,9,8,0,0.529,0.392,201,199,0.118,1.000,46,1
Solebang,-137.760,2,7,3,4,0,0.429,0.392,76,68,1.143,1.000,35,0
UFO,-140.500,2,9,4,5,0,0.444,0.484,108,113,-0.556,1.000,43,0
Smash'D,-141.710,4,14,6,8,0,0.429,0.472,151,169,-1.286,1.000,36,1
7Schwaben,-169.710,3,8,2,6,0,0.250,0.474,101,116,-1.875,1.000,28,0
Hardfisch,-190.080,4,14,4,10,0,0.286,0.514,150,186,-2.571,1.000,49,1
DiscoBolo,-196.330,1,6,1,5,0,0.167,0.556,62,86,-4.000,1.000,26,0
REDBULLS,-212.980,1,6,1,5,0,0.167,0.451,61,84,-3.833,1.000,24,0
Panthers Wrocław,-253.280,3,11,4,7,0,0.364,0.474,123,136,-1.182,1.000,28,0
Uprising Ultimate,-275.370,4,15,5,10,0,0.333,0.526,151,180,-1.933,1.000,33,1
Freespeed,-330.180,2,9,1,8,0,0.111,0.548,85,114,-3.222,1.000,39,0
Ka-Pow!,-400.100,4,11,2,9,0,0.182,0.456,101,151,-4.545,1.000,43,1
Black Birds,-420.630,1,3,0,3,0,0.000,0.467,24,43,-6.333,1.000,24,0
PirU,-422.320,1,5,1,4,0,0.200,0.496,53,72,-3.800,1.000,31,0
FWD>>,-424.930,3,13,2,11,0,0.154,0.494,126,167,-3.154,1.000,39,1
Armada,-433.900,2,6,0,6,0,0.000,0.638,55,87,-5.333,1.000,35,0
OTSO,-448.880,2,8,2,6,0,0.250,0.425,80,106,-3.250,1.000,34,0
Aarhus,-464.820,2,12,2,10,0,0.167,0.472,104,153,-4.083,1.000,45,1
AUT Beefree,-502.500,2,7,1,6,0,0.143,0.523,47,89,-6.000,1.000,42,0
Rebel Ultimate,-514.920,1,3,0,3,0,0.000,0.379,31,45,-4.667,1.000,14,0
Krakens,-578.920,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
Révolution'Air,-618.810,1,6,1,5,0,0.167,0.338,46,72,-4.333,1.000,25,0
ZU PlatZHirsch,-645.410,2,8,1,7,0,0.125,0.400,66,109,-5.375,1.000,37,0
Atrofované Ruce,-734.650,1,6,0,6,0,0.000,0.443,43,86,-7.167,1.000,23,0
Dublin Frisbee 7s,,1,2,0,2,0,0.000,0.707,7,30,-11.500,1.000,18,0
