Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
YAKA,595.550,3,11,9,2,0,0.818,0.605,148,96,4.727,1.000,27,0
BFD Shout,581.090,2,12,10,2,0,0.833,0.574,172,103,5.750,1.000,26,0
Jinx Midnight,507.980,4,11,9,2,0,0.818,0.612,142,110,2.909,1.000,30,1
3SB,473.090,2,7,6,1,0,0.857,0.506,91,60,4.429,1.000,20,0
GRUT,444.310,3,12,9,3,0,0.750,0.601,154,100,4.500,1.000,31,1
East Block,436.540,2,9,7,2,0,0.778,0.595,119,101,2.000,1.000,28,0
Atletico,308.280,1,6,6,0,0,1.000,0.338,86,37,8.167,1.000,15,0
Mooncup,296.580,2,12,7,5,0,0.583,0.602,143,123,1.667,1.000,30,1
Iceni,223.560,2,12,7,5,0,0.583,0.529,139,126,1.083,1.000,27,0
Bristol,203.740,3,13,8,5,0,0.615,0.517,155,121,2.615,1.000,21,0
Catchup,178.090,2,10,6,4,0,0.600,0.456,115,88,2.700,1.000,22,0
LMU,107.960,4,11,7,4,0,0.636,0.471,118,101,1.545,1.000,27,0
Troubles,105.990,3,8,4,4,0,0.500,0.569,83,88,-0.625,1.000,21,0
FABulous,97.150,4,18,9,9,0,0.500,0.530,200,183,0.944,1.000,23,0
Jetset LUV,-28.540,5,19,8,11,0,0.421,0.509,191,216,-1.316,1.000,26,0
box vienna ultimate,-44.010,3,12,4,8,0,0.333,0.552,124,144,-1.667,1.000,27,0
SMOG,-62.290,4,18,10,8,0,0.556,0.442,201,186,0.833,1.000,21,0
wuf.,-88.320,3,13,8,5,0,0.615,0.427,144,132,0.923,1.000,28,0
Tequila Boom Boom,-89.420,2,9,6,3,0,0.667,0.309,98,75,2.556,1.000,20,0
Seagulls,-124.980,4,14,6,8,0,0.429,0.501,143,145,-0.143,1.000,25,0
Dublin Gravity,-163.740,2,12,5,7,0,0.417,0.463,125,119,0.500,1.000,18,0
SYC,-236.000,5,19,6,13,0,0.316,0.512,173,231,-3.053,1.000,28,0
Sharks Ultimate Barcelona,-306.970,2,6,2,4,0,0.333,0.371,59,67,-1.333,1.000,22,0
Spice,-394.140,3,8,2,6,0,0.250,0.378,69,90,-2.625,1.000,19,0
Queen Kong,-487.440,2,9,1,8,0,0.111,0.469,68,94,-2.889,1.000,20,0
Copenhagen Hucks,-601.870,1,5,1,4,0,0.200,0.480,37,65,-5.600,1.000,15,0
FlyHigh Louves,-604.710,1,6,2,4,0,0.333,0.468,39,75,-6.000,1.000,21,0
Horizon,-742.040,2,7,0,7,0,0.000,0.446,48,98,-7.143,1.000,18,0
ZU Swarm,-742.460,2,7,0,7,0,0.000,0.443,44,103,-8.429,1.000,26,0
Solebang,-970.680,1,6,0,6,0,0.000,0.458,28,82,-9.000,1.000,19,0
Aarhus Ultimate,-1201.860,1,5,0,5,0,0.000,0.520,13,75,-12.400,1.000,15,0
Outsisterz,,1,3,0,3,0,0.000,0.444,10,45,-11.667,1.000,18,0
