Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,787.500,1,6,6,0,0,1.000,0.633,88,45,7.167,1.000,16,0
Sesquidistus,666.200,2,2,2,0,0,1.000,0.333,29,20,4.500,1.000,10,0
Glasgow Ultimate,473.190,1,6,6,0,0,1.000,0.389,77,40,6.167,2.000,7,0
Mosquitos,424.870,1,6,5,1,0,0.833,0.633,79,60,3.167,1.000,15,0
Deep Space,349.180,1,6,4,2,0,0.667,0.583,78,56,3.667,1.000,15,0
PUC,267.520,3,9,6,3,0,0.667,0.533,113,83,3.333,1.000,17,0
Cus Padova Rangərs,248.790,1,5,4,1,0,0.800,0.467,63,38,5.000,1.000,16,0
PELT,233.560,1,6,4,2,0,0.667,0.611,70,59,1.833,2.000,7,0
Manchots,212.590,1,1,0,1,0,0.000,1.000,10,15,-5.000,1.000,2,0
Heroes Flying Disc,115.700,1,6,3,3,0,0.500,0.556,66,65,0.167,1.000,15,0
Nullacht! Ultimate,111.720,1,6,3,3,0,0.500,0.417,75,52,3.833,2.000,7,0
Sky This Warszawa,76.810,1,6,5,1,0,0.833,0.389,75,67,1.333,2.000,7,0
Frubb,54.180,1,5,4,1,0,0.800,0.400,66,56,2.000,1.000,14,0
BN1,33.440,1,6,3,3,0,0.500,0.522,73,65,1.333,1.000,16,0
Malmö Ultimate Club,25.830,1,6,3,3,0,0.500,0.611,64,63,0.167,2.000,7,0
OUT,-33.960,1,6,3,3,0,0.500,0.461,67,62,0.833,1.000,14,0
Savage Ultimate,-71.320,1,6,2,4,0,0.333,0.472,61,67,-1.000,2.000,7,0
Colorado,-76.560,1,6,2,4,0,0.333,0.472,65,65,0.000,1.000,16,0
Remix,-118.820,1,3,1,2,0,0.333,0.444,32,31,0.333,1.000,13,0
The Owls,-274.850,2,9,3,6,0,0.333,0.500,76,113,-4.111,1.000,16,0
Nuclear Discs,-386.020,1,6,1,5,0,0.167,0.489,52,72,-3.333,1.000,14,0
Wiener Mischung,-415.400,1,6,0,6,0,0.000,0.583,49,89,-6.667,2.000,7,0
DTU,-423.360,1,6,1,5,0,0.167,0.528,43,77,-5.667,2.000,7,0
W.underteam,-425.340,1,6,2,4,0,0.333,0.389,40,78,-6.333,1.000,16,0
AKS Zły Ultimate,-483.660,1,6,1,5,0,0.167,0.361,56,76,-3.333,1.000,16,0
Zombees,-716.090,1,6,0,6,0,0.000,0.461,34,87,-8.833,1.000,15,0
