Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,590.180,1,6,6,0,0,1.000,0.486,86,61,4.167,1.000,20,0
BFD LaFotta,521.440,3,11,7,4,0,0.636,0.669,141,114,2.455,1.000,27,0
3SB,505.580,1,6,6,0,0,1.000,0.516,89,47,7.000,1.000,19,0
Clapham,485.870,1,6,5,1,0,0.833,0.563,77,53,4.000,1.000,31,0
One Tribe,428.220,3,8,6,2,0,0.750,0.489,107,85,2.750,1.000,20,0
Ranelagh,409.960,1,6,4,2,0,0.667,0.449,81,63,3.000,1.000,19,0
Tchac,407.230,2,14,12,2,0,0.857,0.545,179,130,3.500,1.000,42,1
Chevron Action Flash,323.070,1,3,2,1,0,0.667,0.620,33,33,0.000,1.000,23,0
Cotarica Grandes,289.170,3,14,9,5,0,0.643,0.492,182,146,2.571,1.000,39,1
Bristol,288.740,1,3,2,1,0,0.667,0.577,33,34,-0.333,1.000,20,0
XVI,275.820,1,6,5,1,0,0.833,0.574,75,56,3.167,1.000,28,0
Grut,248.740,2,8,5,3,0,0.625,0.548,93,77,2.000,1.000,24,0
Jetset Open,226.200,1,7,3,4,0,0.429,0.603,84,80,0.571,1.000,33,0
FrankN,179.440,1,2,2,0,0,1.000,0.312,30,17,6.500,1.000,16,0
Quijotes,163.460,2,9,6,3,0,0.667,0.504,101,87,1.556,1.000,28,0
Bad Skid,136.980,1,6,2,4,0,0.333,0.524,75,76,-0.167,1.000,17,0
Iznogood,127.390,4,15,9,6,0,0.600,0.507,179,140,2.600,1.000,26,0
KFK,75.070,1,6,4,2,0,0.667,0.509,76,66,1.667,1.000,14,0
Catchup Graz,68.650,2,8,4,4,0,0.500,0.571,91,107,-2.000,1.000,29,0
Heidees,56.420,1,6,5,1,0,0.833,0.407,83,54,4.833,1.000,19,0
Uprising Ultimate,40.280,1,6,4,2,0,0.667,0.509,72,64,1.333,1.000,14,0
Terrible Monkeys,17.940,1,6,4,2,0,0.667,0.414,76,64,2.000,1.000,17,0
SMOG,-9.810,1,6,3,3,0,0.500,0.488,77,75,0.333,1.000,25,0
Outsiterz,-29.050,3,14,6,8,0,0.429,0.499,156,166,-0.714,1.000,36,1
thebigEZ,-65.580,2,10,5,5,0,0.500,0.578,110,116,-0.600,1.000,33,1
Panthers Bern Ultimate,-74.830,1,6,1,5,0,0.167,0.533,60,84,-4.000,1.000,19,0
Monkey,-94.590,2,7,3,4,0,0.429,0.645,72,89,-2.429,1.000,29,0
KFUM Örebro Frisbee,-100.890,1,6,3,3,0,0.500,0.525,65,70,-0.833,1.000,19,0
Flying Angels Bern,-109.480,2,9,5,4,0,0.556,0.378,109,94,1.667,1.000,29,0
Freezzz Beezzz,-118.990,3,12,6,6,0,0.500,0.393,145,137,0.667,1.000,25,0
REDBULLS,-159.100,1,6,1,5,0,0.167,0.426,61,84,-3.833,1.000,13,0
Hardfisch,-175.850,1,6,1,5,0,0.167,0.615,54,84,-5.000,1.000,34,0
DiscoBolo,-183.030,1,6,1,5,0,0.167,0.468,62,86,-4.000,1.000,17,0
UFO,-197.550,2,9,4,5,0,0.444,0.485,108,113,-0.556,1.000,35,0
Solebang,-206.320,1,6,2,4,0,0.333,0.439,64,60,0.667,1.000,24,0
Panthers Wrocław,-273.570,1,6,2,4,0,0.333,0.442,62,71,-1.500,1.000,19,0
Smash'D,-277.390,1,6,3,3,0,0.500,0.463,65,73,-1.333,1.000,24,0
FWD>>,-332.440,2,9,2,7,0,0.222,0.461,95,110,-1.667,1.000,23,0
Ka-Pow!,-391.600,1,3,1,2,0,0.333,0.402,27,38,-3.667,1.000,23,0
Freespeed,-405.740,1,6,1,5,0,0.167,0.453,53,69,-2.667,1.000,26,0
Armada,-478.590,1,3,1,2,0,0.333,0.404,27,38,-3.667,1.000,19,0
AUT Beefree,-564.540,2,7,1,6,0,0.143,0.487,47,89,-6.000,1.000,36,0
Aarhus,-587.630,1,6,1,5,0,0.167,0.463,44,75,-5.167,1.000,23,0
Atrofované Ruce,-652.690,1,6,0,6,0,0.000,0.497,43,86,-7.167,1.000,17,0
ZU PlatZHirsch,-655.840,2,8,1,7,0,0.125,0.465,66,109,-5.375,1.000,28,0
Révolution'Air,-720.520,2,9,1,8,0,0.111,0.405,68,113,-5.000,1.000,23,0
