Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Vienna Spring Break,2024-04-08,Troubles,FABulous,11,10,125.000,1.000,0,-78.690
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FABulous,15,8,564.809,1.000,0,540.340
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FlyHigh Louves,15,5,600.000,1.000,1,1302.040
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,GRUT,13,10,328.142,1.000,0,257.510
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Queen Kong,13,6,600.000,1.000,0,690.070
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Solebang,15,2,600.000,1.000,1,1170.810
Spring Tour 2024 Grenoble,2024-04-20,FABulous,FlyHigh Louves,15,6,600.000,1.000,1,761.700
Spring Tour 2024 Grenoble,2024-04-20,FABulous,wuf.,14,7,582.887,1.000,0,238.680
Spring Tour 2024 Grenoble,2024-04-20,GRUT,FlyHigh Louves,15,4,600.000,1.000,1,1044.530
Spring Tour 2024 Grenoble,2024-04-20,GRUT,wuf.,12,8,441.155,1.000,0,521.510
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Catchup,13,12,125.000,1.000,0,-212.450
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Queen Kong,9,6,418.566,0.889,0,477.620
Spring Tour 2024 Grenoble,2024-04-20,Queen Kong,Solebang,13,6,600.000,1.000,0,480.740
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Jetset LUV,12,10,238.123,1.000,0,-122.560
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Queen Kong,10,5,573.898,0.889,0,355.060
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Solebang,13,3,600.000,1.000,1,835.800
Spring Tour 2024 Grenoble,2024-04-20,wuf.,FlyHigh Louves,15,6,600.000,1.000,0,523.020
Spring Tour 2024 London,2024-04-20,Bristol,Dublin Gravity,12,9,345.365,1.000,0,403.540
Spring Tour 2024 London,2024-04-20,Bristol,Spice,15,3,600.000,1.000,0,572.070
Spring Tour 2024 London,2024-04-20,Dublin Gravity,Horizon,13,7,557.532,1.000,0,514.540
Spring Tour 2024 London,2024-04-20,Iceni,Horizon,15,4,600.000,1.000,1,1091.060
Spring Tour 2024 London,2024-04-20,Iceni,Mooncup,10,9,125.000,1.000,0,144.110
Spring Tour 2024 London,2024-04-20,Iceni,Seagulls,13,7,557.532,1.000,0,497.580
Spring Tour 2024 London,2024-04-20,LMU,Dublin Gravity,10,8,262.666,0.973,0,365.960
Spring Tour 2024 London,2024-04-20,LMU,Horizon,15,4,600.000,1.000,1,880.500
Spring Tour 2024 London,2024-04-20,LMU,Seagulls,13,7,557.532,1.000,0,287.020
Spring Tour 2024 London,2024-04-20,Mooncup,SMOG,11,9,249.207,1.000,0,271.250
Spring Tour 2024 London,2024-04-20,Mooncup,SYC,15,2,600.000,1.000,0,483.520
Spring Tour 2024 London,2024-04-20,SMOG,Bristol,12,11,125.000,1.000,0,-242.380
Spring Tour 2024 London,2024-04-20,SMOG,Spice,15,9,515.481,1.000,0,329.690
Spring Tour 2024 London,2024-04-20,SYC,Seagulls,13,11,228.840,1.000,0,-130.050
Spring Tour 2024 London,2024-04-20,SYC,Spice,11,9,249.207,1.000,0,117.420
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,GRUT,15,10,453.604,1.000,0,257.510
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,Jetset LUV,15,3,600.000,1.000,0,712.150
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,wuf.,15,6,600.000,1.000,0,779.020
Spring Tour 2024 Grenoble,2024-04-21,Catchup,Jetset LUV,12,9,345.365,1.000,0,212.450
Spring Tour 2024 Grenoble,2024-04-21,Catchup,Tequila Boom Boom,13,9,418.566,1.000,0,335.010
Spring Tour 2024 Grenoble,2024-04-21,FABulous,Queen Kong,12,7,520.511,1.000,0,649.430
