Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
BFD Shout,727.600,1,6,6,0,0,1.000,0.554,88,42,7.667,1.000,14,0
3SB,595.920,1,4,4,0,0,1.000,0.495,54,29,6.250,1.000,14,0
GRUT,466.720,2,8,6,2,0,0.750,0.588,105,70,4.375,1.000,20,0
Iceni,410.510,1,6,6,0,0,1.000,0.458,71,45,4.333,1.000,10,0
Mooncup,268.320,1,6,4,2,0,0.667,0.597,66,47,3.167,1.000,11,0
Bristol,240.860,1,6,4,2,0,0.667,0.500,71,51,3.333,1.000,11,0
Catchup,221.230,2,10,6,4,0,0.600,0.513,115,88,2.700,1.000,15,0
LMU,190.650,2,8,6,2,0,0.750,0.410,92,66,3.250,1.000,16,0
FABulous,188.080,2,11,6,5,0,0.545,0.527,128,109,1.727,1.000,16,0
Troubles,106.650,1,4,2,2,0,0.500,0.673,37,48,-2.750,1.000,14,0
box vienna ultimate,63.190,1,3,2,1,0,0.667,0.311,36,26,3.333,1.000,11,0
SMOG,-1.200,1,6,4,2,0,0.667,0.333,70,60,1.667,1.000,11,0
Jetset LUV,-7.530,1,6,3,3,0,0.500,0.478,59,63,-0.667,1.000,12,0
wuf.,-22.500,2,9,4,5,0,0.444,0.551,89,94,-0.556,1.000,22,0
Seagulls,-84.260,1,6,3,3,0,0.500,0.431,63,61,0.333,1.000,11,0
Tequila Boom Boom,-107.530,1,6,3,3,0,0.500,0.376,59,55,0.667,1.000,15,0
Sharks Ultimate Barcelona,-154.450,1,3,1,2,0,0.333,0.556,24,35,-3.667,1.000,6,0
Dublin Gravity,-165.520,1,6,1,5,0,0.167,0.597,53,61,-1.333,1.000,10,0
SYC,-205.500,2,9,3,6,0,0.333,0.568,76,113,-4.111,1.000,17,0
Spice,-332.280,1,6,1,5,0,0.167,0.514,49,71,-3.667,1.000,11,0
Queen Kong,-464.510,1,6,1,5,0,0.167,0.413,43,57,-2.333,1.000,13,0
ZU Swarm,-539.560,1,3,0,3,0,0.000,0.515,22,43,-7.000,1.000,12,0
FlyHigh Louves,-563.350,1,6,2,4,0,0.333,0.484,39,75,-6.000,1.000,14,0
Horizon,-678.250,1,6,0,6,0,0.000,0.542,40,86,-7.667,1.000,10,0
Solebang,-938.540,1,6,0,6,0,0.000,0.424,28,82,-9.000,1.000,14,0
