Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,642.060,2,8,8,0,0,1.000,0.508,118,68,6.250,1.000,24,0
Deep Space,425.040,3,16,13,3,0,0.812,0.516,216,156,3.750,1.000,30,1
Sesquidistus,395.070,3,8,6,2,0,0.750,0.439,110,86,3.000,1.000,26,0
Leamington Lemmings,348.250,2,9,6,3,0,0.667,0.533,113,103,1.111,1.000,23,0
Mosquitos,333.650,1,6,5,1,0,0.833,0.637,79,60,3.167,1.000,22,0
Reading Ultimate,298.830,2,9,5,4,0,0.556,0.493,117,107,1.111,1.000,22,0
Glasgow Ultimate,286.090,2,7,6,1,0,0.857,0.390,87,51,5.143,1.000,12,0
Cus Padova Rangərs,157.150,2,6,4,2,0,0.667,0.500,71,47,4.000,1.000,19,0
PUC,138.480,3,9,6,3,0,0.667,0.495,113,83,3.333,1.000,23,0
PELT,114.480,1,6,4,2,0,0.667,0.563,70,59,1.833,1.000,14,0
Disconnection,104.330,2,8,1,7,0,0.125,0.655,90,110,-2.500,1.000,17,0
Nullacht! Ultimate,71.240,2,12,6,6,0,0.500,0.478,143,133,0.833,1.000,23,0
Tartu Turbulence,51.360,1,6,1,5,0,0.167,0.505,74,85,-1.833,1.000,22,0
Manchots,42.670,2,7,2,5,0,0.286,0.502,81,96,-2.143,1.000,16,0
Heck,39.340,2,5,2,3,0,0.400,0.653,50,63,-2.600,1.000,25,0
Heroes Flying Disc,32.140,1,6,3,3,0,0.500,0.580,66,65,0.167,1.000,22,0
Zoom Ultimate,1.220,2,3,2,1,0,0.667,0.556,32,28,1.333,1.000,10,0
Sky This Warszawa,-16.570,1,6,5,1,0,0.833,0.389,75,67,1.333,1.000,13,0
Malmö Ultimate Club,-75.920,1,6,3,3,0,0.500,0.587,64,63,0.167,1.000,14,0
Frubb,-79.050,1,5,4,1,0,0.800,0.375,66,56,2.000,1.000,15,0
OUT,-106.030,1,6,3,3,0,0.500,0.463,67,62,0.833,1.000,22,0
BN1,-136.290,2,8,3,5,0,0.375,0.543,90,94,-0.500,1.000,23,0
Remix,-139.560,2,4,2,2,0,0.500,0.500,44,42,0.500,1.000,15,0
Colorado,-168.740,1,6,2,4,0,0.333,0.476,65,65,0.000,1.000,22,0
Savage Ultimate,-178.910,1,6,2,4,0,0.333,0.448,61,67,-1.000,1.000,14,0
The Owls,-375.800,2,9,3,6,0,0.333,0.553,76,113,-4.111,1.000,23,0
Steamhuck,-439.910,1,2,1,1,0,0.500,0.333,15,18,-1.500,1.000,4,0
Nuclear Discs,-505.180,1,6,1,5,0,0.167,0.467,52,72,-3.333,1.000,15,0
DTU,-514.110,1,6,1,5,0,0.167,0.504,43,77,-5.667,1.000,14,0
Wiener Mischung,-521.800,1,6,0,6,0,0.000,0.560,49,89,-6.667,1.000,14,0
W.underteam,-545.810,1,6,2,4,0,0.333,0.368,40,78,-6.333,1.000,17,0
Fireball Ultimate,-564.900,1,1,0,1,0,0.000,0.500,6,7,-1.000,1.000,2,0
AKS Zły Ultimate,-621.380,1,6,1,5,0,0.167,0.340,56,76,-3.333,1.000,17,0
Zombees,-930.080,1,6,0,6,0,0.000,0.439,34,87,-8.833,1.000,16,0
