Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,554.520,2,12,12,0,0,1.000,0.495,171,130,3.417,1.000,30,1
Clapham,489.890,3,14,12,2,0,0.857,0.518,192,141,3.643,1.000,43,1
BFD LaFotta,460.660,4,17,10,7,0,0.588,0.630,220,180,2.353,1.000,31,1
Wall City,458.730,1,6,4,2,0,0.667,0.508,86,78,1.333,1.000,23,0
Gentle,406.910,1,6,3,3,0,0.500,0.700,79,81,-0.333,1.000,22,0
One Tribe,397.140,3,8,6,2,0,0.750,0.491,107,85,2.750,1.000,24,0
Ranelagh,383.060,1,6,4,2,0,0.667,0.457,81,63,3.000,1.000,23,0
3SB,374.690,1,6,6,0,0,1.000,0.495,89,47,7.000,1.000,19,0
Tchac,374.650,2,14,12,2,0,0.857,0.528,179,130,3.500,1.000,48,1
Chevron Action Flash,352.310,4,14,9,5,0,0.643,0.587,188,157,2.214,1.000,39,1
Cotarica Grandes,261.310,3,14,9,5,0,0.643,0.491,182,146,2.571,1.000,45,1
XVI,250.350,1,6,5,1,0,0.833,0.567,75,56,3.167,1.000,29,0
Grut,193.690,3,10,6,4,0,0.600,0.499,114,94,2.000,1.000,31,1
Bad Skid,152.910,2,7,3,4,0,0.429,0.552,90,87,0.429,1.000,23,0
Jetset Open,136.780,2,13,3,10,0,0.231,0.625,155,168,-1.000,1.000,41,1
Quijotes,121.940,2,9,6,3,0,0.667,0.476,101,87,1.556,1.000,35,0
Iznogood,101.400,4,14,8,6,0,0.571,0.505,165,134,2.214,1.000,32,1
Bristol,82.010,3,8,4,4,0,0.500,0.452,100,96,0.500,1.000,33,0
Catchup Graz,61.290,2,9,5,4,0,0.556,0.568,106,116,-1.111,1.000,33,0
Heidees,58.330,1,6,5,1,0,0.833,0.409,83,54,4.833,1.000,22,0
FrankN,49.100,2,4,3,1,0,0.750,0.425,53,39,3.500,1.000,22,0
7Schwaben,11.400,1,3,2,1,0,0.667,0.440,41,41,0.000,1.000,17,0
SMOG,-3.930,3,11,6,5,0,0.545,0.458,141,130,1.000,1.000,33,1
Alba,-25.170,3,11,4,7,0,0.364,0.561,117,151,-3.091,1.000,34,1
KFK,-66.210,1,6,4,2,0,0.667,0.466,76,66,1.667,1.000,14,0
Outsiterz,-100.590,3,15,7,8,0,0.467,0.476,168,177,-0.600,1.000,42,1
Panthers Bern Ultimate,-101.740,1,6,1,5,0,0.167,0.540,60,84,-4.000,1.000,23,0
Terrible Monkeys,-118.790,1,6,4,2,0,0.667,0.370,76,64,2.000,1.000,18,0
Monkey,-122.830,2,7,3,4,0,0.429,0.639,72,89,-2.429,1.000,30,0
thebigEZ,-126.950,2,11,6,5,0,0.545,0.524,120,122,-0.182,1.000,35,1
Freezzz Beezzz,-149.000,3,11,5,6,0,0.455,0.383,130,129,0.091,1.000,30,1
Flying Angels Bern,-151.930,3,11,6,5,0,0.545,0.381,129,118,1.000,1.000,40,1
KFUM Örebro Frisbee,-189.760,1,6,3,3,0,0.500,0.555,65,70,-0.833,1.000,19,0
REDBULLS,-189.840,1,6,1,5,0,0.167,0.417,61,84,-3.833,1.000,16,0
UFO,-199.810,2,9,4,5,0,0.444,0.482,108,113,-0.556,1.000,38,0
DiscoBolo,-202.430,1,6,1,5,0,0.167,0.493,62,86,-4.000,1.000,22,0
Smash'D,-207.230,3,11,5,6,0,0.455,0.453,120,136,-1.455,1.000,32,1
Hardfisch,-215.030,2,7,1,6,0,0.143,0.597,67,99,-4.571,1.000,41,0
Solebang,-231.580,2,7,3,4,0,0.429,0.377,76,68,1.143,1.000,28,0
Uprising Ultimate,-251.140,3,11,4,7,0,0.364,0.532,116,125,-0.818,1.000,24,0
Panthers Wrocław,-292.450,2,7,3,4,0,0.429,0.443,76,82,-0.857,1.000,19,0
Freespeed,-422.320,1,6,1,5,0,0.167,0.458,53,69,-2.667,1.000,30,0
FWD>>,-446.260,2,9,2,7,0,0.222,0.418,95,110,-1.667,1.000,30,0
Ka-Pow!,-511.370,3,8,1,7,0,0.125,0.468,67,113,-5.750,1.000,40,0
OTSO,-570.490,1,2,0,2,0,0.000,0.573,15,28,-6.500,1.000,20,0
AUT Beefree,-580.380,2,7,1,6,0,0.143,0.497,47,89,-6.000,1.000,38,0
Armada,-606.210,1,2,0,2,0,0.000,0.513,15,30,-7.500,1.000,16,0
Aarhus,-619.180,1,6,1,5,0,0.167,0.469,44,75,-5.167,1.000,26,0
Révolution'Air,-660.430,1,6,1,5,0,0.167,0.361,46,72,-4.333,1.000,24,0
Krakens,-672.740,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
ZU PlatZHirsch,-687.860,2,8,1,7,0,0.125,0.441,66,109,-5.375,1.000,32,0
Atrofované Ruce,-766.140,1,6,0,6,0,0.000,0.469,43,86,-7.167,1.000,18,0
