Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FABulous,15,8,564.809,1.000,0,433.280
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FlyHigh Louves,15,5,600.000,1.000,1,1185.010
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,GRUT,13,10,328.142,1.000,0,121.020
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Queen Kong,13,6,600.000,1.000,0,712.180
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Solebang,15,2,600.000,1.000,1,1200.950
Spring Tour 2024 Grenoble,2024-04-20,FABulous,FlyHigh Louves,15,6,600.000,1.000,1,751.730
Spring Tour 2024 Grenoble,2024-04-20,FABulous,wuf.,14,7,582.887,1.000,0,250.030
Spring Tour 2024 Grenoble,2024-04-20,GRUT,FlyHigh Louves,15,4,600.000,1.000,1,1063.990
Spring Tour 2024 Grenoble,2024-04-20,GRUT,wuf.,12,8,441.155,1.000,0,562.290
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Catchup,13,12,125.000,1.000,0,-204.180
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Queen Kong,9,6,418.566,0.889,0,508.000
Spring Tour 2024 Grenoble,2024-04-20,Queen Kong,Solebang,13,6,600.000,1.000,0,488.770
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Jetset LUV,12,10,238.123,1.000,0,-154.900
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Queen Kong,10,5,573.898,0.889,0,353.100
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Solebang,13,3,600.000,1.000,1,841.870
Spring Tour 2024 Grenoble,2024-04-20,wuf.,FlyHigh Louves,15,6,600.000,1.000,0,501.700
Spring Tour 2024 London,2024-04-20,Bristol,Dublin Gravity,12,9,345.365,1.000,0,452.190
Spring Tour 2024 London,2024-04-20,Bristol,Spice,15,3,600.000,1.000,1,608.240
Spring Tour 2024 London,2024-04-20,Dublin Gravity,Horizon,13,7,557.532,1.000,0,517.570
Spring Tour 2024 London,2024-04-20,Iceni,Horizon,15,4,600.000,1.000,1,1004.910
Spring Tour 2024 London,2024-04-20,Iceni,Mooncup,10,9,125.000,1.000,0,-78.540
Spring Tour 2024 London,2024-04-20,Iceni,Seagulls,13,7,557.532,1.000,0,418.260
Spring Tour 2024 London,2024-04-20,LMU,Dublin Gravity,10,8,262.666,0.973,0,353.640
Spring Tour 2024 London,2024-04-20,LMU,Horizon,15,4,600.000,1.000,1,871.210
Spring Tour 2024 London,2024-04-20,LMU,Seagulls,13,7,557.532,1.000,0,284.560
Spring Tour 2024 London,2024-04-20,Mooncup,SMOG,11,9,249.207,1.000,0,339.800
Spring Tour 2024 London,2024-04-20,Mooncup,SYC,15,2,600.000,1.000,0,594.030
Spring Tour 2024 London,2024-04-20,SMOG,Bristol,12,11,125.000,1.000,0,-226.110
Spring Tour 2024 London,2024-04-20,SMOG,Spice,15,9,515.481,1.000,0,382.130
Spring Tour 2024 London,2024-04-20,SYC,Seagulls,13,11,228.840,1.000,0,-97.230
Spring Tour 2024 London,2024-04-20,SYC,Spice,11,9,249.207,1.000,0,127.900
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,GRUT,15,10,453.604,1.000,0,121.020
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,Jetset LUV,15,3,600.000,1.000,0,548.680
Spring Tour 2024 Grenoble,2024-04-21,BFD Shout,wuf.,15,6,600.000,1.000,1,683.310
Spring Tour 2024 Grenoble,2024-04-21,Catchup,Jetset LUV,12,9,345.365,1.000,0,204.180
Spring Tour 2024 Grenoble,2024-04-21,Catchup,Tequila Boom Boom,13,9,418.566,1.000,0,359.080
Spring Tour 2024 Grenoble,2024-04-21,FABulous,Queen Kong,12,7,520.511,1.000,0,623.400
Spring Tour 2024 Grenoble,2024-04-21,FABulous,Tequila Boom Boom,12,5,600.000,0.946,0,270.300
Spring Tour 2024 Grenoble,2024-04-21,FlyHigh Louves,Queen Kong,7,6,125.000,0.827,0,-128.330
Spring Tour 2024 Grenoble,2024-04-21,FlyHigh Louves,Solebang,11,9,249.207,1.000,0,360.440
Spring Tour 2024 Grenoble,2024-04-21,GRUT,Catchup,15,8,564.809,1.000,0,223.480
Spring Tour 2024 Grenoble,2024-04-21,GRUT,FABulous,13,11,228.840,1.000,0,312.260
Spring Tour 2024 Grenoble,2024-04-21,Jetset LUV,Solebang,15,6,600.000,1.000,1,996.770
Spring Tour 2024 Grenoble,2024-04-21,wuf.,Solebang,15,2,600.000,1.000,1,862.140
Spring Tour 2024 Grenoble,2024-04-21,wuf.,Tequila Boom Boom,12,10,238.123,1.000,0,20.270
Spring Tour 2024 London,2024-04-21,Bristol,Mooncup,10,8,262.666,0.973,0,-113.690
Spring Tour 2024 London,2024-04-21,Bristol,SYC,12,7,520.511,1.000,0,480.340
Spring Tour 2024 London,2024-04-21,Iceni,Bristol,12,11,125.000,1.000,0,35.150
Spring Tour 2024 London,2024-04-21,Iceni,Dublin Gravity,12,7,520.511,1.000,0,487.340
Spring Tour 2024 London,2024-04-21,Iceni,LMU,9,7,279.337,0.918,0,133.700
Spring Tour 2024 London,2024-04-21,LMU,Spice,12,7,520.511,1.000,0,509.690
Spring Tour 2024 London,2024-04-21,Mooncup,LMU,14,10,398.702,1.000,0,212.240
Spring Tour 2024 London,2024-04-21,Mooncup,Spice,9,6,418.566,0.889,0,721.930
Spring Tour 2024 London,2024-04-21,SMOG,Dublin Gravity,10,9,125.000,1.000,0,226.080
Spring Tour 2024 London,2024-04-21,SMOG,Horizon,14,9,473.868,1.000,0,743.650
Spring Tour 2024 London,2024-04-21,SYC,SMOG,11,10,125.000,1.000,0,-254.230
Spring Tour 2024 London,2024-04-21,Seagulls,Dublin Gravity,10,7,389.665,0.946,0,69.080
Spring Tour 2024 London,2024-04-21,Seagulls,Horizon,14,7,582.887,1.000,0,586.650
Spring Tour 2024 London,2024-04-21,Seagulls,SYC,14,8,536.035,1.000,0,97.230
Spring Tour 2024 London,2024-04-21,Spice,Horizon,15,9,515.481,1.000,0,361.520
Vienna Spring Break,2024-04-27,3SB,Catchup,12,7,520.511,1.000,0,387.970
Vienna Spring Break,2024-04-27,3SB,FABulous,15,11,381.165,1.000,0,476.750
Vienna Spring Break,2024-04-27,3SB,Sharks Ultimate Barcelona,15,4,600.000,1.000,0,807.440
Vienna Spring Break,2024-04-27,3SB,Troubles,12,7,520.511,1.000,0,350.010
Vienna Spring Break,2024-04-27,Catchup,Troubles,15,6,600.000,1.000,0,-37.960
Vienna Spring Break,2024-04-27,Catchup,box vienna ultimate,12,7,520.511,1.000,0,241.670
Vienna Spring Break,2024-04-27,FABulous,Catchup,9,8,125.000,0.946,0,-88.780
Vienna Spring Break,2024-04-27,FABulous,ZU Swarm,15,9,515.481,1.000,0,733.030
Vienna Spring Break,2024-04-27,Sharks Ultimate Barcelona,ZU Swarm,13,6,600.000,1.000,0,402.340
Vienna Spring Break,2024-04-27,Troubles,FABulous,13,11,228.840,1.000,0,126.740
Vienna Spring Break,2024-04-27,box vienna ultimate,Sharks Ultimate Barcelona,14,7,582.887,1.000,0,177.800
Vienna Spring Break,2024-04-27,box vienna ultimate,ZU Swarm,15,7,600.000,1.000,0,580.140
Vienna Spring Break,2024-04-28,Troubles,FABulous,11,10,125.000,1.000,0,126.740
Tom's Tourney,2024-05-03,GRUT,SYC,15,6,600.000,1.000,1,807.760
Tom's Tourney,2024-05-03,GRUT,wuf.,15,4,600.000,1.000,0,562.290
Tom's Tourney,2024-05-03,wuf.,SYC,15,7,600.000,1.000,0,245.470
Tom's Tourney,2024-05-04,Jetset LUV,SYC,12,8,441.155,1.000,0,380.100
Tom's Tourney,2024-05-04,LMU,SYC,12,10,238.123,1.000,0,381.790
Tom's Tourney,2024-05-04,LMU,wuf.,13,7,557.532,1.000,0,136.320
Elite Invite 2024 Leuven,2024-05-10,BFD Shout,Jetset LUV,15,2,600.000,1.000,0,548.680
Elite Invite 2024 Leuven,2024-05-10,BFD Shout,Mooncup,15,11,381.165,1.000,0,334.750
Elite Invite 2024 Leuven,2024-05-10,East Block,BFD Shout,15,13,214.179,1.000,0,-288.900
Elite Invite 2024 Leuven,2024-05-10,East Block,Jetset LUV,15,10,453.604,1.000,0,259.780
Elite Invite 2024 Leuven,2024-05-10,Jinx Midnight,Iceni,15,11,381.165,1.000,0,361.290
Elite Invite 2024 Leuven,2024-05-10,Jinx Midnight,YAKA,14,13,125.000,1.000,0,-23.740
Elite Invite 2024 Leuven,2024-05-10,Jinx Midnight,box vienna ultimate,15,5,600.000,1.000,0,534.170
Elite Invite 2024 Leuven,2024-05-10,Mooncup,East Block,15,8,564.809,1.000,0,-45.850
