Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
3SB,594.630,1,4,4,0,0,1.000,0.500,54,29,6.250,1.000,15,0
BFD Shout,551.160,2,12,10,2,0,0.833,0.543,172,103,5.750,1.000,25,0
YAKA,522.900,3,11,9,2,0,0.818,0.588,148,96,4.727,1.000,22,0
Jinx Midnight,499.160,3,10,8,2,0,0.800,0.635,127,104,2.300,1.000,26,0
GRUT,430.140,3,12,9,3,0,0.750,0.558,154,100,4.500,1.000,26,0
East Block,262.260,1,6,4,2,0,0.667,0.603,75,76,-0.167,1.000,23,0
Troubles,244.620,2,5,3,2,0,0.600,0.667,52,58,-1.200,1.000,17,0
Mooncup,216.410,2,12,7,5,0,0.583,0.588,143,123,1.667,1.000,23,0
Catchup,206.660,2,10,6,4,0,0.600,0.462,115,88,2.700,1.000,21,0
Iceni,137.870,2,12,7,5,0,0.583,0.497,139,126,1.083,1.000,22,0
FABulous,117.880,3,15,7,8,0,0.467,0.545,166,160,0.400,1.000,22,0
Bristol,102.720,3,13,8,5,0,0.615,0.489,155,121,2.615,1.000,17,0
LMU,4.170,4,11,7,4,0,0.636,0.429,118,101,1.545,1.000,21,0
Jetset LUV,2.480,4,15,6,9,0,0.400,0.518,152,176,-1.600,1.000,25,0
box vienna ultimate,-35.010,2,9,3,6,0,0.333,0.550,92,110,-2.000,1.000,26,0
SMOG,-123.390,3,12,7,5,0,0.583,0.421,129,127,0.167,1.000,17,0
wuf.,-132.150,2,9,4,5,0,0.444,0.502,89,94,-0.556,1.000,26,0
Tequila Boom Boom,-152.420,1,6,3,3,0,0.500,0.346,59,55,0.667,1.000,18,0
Sharks Ultimate Barcelona,-212.810,1,3,1,2,0,0.333,0.444,24,35,-3.667,1.000,11,0
Seagulls,-280.390,2,7,3,4,0,0.429,0.377,69,76,-1.000,1.000,20,0
Dublin Gravity,-349.470,1,6,1,5,0,0.167,0.474,53,61,-1.333,1.000,15,0
SYC,-377.620,4,16,4,12,0,0.250,0.537,132,202,-4.375,1.000,23,0
Spice,-505.520,3,8,2,6,0,0.250,0.365,69,90,-2.625,1.000,15,0
Queen Kong,-505.520,1,6,1,5,0,0.167,0.383,43,57,-2.333,1.000,17,0
ZU Swarm,-615.150,1,3,0,3,0,0.000,0.378,22,43,-7.000,1.000,16,0
FlyHigh Louves,-633.850,1,6,2,4,0,0.333,0.444,39,75,-6.000,1.000,19,0
Horizon,-867.040,2,7,0,7,0,0.000,0.414,48,98,-7.143,1.000,15,0
Solebang,-994.290,1,6,0,6,0,0.000,0.407,28,82,-9.000,1.000,17,0
