Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,764.140,1,6,6,0,0,1.000,0.635,88,45,7.167,1.000,23,0
Deep Space,427.120,3,16,13,3,0,0.812,0.519,216,156,3.750,1.000,30,1
Mosquitos,382.160,1,6,5,1,0,0.833,0.637,79,60,3.167,1.000,22,0
Sesquidistus,370.180,3,8,6,2,0,0.750,0.444,110,86,3.000,1.000,26,0
Leamington Lemmings,322.560,2,9,6,3,0,0.667,0.538,113,103,1.111,1.000,23,0
Reading Ultimate,272.390,2,9,5,4,0,0.556,0.497,117,107,1.111,1.000,22,0
Glasgow Ultimate,267.910,2,7,6,1,0,0.857,0.390,87,51,5.143,1.000,12,0
Cus Padova Rangərs,216.540,2,6,4,2,0,0.667,0.500,71,47,4.000,1.000,18,0
PUC,181.460,3,9,6,3,0,0.667,0.495,113,83,3.333,1.000,23,0
PELT,94.410,1,6,4,2,0,0.667,0.563,70,59,1.833,1.000,14,0
Heroes Flying Disc,81.930,1,6,3,3,0,0.500,0.580,66,65,0.167,1.000,22,0
Zoom Ultimate,53.640,2,3,2,1,0,0.667,0.556,32,28,1.333,1.000,10,0
Nullacht! Ultimate,49.000,2,12,6,6,0,0.500,0.478,143,133,0.833,1.000,23,0
Heck,31.500,2,5,2,3,0,0.400,0.653,50,63,-2.600,1.000,25,0
Tartu Turbulence,18.200,1,6,1,5,0,0.167,0.512,74,85,-1.833,1.000,22,0
Disconnection,12.440,1,6,1,5,0,0.167,0.540,67,80,-2.167,1.000,16,0
Manchots,7.070,2,7,2,5,0,0.286,0.508,81,96,-2.143,1.000,15,0
Sky This Warszawa,-37.350,1,6,5,1,0,0.833,0.389,75,67,1.333,1.000,13,0
Frubb,-39.480,1,5,4,1,0,0.800,0.375,66,56,2.000,1.000,15,0
OUT,-70.870,1,6,3,3,0,0.500,0.463,67,62,0.833,1.000,22,0
Remix,-93.740,2,4,2,2,0,0.500,0.500,44,42,0.500,1.000,15,0
Malmö Ultimate Club,-96.470,1,6,3,3,0,0.500,0.587,64,63,0.167,1.000,14,0
BN1,-107.270,2,8,3,5,0,0.375,0.543,90,94,-0.500,1.000,23,0
Colorado,-137.870,1,6,2,4,0,0.333,0.476,65,65,0.000,1.000,22,0
Savage Ultimate,-199.300,1,6,2,4,0,0.333,0.448,61,67,-1.000,1.000,14,0
The Owls,-331.900,2,9,3,6,0,0.333,0.553,76,113,-4.111,1.000,23,0
Steamhuck,-387.490,1,2,1,1,0,0.500,0.333,15,18,-1.500,1.000,4,0
Nuclear Discs,-461.270,1,6,1,5,0,0.167,0.467,52,72,-3.333,1.000,15,0
W.underteam,-507.550,1,6,2,4,0,0.333,0.368,40,78,-6.333,1.000,17,0
Fireball Ultimate,-512.480,1,1,0,1,0,0.000,0.500,6,7,-1.000,1.000,2,0
DTU,-534.970,1,6,1,5,0,0.167,0.504,43,77,-5.667,1.000,14,0
Wiener Mischung,-542.220,1,6,0,6,0,0.000,0.560,49,89,-6.667,1.000,14,0
AKS Zły Ultimate,-583.660,1,6,1,5,0,0.167,0.340,56,76,-3.333,1.000,17,0
Zombees,-888.800,1,6,0,6,0,0.000,0.439,34,87,-8.833,1.000,16,0
