Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Gentle Invite,2024-03-16,Freezzz Beezzz,Armada,15,7,600.000,1.000,0,457.210
Gentle Invite,2024-03-16,Iznogood,Armada,15,8,564.809,1.000,0,707.610
Gentle Invite,2024-03-17,Iznogood,Freezzz Beezzz,14,12,220.957,1.000,0,250.400
Single Game,2024-04-05,One Tribe,BFD LaFotta,15,9,515.481,1.000,0,-63.520
Spring Tour 2024 Brno,2024-04-20,3SB,KFUM Örebro Frisbee,14,8,536.035,1.000,0,564.450
Spring Tour 2024 Brno,2024-04-20,3SB,Outsiterz,15,10,453.604,1.000,0,475.280
Spring Tour 2024 Brno,2024-04-20,3SB,thebigEZ,15,8,564.809,1.000,0,501.640
Spring Tour 2024 Brno,2024-04-20,FWD>>,Atrofované Ruce,14,6,600.000,1.000,0,319.880
Spring Tour 2024 Brno,2024-04-20,KFK,Atrofované Ruce,15,9,515.481,1.000,0,699.930
Spring Tour 2024 Brno,2024-04-20,KFK,Uprising Ultimate,11,9,249.207,1.000,0,184.930
Spring Tour 2024 Brno,2024-04-20,Outsiterz,Panthers Wrocław,14,11,313.338,1.000,0,191.860
Spring Tour 2024 Brno,2024-04-20,Panthers Wrocław,KFUM Örebro Frisbee,12,11,125.000,1.000,0,-102.690
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,Atrofované Ruce,15,8,564.809,1.000,0,647.350
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,FWD>>,15,8,564.809,1.000,0,327.470
Spring Tour 2024 Brno,2024-04-20,Terrible Monkeys,KFK,13,11,228.840,1.000,0,-52.580
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,FWD>>,13,12,125.000,1.000,0,195.120
Spring Tour 2024 Brno,2024-04-20,Uprising Ultimate,Terrible Monkeys,15,7,600.000,1.000,0,-132.350
Spring Tour 2024 Brno,2024-04-20,thebigEZ,KFUM Örebro Frisbee,12,9,345.365,1.000,0,62.810
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Outsiterz,10,9,125.000,1.000,0,-26.360
Spring Tour 2024 Brno,2024-04-20,thebigEZ,Panthers Wrocław,11,10,125.000,1.000,0,165.500
Spring Tour 2024 Grenoble,2024-04-20,Flying Angels Bern,Aarhus,12,6,579.311,0.973,0,467.250
Spring Tour 2024 Grenoble,2024-04-20,Freezzz Beezzz,Freespeed,15,8,564.809,1.000,0,273.320
Spring Tour 2024 Grenoble,2024-04-20,Grut,Freespeed,13,8,496.160,1.000,0,616.010
Spring Tour 2024 Grenoble,2024-04-20,Grut,SMOG,14,12,220.957,1.000,0,197.620
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Révolution'Air,15,3,600.000,1.000,0,718.760
Spring Tour 2024 Grenoble,2024-04-20,Heidees,Smash'D,15,11,381.165,1.000,0,265.560
Spring Tour 2024 Grenoble,2024-04-20,Heidees,UFO,15,10,453.604,1.000,0,258.140
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,AUT Beefree,14,5,600.000,1.000,1,681.780
Spring Tour 2024 Grenoble,2024-04-20,Iznogood,Solebang,12,10,238.123,1.000,0,332.980
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Aarhus,13,8,496.160,1.000,0,496.350
Spring Tour 2024 Grenoble,2024-04-20,Monkey,Flying Angels Bern,14,13,125.000,1.000,0,29.100
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,AUT Beefree,13,8,496.160,1.000,0,702.320
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Iznogood,10,9,125.000,1.000,0,20.540
Spring Tour 2024 Grenoble,2024-04-20,Quijotes,Solebang,11,9,249.207,1.000,0,353.520
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freespeed,13,10,328.142,1.000,0,418.390
Spring Tour 2024 Grenoble,2024-04-20,SMOG,Freezzz Beezzz,15,12,300.492,1.000,0,145.070
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,Révolution'Air,15,10,453.604,1.000,0,453.200
Spring Tour 2024 Grenoble,2024-04-20,Smash'D,ZU PlatZHirsch,15,8,564.809,1.000,0,480.630
Spring Tour 2024 Grenoble,2024-04-20,Solebang,AUT Beefree,13,5,600.000,1.000,0,348.800
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Freezzz Beezzz,15,6,600.000,1.000,0,523.650
Spring Tour 2024 Grenoble,2024-04-20,Tchac,Grut,11,10,125.000,1.000,0,180.960
Spring Tour 2024 Grenoble,2024-04-20,Tchac,SMOG,15,10,453.604,1.000,0,378.580
Spring Tour 2024 Grenoble,2024-04-20,UFO,Révolution'Air,15,9,515.481,1.000,0,460.620
Spring Tour 2024 Grenoble,2024-04-20,UFO,ZU PlatZHirsch,13,10,328.142,1.000,0,488.050
Spring Tour 2024 Grenoble,2024-04-20,XVI,Aarhus,15,6,600.000,1.000,1,869.530
Spring Tour 2024 Grenoble,2024-04-20,XVI,Flying Angels Bern,13,9,418.566,1.000,0,402.280
Spring Tour 2024 Grenoble,2024-04-20,XVI,Monkey,15,8,564.809,1.000,0,373.180
Spring Tour 2024 Grenoble,2024-04-20,ZU PlatZHirsch,Révolution'Air,12,8,441.155,1.000,0,-27.430
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,One Tribe,13,9,418.566,1.000,0,63.520
Spring Tour 2024 Padova,2024-04-20,BFD LaFotta,REDBULLS,15,8,564.809,1.000,0,650.500
Spring Tour 2024 Padova,2024-04-20,Catchup Graz,Bad Skid,14,12,220.957,1.000,0,-91.620
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Bad Skid,15,11,381.165,1.000,0,108.400
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,Catchup Graz,15,11,381.165,1.000,0,200.020
Spring Tour 2024 Padova,2024-04-20,Cotarica Grandes,DiscoBolo,15,6,600.000,1.000,0,463.740
Spring Tour 2024 Padova,2024-04-20,DiscoBolo,REDBULLS,15,13,214.179,1.000,0,-12.590
Spring Tour 2024 Padova,2024-04-20,Mooncatchers,BFD LaFotta,13,11,228.840,1.000,0,93.860
