Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,562.480,2,12,12,0,0,1.000,0.471,171,130,3.417,1.000,30,1
Clapham,494.070,3,14,12,2,0,0.857,0.507,192,141,3.643,1.000,43,1
BFD LaFotta,467.660,4,17,10,7,0,0.588,0.617,220,180,2.353,1.000,31,1
Wall City,466.430,1,6,4,2,0,0.667,0.484,86,78,1.333,1.000,20,0
Gentle,412.740,1,6,3,3,0,0.500,0.700,79,81,-0.333,1.000,22,0
One Tribe,402.330,3,8,6,2,0,0.750,0.491,107,85,2.750,1.000,24,0
Ranelagh,388.260,1,6,4,2,0,0.667,0.457,81,63,3.000,1.000,23,0
3SB,376.050,1,6,6,0,0,1.000,0.495,89,47,7.000,1.000,19,0
Tchac,374.190,2,14,12,2,0,0.857,0.531,179,130,3.500,1.000,48,1
Chevron Action Flash,373.530,3,10,5,5,0,0.500,0.660,128,120,0.800,1.000,35,1
Cotarica Grandes,264.840,3,14,9,5,0,0.643,0.491,182,146,2.571,1.000,45,1
XVI,250.020,1,6,5,1,0,0.833,0.567,75,56,3.167,1.000,29,0
Grut,193.430,3,10,6,4,0,0.600,0.490,114,94,2.000,1.000,31,1
Bad Skid,157.720,2,7,3,4,0,0.429,0.552,90,87,0.429,1.000,23,0
Jetset Open,140.760,2,13,3,10,0,0.231,0.630,155,168,-1.000,1.000,41,1
Quijotes,122.630,2,9,6,3,0,0.667,0.489,101,87,1.556,1.000,35,0
Iznogood,102.030,4,14,8,6,0,0.571,0.498,165,134,2.214,1.000,32,1
Bristol,85.240,3,7,4,3,0,0.571,0.442,88,81,1.000,1.000,33,0
Catchup Graz,65.310,2,9,5,4,0,0.556,0.568,106,116,-1.111,1.000,33,0
Heidees,57.680,1,6,5,1,0,0.833,0.416,83,54,4.833,1.000,21,0
FrankN,50.130,2,4,3,1,0,0.750,0.425,53,39,3.500,1.000,22,0
7Schwaben,13.930,1,3,2,1,0,0.667,0.440,41,41,0.000,1.000,17,0
Alba,-20.460,3,11,4,7,0,0.364,0.553,117,151,-3.091,1.000,34,1
SMOG,-27.900,3,10,6,4,0,0.600,0.453,127,115,1.200,1.000,32,1
KFK,-64.990,1,6,4,2,0,0.667,0.466,76,66,1.667,1.000,14,0
Panthers Bern Ultimate,-96.530,1,6,1,5,0,0.167,0.540,60,84,-4.000,1.000,23,0
Outsiterz,-98.920,3,15,7,8,0,0.467,0.477,168,177,-0.600,1.000,42,1
Terrible Monkeys,-117.510,1,6,4,2,0,0.667,0.370,76,64,2.000,1.000,18,0
Monkey,-123.230,2,7,3,4,0,0.429,0.639,72,89,-2.429,1.000,30,0
thebigEZ,-125.770,2,11,6,5,0,0.545,0.524,120,122,-0.182,1.000,35,1
Freezzz Beezzz,-152.160,3,11,5,6,0,0.455,0.388,130,129,0.091,1.000,30,1
Flying Angels Bern,-152.680,3,11,6,5,0,0.545,0.383,129,118,1.000,1.000,40,1
REDBULLS,-184.330,1,6,1,5,0,0.167,0.417,61,84,-3.833,1.000,16,0
KFUM Örebro Frisbee,-188.510,1,6,3,3,0,0.500,0.555,65,70,-0.833,1.000,19,0
DiscoBolo,-197.210,1,6,1,5,0,0.167,0.493,62,86,-4.000,1.000,22,0
UFO,-202.600,2,9,4,5,0,0.444,0.493,108,113,-0.556,1.000,38,0
Smash'D,-205.440,3,10,5,5,0,0.500,0.449,115,121,-0.600,1.000,31,1
Hardfisch,-213.270,2,7,1,6,0,0.143,0.597,67,99,-4.571,1.000,41,0
Solebang,-236.110,2,7,3,4,0,0.429,0.385,76,68,1.143,1.000,28,0
Uprising Ultimate,-249.660,3,11,4,7,0,0.364,0.532,116,125,-0.818,1.000,24,0
Panthers Wrocław,-291.170,2,7,3,4,0,0.429,0.443,76,82,-0.857,1.000,19,0
Freespeed,-427.510,1,6,1,5,0,0.167,0.467,53,69,-2.667,1.000,30,0
FWD>>,-445.490,2,9,2,7,0,0.222,0.420,95,110,-1.667,1.000,29,0
Ka-Pow!,-513.160,3,7,1,6,0,0.143,0.467,61,98,-5.286,1.000,39,0
OTSO,-571.240,1,2,0,2,0,0.000,0.573,15,28,-6.500,1.000,20,0
AUT Beefree,-582.230,2,7,1,6,0,0.143,0.497,47,89,-6.000,1.000,38,0
Armada,-607.470,1,2,0,2,0,0.000,0.513,15,30,-7.500,1.000,16,0
Aarhus,-621.160,1,6,1,5,0,0.167,0.469,44,75,-5.167,1.000,26,0
Révolution'Air,-661.930,1,6,1,5,0,0.167,0.369,46,72,-4.333,1.000,23,0
Krakens,-677.270,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
ZU PlatZHirsch,-688.930,2,8,1,7,0,0.125,0.447,66,109,-5.375,1.000,31,0
Atrofované Ruce,-764.860,1,6,0,6,0,0.000,0.469,43,86,-7.167,1.000,18,0
