Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Jinx Midnight,593.750,2,9,8,1,0,0.889,0.639,117,89,3.111,1.000,26,0
BFD Shout,564.460,2,12,10,2,0,0.833,0.550,172,103,5.750,1.000,25,0
YAKA,558.850,3,11,9,2,0,0.818,0.604,148,96,4.727,1.000,21,0
3SB,509.540,1,4,4,0,0,1.000,0.475,54,29,6.250,1.000,15,0
GRUT,437.200,3,12,9,3,0,0.750,0.573,154,100,4.500,1.000,26,0
East Block,277.930,1,6,4,2,0,0.667,0.603,75,76,-0.167,1.000,23,0
Mooncup,235.390,2,12,7,5,0,0.583,0.588,143,123,1.667,1.000,23,0
Catchup,164.450,2,10,6,4,0,0.600,0.452,115,88,2.700,1.000,21,0
Iceni,163.890,2,12,7,5,0,0.583,0.505,139,126,1.083,1.000,21,0
Bristol,125.060,3,13,8,5,0,0.615,0.489,155,121,2.615,1.000,17,0
FABulous,79.790,3,15,7,8,0,0.467,0.538,166,160,0.400,1.000,22,0
LMU,23.830,4,11,7,4,0,0.636,0.429,118,101,1.545,1.000,21,0
Troubles,16.720,1,4,2,2,0,0.500,0.633,37,48,-2.750,1.000,15,0
Jetset LUV,2.360,4,15,6,9,0,0.400,0.524,152,176,-1.600,1.000,25,0
box vienna ultimate,-25.980,2,9,3,6,0,0.333,0.560,92,110,-2.000,1.000,26,0
SMOG,-103.660,3,12,7,5,0,0.583,0.421,129,127,0.167,1.000,17,0
wuf.,-135.440,2,9,4,5,0,0.444,0.502,89,94,-0.556,1.000,26,0
Tequila Boom Boom,-173.590,1,6,3,3,0,0.500,0.346,59,55,0.667,1.000,18,0
Sharks Ultimate Barcelona,-244.960,1,3,1,2,0,0.333,0.444,24,35,-3.667,1.000,11,0
Seagulls,-260.230,2,7,3,4,0,0.429,0.377,69,76,-1.000,1.000,20,0
Dublin Gravity,-328.160,1,6,1,5,0,0.167,0.474,53,61,-1.333,1.000,15,0
SYC,-360.510,4,16,4,12,0,0.250,0.537,132,202,-4.375,1.000,23,0
Spice,-486.640,3,8,2,6,0,0.250,0.365,69,90,-2.625,1.000,15,0
Queen Kong,-528.770,1,6,1,5,0,0.167,0.383,43,57,-2.333,1.000,17,0
ZU Swarm,-635.550,1,3,0,3,0,0.000,0.378,22,43,-7.000,1.000,16,0
FlyHigh Louves,-648.530,1,6,2,4,0,0.333,0.444,39,75,-6.000,1.000,19,0
Horizon,-847.250,2,7,0,7,0,0.000,0.414,48,98,-7.143,1.000,15,0
Solebang,-1013.260,1,6,0,6,0,0.000,0.407,28,82,-9.000,1.000,17,0
