Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Gentle Invite,2024-03-16,PUC,Glory Owls,15,10,453.604,1.000,0,536.130
Gentle Invite,2024-03-16,PUC,Remix,11,7,466.893,0.973,0,382.140
Gentle Invite,2024-03-16,Remix,Glory Owls,15,9,515.481,1.000,0,153.990
Gentle Invite,2024-03-17,Glory Owls,Remix,11,10,125.000,1.000,0,-153.990
FFFD Mixed Ph1,2024-03-24,Sesquidistus,PUC,14,10,398.702,1.000,0,398.680
FFFD Mixed Ph2,2024-04-07,Sesquidistus,Manchots,15,10,453.604,1.000,0,453.610
Spring Tour 2024 Malmö,2024-04-20,Glasgow Ultimate,PELT,10,5,573.898,0.889,0,241.470
Spring Tour 2024 Malmö,2024-04-20,Glasgow Ultimate,Savage Ultimate,13,7,557.532,1.000,0,545.310
Spring Tour 2024 Malmö,2024-04-20,Glasgow Ultimate,Wiener Mischung,15,8,564.809,1.000,0,877.210
Spring Tour 2024 Malmö,2024-04-20,Malmö Ultimate Club,DTU,15,7,600.000,1.000,0,445.480
Spring Tour 2024 Malmö,2024-04-20,Malmö Ultimate Club,Nullacht! Ultimate,12,11,125.000,1.000,0,-89.860
Spring Tour 2024 Malmö,2024-04-20,Nullacht! Ultimate,DTU,11,4,600.000,0.918,0,535.340
Spring Tour 2024 Malmö,2024-04-20,PELT,Savage Ultimate,12,11,125.000,1.000,0,303.840
Spring Tour 2024 Malmö,2024-04-20,PELT,Wiener Mischung,15,7,600.000,1.000,0,635.740
Spring Tour 2024 Malmö,2024-04-20,Savage Ultimate,Wiener Mischung,15,10,453.604,1.000,0,331.900
Spring Tour 2024 Malmö,2024-04-20,Sky This Warszawa,DTU,14,7,582.887,1.000,0,485.780
Spring Tour 2024 Malmö,2024-04-20,Sky This Warszawa,Malmö Ultimate Club,12,11,125.000,1.000,0,40.300
Spring Tour 2024 Malmö,2024-04-20,Sky This Warszawa,Nullacht! Ultimate,15,12,300.492,1.000,0,-49.560
Spring Tour 2024 Padova,2024-04-20,BN1,Colorado,13,10,328.142,1.000,0,97.970
Spring Tour 2024 Padova,2024-04-20,BN1,W.underteam,15,7,600.000,1.000,0,458.000
Spring Tour 2024 Padova,2024-04-20,Colorado,AKS Zły Ultimate,15,9,515.481,1.000,0,437.420
Spring Tour 2024 Padova,2024-04-20,Colorado,W.underteam,15,3,600.000,1.000,0,360.030
Spring Tour 2024 Padova,2024-04-20,Cus Padova Rangərs,Frubb,15,9,515.481,1.000,0,388.220
Spring Tour 2024 Padova,2024-04-20,Cus Padova Rangərs,Nuclear Discs,15,5,600.000,1.000,0,782.590
Spring Tour 2024 Padova,2024-04-20,Cus Padova Rangərs,OUT,15,6,600.000,1.000,0,405.970
Spring Tour 2024 Padova,2024-04-20,Deep Space,Heroes Flying Disc,15,1,600.000,1.000,0,248.040
Spring Tour 2024 Padova,2024-04-20,Deep Space,The Owls,15,6,600.000,1.000,1,690.120
Spring Tour 2024 Padova,2024-04-20,Frubb,Nuclear Discs,14,9,473.868,1.000,0,394.370
Spring Tour 2024 Padova,2024-04-20,Frubb,Zombees,15,10,453.604,1.000,0,846.010
Spring Tour 2024 Padova,2024-04-20,Mosquitos,Heroes Flying Disc,15,11,381.165,1.000,0,309.990
Spring Tour 2024 Padova,2024-04-20,Mosquitos,The Owls,15,4,600.000,1.000,1,752.070
Spring Tour 2024 Padova,2024-04-20,Nuclear Discs,Zombees,12,7,520.511,1.000,0,451.640
Spring Tour 2024 Padova,2024-04-20,OUT,Nuclear Discs,11,8,365.609,1.000,0,376.620
Spring Tour 2024 Padova,2024-04-20,OUT,Zombees,15,3,600.000,1.000,1,828.260
Spring Tour 2024 Padova,2024-04-20,PUC,AKS Zły Ultimate,15,8,564.809,1.000,0,809.830
Spring Tour 2024 Padova,2024-04-20,PUC,BN1,14,10,398.702,1.000,0,274.440
Spring Tour 2024 Padova,2024-04-20,PUC,Colorado,15,3,600.000,1.000,0,372.410
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,Deep Space,15,12,300.492,1.000,0,463.570
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,Heroes Flying Disc,15,9,515.481,1.000,0,711.610
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,Mosquitos,15,9,515.481,1.000,0,401.620
Spring Tour 2024 Padova,2024-04-20,Tiefseetaucher,The Owls,15,4,600.000,1.000,1,1153.690
Spring Tour 2024 Padova,2024-04-20,W.underteam,AKS Zły Ultimate,12,9,345.365,1.000,0,77.390
Spring Tour 2024 Malmö,2024-04-21,DTU,Wiener Mischung,15,10,453.604,1.000,0,-22.970
Spring Tour 2024 Malmö,2024-04-21,Glasgow Ultimate,DTU,15,3,600.000,1.000,1,900.180
Spring Tour 2024 Malmö,2024-04-21,Glasgow Ultimate,Malmö Ultimate Club,12,6,579.311,0.973,0,454.700
Spring Tour 2024 Malmö,2024-04-21,Glasgow Ultimate,PELT,12,11,125.000,1.000,0,241.470
