Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tchac,644.740,1,6,6,0,0,1.000,0.537,84,45,6.500,1.000,17,0
3SB,557.250,1,6,6,0,0,1.000,0.500,89,47,7.000,2.000,9,0
XVI,456.250,1,6,5,1,0,0.833,0.611,75,56,3.167,1.000,18,0
Mooncatchers,374.770,1,6,6,0,0,1.000,0.468,86,61,4.167,3.000,9,0
Grut,366.540,1,6,4,2,0,0.667,0.620,69,57,2.000,1.000,16,0
Quijotes,287.860,1,6,5,1,0,0.833,0.472,69,51,3.000,1.000,18,0
BFD LaFotta,243.100,2,7,4,3,0,0.571,0.633,89,77,1.714,3.000,9,0
Iznogood,233.370,2,9,6,3,0,0.667,0.481,109,78,3.444,1.000,18,0
Heidees,231.470,1,6,5,1,0,0.833,0.463,83,54,4.833,1.000,16,0
Ranelagh,204.390,1,6,4,2,0,0.667,0.464,81,63,3.000,3.000,9,0
Cotarica Grandes,193.420,1,6,5,1,0,0.833,0.444,83,66,2.833,3.000,9,0
One Tribe,190.000,2,7,5,2,0,0.714,0.401,94,73,3.000,3.000,9,0
KFK,184.340,1,6,4,2,0,0.667,0.528,76,66,1.667,2.000,9,0
SMOG,164.120,1,6,3,3,0,0.500,0.565,77,75,0.333,1.000,18,0
Uprising Ultimate,153.410,1,6,4,2,0,0.667,0.528,72,64,1.333,2.000,9,0
Monkey,134.900,1,6,3,3,0,0.500,0.694,64,74,-1.667,1.000,17,0
Terrible Monkeys,107.510,1,6,4,2,0,0.667,0.417,76,64,2.000,2.000,9,0
Freezzz Beezzz,54.430,2,9,5,4,0,0.556,0.420,107,96,1.222,1.000,18,0
Flying Angels Bern,44.640,1,6,3,3,0,0.500,0.444,71,65,1.000,1.000,15,0
UFO,10.170,1,6,4,2,0,0.667,0.435,80,71,1.500,1.000,18,0
thebigEZ,-4.460,1,6,3,3,0,0.500,0.583,63,71,-1.333,2.000,9,0
KFUM Örebro Frisbee,-28.530,1,6,3,3,0,0.500,0.528,65,70,-0.833,2.000,9,0
Bad Skid,-57.630,1,6,2,4,0,0.333,0.528,75,76,-0.167,3.000,9,0
Solebang,-61.030,1,6,2,4,0,0.333,0.472,64,60,0.667,1.000,17,0
FWD>>,-78.370,1,6,2,4,0,0.333,0.472,69,69,0.000,2.000,9,0
Outsiterz,-126.540,1,6,2,4,0,0.333,0.500,64,71,-1.167,2.000,9,0
Smash'D,-130.640,1,6,3,3,0,0.500,0.546,65,73,-1.333,1.000,17,0
Catchup Graz,-177.770,1,6,2,4,0,0.333,0.627,63,84,-3.500,3.000,9,0
Panthers Wrocław,-198.330,1,6,2,4,0,0.333,0.444,62,71,-1.500,2.000,9,0
Freespeed,-243.890,1,6,1,5,0,0.167,0.500,53,69,-2.667,1.000,17,0
Panthers Bern Ultimate,-280.400,1,6,1,5,0,0.167,0.548,60,84,-4.000,3.000,9,0
Armada,-333.280,1,3,1,2,0,0.333,0.444,27,38,-3.667,1.000,16,0
REDBULLS,-380.040,1,6,1,5,0,0.167,0.409,61,84,-3.833,3.000,9,0
DiscoBolo,-382.030,1,6,1,5,0,0.167,0.472,62,86,-4.000,3.000,9,0
AUT Beefree,-413.800,1,6,1,5,0,0.167,0.500,45,74,-4.833,1.000,18,0
Aarhus,-425.010,1,6,1,5,0,0.167,0.481,44,75,-5.167,1.000,18,0
ZU PlatZHirsch,-544.970,1,6,1,5,0,0.167,0.407,49,79,-5.000,1.000,18,0
Révolution'Air,-564.010,2,9,1,8,0,0.111,0.451,68,113,-5.000,1.000,18,0
Atrofované Ruce,-566.560,1,6,0,6,0,0.000,0.500,43,86,-7.167,2.000,9,0
