Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FABulous,15,8,564.809,1.000,0,441.740
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,FlyHigh Louves,15,5,600.000,1.000,1,1304.640
Spring Tour 2024 Grenoble,2024-04-20,BFD Shout,GRUT,13,10,328.142,1.000,0,277.910
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Queen Kong,13,6,600.000,1.000,0,561.860
Spring Tour 2024 Grenoble,2024-04-20,Catchup,Solebang,15,2,600.000,1.000,1,1025.280
Spring Tour 2024 Grenoble,2024-04-20,FABulous,FlyHigh Louves,15,6,600.000,1.000,1,862.900
Spring Tour 2024 Grenoble,2024-04-20,FABulous,wuf.,14,7,582.887,1.000,0,293.990
Spring Tour 2024 Grenoble,2024-04-20,GRUT,FlyHigh Louves,15,4,600.000,1.000,1,1026.730
Spring Tour 2024 Grenoble,2024-04-20,GRUT,wuf.,12,8,441.155,1.000,0,457.820
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Catchup,13,12,125.000,1.000,0,-148.100
Spring Tour 2024 Grenoble,2024-04-20,Jetset LUV,Queen Kong,9,6,418.566,0.889,0,413.760
Spring Tour 2024 Grenoble,2024-04-20,Queen Kong,Solebang,13,6,600.000,1.000,0,463.420
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Jetset LUV,12,10,238.123,1.000,0,-55.190
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Queen Kong,10,5,573.898,0.889,0,358.570
Spring Tour 2024 Grenoble,2024-04-20,Tequila Boom Boom,Solebang,13,3,600.000,1.000,1,821.990
Spring Tour 2024 Grenoble,2024-04-20,wuf.,FlyHigh Louves,15,6,600.000,1.000,0,568.910
Spring Tour 2024 London,2024-04-20,Bristol,Dublin Gravity,12,9,345.365,1.000,0,416.380
Spring Tour 2024 London,2024-04-20,Bristol,Spice,15,3,600.000,1.000,0,576.890
Spring Tour 2024 London,2024-04-20,Dublin Gravity,Horizon,13,7,557.532,1.000,0,506.340
Spring Tour 2024 London,2024-04-20,Iceni,Horizon,15,4,600.000,1.000,1,1080.650
Spring Tour 2024 London,2024-04-20,Iceni,Mooncup,10,9,125.000,1.000,0,135.450
Spring Tour 2024 London,2024-04-20,Iceni,Seagulls,13,7,557.532,1.000,0,484.870
Spring Tour 2024 London,2024-04-20,LMU,Dublin Gravity,10,8,262.666,0.973,0,321.700
Spring Tour 2024 London,2024-04-20,LMU,Horizon,15,4,600.000,1.000,1,828.040
Spring Tour 2024 London,2024-04-20,LMU,Seagulls,13,7,557.532,1.000,0,232.260
Spring Tour 2024 London,2024-04-20,Mooncup,SMOG,11,9,249.207,1.000,0,263.390
Spring Tour 2024 London,2024-04-20,Mooncup,SYC,15,2,600.000,1.000,0,439.590
