Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
BFD Shout,777.670,1,6,6,0,0,1.000,0.556,88,42,7.667,1.000,9,0
GRUT,499.760,1,6,4,2,0,0.667,0.694,75,59,2.667,1.000,9,0
Iceni,437.040,1,6,6,0,0,1.000,0.444,71,45,4.333,2.000,9,0
FABulous,335.930,1,6,4,2,0,0.667,0.528,72,53,3.167,1.000,9,0
Mooncup,301.590,1,6,4,2,0,0.667,0.611,66,47,3.167,2.000,9,0
Bristol,279.110,1,6,4,2,0,0.667,0.528,71,51,3.333,2.000,9,0
LMU,184.430,1,6,4,2,0,0.667,0.417,67,49,3.000,2.000,9,0
Catchup,112.540,1,6,4,2,0,0.667,0.389,73,54,3.167,1.000,9,0
wuf.,41.940,1,6,3,3,0,0.500,0.528,63,59,0.667,1.000,9,0
SMOG,38.200,1,6,4,2,0,0.667,0.361,70,60,1.667,2.000,9,0
Jetset LUV,-35.560,1,6,3,3,0,0.500,0.500,59,63,-0.667,1.000,9,0
Seagulls,-47.830,1,6,3,3,0,0.500,0.472,63,61,0.333,2.000,9,0
Tequila Boom Boom,-90.750,1,6,3,3,0,0.500,0.417,59,55,0.667,1.000,9,0
Dublin Gravity,-137.270,1,6,1,5,0,0.167,0.583,53,61,-1.333,2.000,9,0
SYC,-138.000,1,6,3,3,0,0.500,0.528,52,71,-3.167,2.000,9,0
Spice,-297.780,1,6,1,5,0,0.167,0.528,49,71,-3.667,2.000,9,0
Queen Kong,-449.320,1,6,1,5,0,0.167,0.444,43,57,-2.333,1.000,9,0
FlyHigh Louves,-526.970,1,6,2,4,0,0.333,0.500,39,75,-6.000,1.000,9,0
Horizon,-643.610,1,6,0,6,0,0.000,0.528,40,86,-7.667,2.000,9,0
Solebang,-912.740,1,6,0,6,0,0.000,0.444,28,82,-9.000,1.000,9,0
