Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mooncatchers,551.180,2,12,12,0,0,1.000,0.495,171,130,3.417,1.000,30,1
Clapham,504.220,3,14,12,2,0,0.857,0.525,192,141,3.643,1.000,45,1
Wall City,465.330,1,6,4,2,0,0.667,0.508,86,78,1.333,1.000,23,0
BFD LaFotta,450.400,4,17,10,7,0,0.588,0.639,220,180,2.353,1.000,35,1
3SB,442.600,1,6,6,0,0,1.000,0.495,89,47,7.000,1.000,24,0
Gentle,412.380,1,6,3,3,0,0.500,0.700,79,81,-0.333,1.000,22,0
Tchac,390.450,2,14,12,2,0,0.857,0.541,179,130,3.500,1.000,50,1
One Tribe,368.770,3,8,6,2,0,0.750,0.512,107,85,2.750,1.000,28,0
Chevron Action Flash,360.040,4,14,9,5,0,0.643,0.587,188,157,2.214,1.000,39,1
XVI,281.750,1,6,5,1,0,0.833,0.567,75,56,3.167,1.000,31,0
Ranelagh,258.110,2,12,10,2,0,0.833,0.426,160,120,3.333,1.000,41,1
Cotarica Grandes,252.250,3,14,9,5,0,0.643,0.511,182,146,2.571,1.000,48,1
Grut,207.750,3,10,6,4,0,0.600,0.532,114,94,2.000,1.000,34,1
Jetset Open,147.920,2,13,3,10,0,0.231,0.633,155,168,-1.000,1.000,44,1
Quijotes,143.480,2,9,6,3,0,0.667,0.476,101,87,1.556,1.000,35,0
Bad Skid,126.590,2,7,3,4,0,0.429,0.576,90,87,0.429,1.000,27,0
Iznogood,120.730,4,14,8,6,0,0.571,0.516,165,134,2.214,1.000,35,1
Bristol,95.980,3,8,4,4,0,0.500,0.452,100,96,0.500,1.000,33,0
FrankN,88.600,2,4,3,1,0,0.750,0.425,53,39,3.500,1.000,22,0
Heidees,87.700,1,6,5,1,0,0.833,0.409,83,54,4.833,1.000,22,0
Catchup Graz,65.190,2,9,5,4,0,0.556,0.568,106,116,-1.111,1.000,33,0
7Schwaben,19.780,1,3,2,1,0,0.667,0.476,41,41,0.000,1.000,21,0
SMOG,14.300,3,11,6,5,0,0.545,0.465,141,130,1.000,1.000,36,1
Alba,-15.780,3,11,4,7,0,0.364,0.561,117,151,-3.091,1.000,34,1
KFUM Örebro Frisbee,-23.410,2,12,7,5,0,0.583,0.519,142,131,0.917,1.000,37,1
KFK,-42.940,2,12,7,5,0,0.583,0.446,149,126,1.917,1.000,40,1
Terrible Monkeys,-52.330,1,6,4,2,0,0.667,0.370,76,64,2.000,1.000,23,0
Outsiterz,-55.780,3,15,7,8,0,0.467,0.489,168,177,-0.600,1.000,45,1
thebigEZ,-71.270,2,11,6,5,0,0.545,0.524,120,122,-0.182,1.000,38,1
Monkey,-80.710,2,7,3,4,0,0.429,0.639,72,89,-2.429,1.000,32,0
Flying Angels Bern,-101.550,3,11,6,5,0,0.545,0.404,129,118,1.000,1.000,42,1
Panthers Bern Ultimate,-141.620,1,6,1,5,0,0.167,0.568,60,84,-4.000,1.000,27,0
Freezzz Beezzz,-149.960,4,17,9,8,0,0.529,0.393,201,199,0.118,1.000,41,1
UFO,-177.240,2,9,4,5,0,0.444,0.490,108,113,-0.556,1.000,41,0
Smash'D,-184.780,3,11,5,6,0,0.455,0.453,120,136,-1.455,1.000,32,1
Solebang,-187.380,2,7,3,4,0,0.429,0.377,76,68,1.143,1.000,31,0
Uprising Ultimate,-201.690,3,11,4,7,0,0.364,0.524,116,125,-0.818,1.000,28,0
Hardfisch,-203.060,3,12,3,9,0,0.250,0.551,125,159,-2.833,1.000,47,1
Panthers Wrocław,-220.590,2,7,3,4,0,0.429,0.454,76,82,-0.857,1.000,23,0
DiscoBolo,-221.680,1,6,1,5,0,0.167,0.493,62,86,-4.000,1.000,22,0
REDBULLS,-230.170,1,6,1,5,0,0.167,0.445,61,84,-3.833,1.000,21,0
FWD>>,-384.360,2,9,2,7,0,0.222,0.418,95,110,-1.667,1.000,33,0
Freespeed,-402.530,1,6,1,5,0,0.167,0.471,53,69,-2.667,1.000,33,0
PirU,-441.320,1,5,1,4,0,0.200,0.489,53,72,-3.800,1.000,31,0
OTSO,-473.730,2,8,2,6,0,0.250,0.422,80,106,-3.250,1.000,33,0
Ka-Pow!,-479.780,3,8,1,7,0,0.125,0.468,67,113,-5.750,1.000,40,0
Aarhus,-492.250,2,12,2,10,0,0.167,0.466,104,153,-4.083,1.000,43,1
AUT Beefree,-551.680,2,7,1,6,0,0.143,0.507,47,89,-6.000,1.000,41,0
Armada,-597.010,1,2,0,2,0,0.000,0.550,15,30,-7.500,1.000,20,0
Krakens,-628.530,1,1,0,1,0,0.000,0.429,8,12,-4.000,1.000,7,0
Révolution'Air,-632.150,1,6,1,5,0,0.167,0.361,46,72,-4.333,1.000,24,0
ZU PlatZHirsch,-642.830,2,8,1,7,0,0.125,0.441,66,109,-5.375,1.000,35,0
Atrofované Ruce,-713.180,1,6,0,6,0,0.000,0.455,43,86,-7.167,1.000,22,0
