Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite Padova,2023-04-21,DISConnection,FlyHigh,13,7,557.5316737222639,1.0,0,694.55,6,1,0,8.66,6,1,0,9.000027066578738
Spring Invite Padova,2023-04-21,DISConnection,Gentle Mixed,15,9,515.4814780292847,1.0,0,514.28,6,1,0,6.08,6,1,0,6.8078880051673
Spring Invite Padova,2023-04-21,DISConnection,HoneyMoon,15,6,600.0,1.0,1,1025.75,9,1,0,17.02,9,1,0,11.683690594957728
Spring Invite Padova,2023-04-21,DISConnection,Leamington Lemmings,13,12,125.0,1.0,0,74.99000000000001,1,1,0,-2.75,1,1,0,-0.7112163116669681
Spring Invite Padova,2023-04-21,DISConnection,Owls UC,15,6,600.0,1.0,1,879.54,9,1,0,12.77,9,1,0,9.988164176457875
Spring Invite Padova,2023-04-21,DISConnection,ZomBees,14,8,536.0348119187572,1.0,0,773.4,6,1,0,9.469999999999999,6,1,0,9.700015608486606
Spring Invite Padova,2023-04-21,FlyHigh,HoneyMoon,15,7,600.0,1.0,0,331.19999999999993,8,1,0,8.36,8,1,0,5.038315287108851
Spring Invite Padova,2023-04-21,FlyHigh,HoneyMoon,13,8,496.1596377856195,1.0,0,331.19999999999993,5,1,0,8.36,5,1,0,5.038315287108851
Spring Invite Padova,2023-04-21,FlyHigh,ZomBees,15,7,600.0,1.0,0,78.84999999999997,8,1,0,0.8099999999999996,8,1,0,1.143775474921238
Spring Invite Padova,2023-04-21,FucZH,FlyHigh,15,9,515.4814780292847,1.0,0,234.44,6,1,0,2.98,6,1,0,3.2062842722164007
Spring Invite Padova,2023-04-21,FucZH,Gentle Mixed,14,8,536.0348119187572,1.0,0,54.17,6,1,0,0.3999999999999999,6,1,0,0.20248769902174146
Spring Invite Padova,2023-04-21,FucZH,Owls UC,11,7,466.8933257329327,0.9733285267845752,0,419.43,4,1,0,7.09,4,1,0,4.740714291055202
Spring Invite Padova,2023-04-21,Gentle Mixed,FucZH,10,9,125.0,1.0,0,-54.17,1,1,0,-0.3999999999999999,1,1,0,-0.2024876990217397
Spring Invite Padova,2023-04-21,Gentle Mixed,Owls UC,12,8,441.15462425988915,1.0,0,365.26,4,1,0,6.6899999999999995,4,1,0,4.557671366781939
Spring Invite Padova,2023-04-21,Gentle Mixed,ZomBees,15,6,600.0,1.0,0,259.12,9,1,0,3.3899999999999997,9,1,0,4.0935762084469935
Spring Invite Padova,2023-04-21,HoneyMoon,ZomBees,11,9,249.2068104043629,1.0,0,-252.34999999999997,2,1,0,-7.55,2,1,0,-3.996908662800365
Spring Invite Padova,2023-04-21,Leamington Lemmings,FucZH,15,5,600.0,1.0,0,385.12,10,1,0,8.43,10,1,0,7.2059520255532235
Spring Invite Padova,2023-04-21,Leamington Lemmings,FucZH,15,3,600.0,1.0,0,385.12,12,1,0,8.43,12,1,0,7.2059520255532235
Spring Invite Padova,2023-04-21,Leamington Lemmings,Gentle Mixed,15,10,453.6039151898044,1.0,0,439.28999999999996,5,1,0,8.83,5,1,0,7.360705820658307
Spring Invite Padova,2023-04-21,Leamington Lemmings,HoneyMoon,15,1,600.0,1.0,0,950.76,14,1,0,19.77,14,1,0,11.953445891081742
Spring Invite Padova,2023-04-21,Leamington Lemmings,Owls UC,15,6,600.0,1.0,0,804.55,9,1,0,15.52,9,1,0,10.371916260389131
Spring Invite Padova,2023-04-21,Owls UC,HoneyMoon,15,8,564.8086448756737,1.0,0,146.20999999999992,7,1,0,4.25,7,1,0,3.522516921131448
Spring Invite Padova,2023-04-21,ZomBees,FlyHigh,15,14,125.0,1.0,0,-78.84999999999997,1,1,0,-0.8099999999999996,1,1,0,-1.1437754749212363
Spring Invite Padova,2023-04-21,ZomBees,Owls UC,10,9,125.0,1.0,0,106.14000000000004,1,1,0,3.3,1,1,0,0.5060578707415448
Spring Invite Wroclaw,2023-04-21,FRuBB,Hässliche Erdferkel,11,5,600.0,0.9176629354822471,0,219.7,6,1,0,3.86,6,1,0,3.1439579880233026
Spring Invite Wroclaw,2023-04-21,FRuBB,KS FLOW WROCŁAW,11,10,125.0,1.0,0,82.47999999999999,1,1,0,2.51,1,1,0,1.5172930643340123
Spring Invite Wroclaw,2023-04-21,FRuBB,KS FLOW WROCŁAW,13,6,600.0,1.0,0,82.47999999999999,7,1,0,2.51,7,1,0,1.5172930643340123
Spring Invite Wroclaw,2023-04-21,FRuBB,PELT,12,11,125.0,1.0,0,38.93999999999998,1,1,0,0.06999999999999984,1,1,0,1.1310987889472948
Spring Invite Wroclaw,2023-04-21,FRuBB,Zoom Ultimate,13,5,600.0,1.0,0,323.25,8,1,0,2.56,8,1,0,4.078300502428085
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,PELT,10,8,262.66557693448596,0.9733285267845752,0,-180.76,2,1,0,-3.79,2,1,0,-2.045183340615152
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Prague Devils,9,6,418.5661446562001,0.8885233166386386,0,326.91,3,1,0,-2.14,3,1,0,2.8566912499473
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Savage Ultimate,12,9,345.3654772346762,1.0,0,-111.26,3,1,0,-0.32000000000000006,3,1,0,-1.0729146127697486
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Transylvania Ultimate,10,9,125.0,1.0,0,446.72999999999996,1,1,0,5.0600000000000005,1,1,0,4.399869315748678
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,Left Overs,7,6,125.0,0.8271701918685112,0,-212.28,1,1,0,-2.12,1,1,0,-2.0157330523699013
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,RJP,10,9,125.0,1.0,0,184.35,1,1,0,4.03,1,1,0,2.0554871593544206
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,Zoom Ultimate,10,9,125.0,1.0,0,240.77,1,1,0,0.04999999999999999,1,1,0,2.6334324131108815
Spring Invite Wroclaw,2023-04-21,Left Overs,FRuBB,11,9,249.2068104043629,1.0,0,129.8,2,1,0,-0.3899999999999999,2,1,0,0.5053087231270208
Spring Invite Wroclaw,2023-04-21,Left Overs,PELT,11,9,249.2068104043629,1.0,0,168.74,2,1,0,-0.32000000000000006,2,1,0,1.6322611763287718
Spring Invite Wroclaw,2023-04-21,Left Overs,RJP,9,6,418.5661446562001,0.8885233166386386,0,396.63,3,1,0,6.15,3,1,0,3.9976054025875705
