Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Germany Mixed @ Windmill,209.52,17.56,887.29,1,8,6,2,0.75,0.56875,111,71,5.0,1.0,32,0
Great Britain Mixed @ Windmill,192.1,12.64,889.99,1,8,6,2,0.75,0.709375,108,81,3.375,1.0,35,0
France Mixed @ Windmill,175.38,11.75,739.31,1,8,5,3,0.625,0.5773026315789473,97,77,2.5,1.0,30,0
Ireland Mixed @ Windmill,160.06,9.7,722.6,1,8,5,3,0.625,0.615625,94,82,1.5,1.0,32,0
Italy Mixed @ Windmill,138.26,8.05,649.67,1,8,6,2,0.75,0.615625,98,87,1.375,1.0,42,0
GRUT,128.57,9.58,629.69,3,20,16,4,0.8,0.568573991797676,268,201,3.35,1.0,75,1
Ellipsis @ Windmill,128.1,12.67,567.86,1,8,5,3,0.625,0.553125,98,88,1.25,1.0,37,0
Chang Chi and the Legend of 20ish Rings @ Windmill,125.09,8.55,532.34,1,8,5,3,0.625,0.53125,94,85,1.125,1.0,31,0
Poland Mixed @ Windmill,122.07,3.09,531.66,1,8,4,4,0.5,0.6029225708502024,91,83,1.0,1.0,41,0
Swedish Royals @ Windmill,118.49,4.08,477.1,1,8,5,3,0.625,0.5304276315789473,98,83,1.875,1.0,38,0
Austria Mixed @ Windmill,112.75,7.27,375.74,1,8,3,5,0.375,0.5424107142857143,76,79,-0.375,1.0,36,0
Estonia Mixed @ Windmill,107.68,4.61,441.17,1,8,3,5,0.375,0.546875,88,87,0.125,1.0,30,0
Farmer Brown's Greenhouse (FBG) @ Windmill,99.77,6.78,476.4,1,8,7,1,0.875,0.43355263157894736,101,80,2.625,1.0,50,0
Reading,96.53,4.55,410.88,2,11,8,3,0.7272727272727273,0.5312376618596715,147,100,4.2727272727272725,1.0,53,1
Deep Space,96.43,7.64,452.85,3,19,14,5,0.7368421052631579,0.5329525737420474,239,173,3.473684210526316,1.0,68,1
Lithuania Mixed @ Windmill,89.27,2.78,339.92,1,8,4,4,0.5,0.5304276315789473,96,89,0.875,1.0,41,0
Zamperl,88.01,7.14,460.49,1,6,6,0,1.0,0.4916666666666667,82,53,4.833333333333333,1.0,32,0
Leamington Lemmings,85.43,6.91,262.95,2,11,9,2,0.8181818181818182,0.4262360446570973,151,73,7.090909090909091,1.0,45,1
Belgian Mixed Masters @ G-Spot,80.71,5.64,339.28,1,7,7,0,1.0,0.539403453689168,93,39,7.714285714285714,1.0,40,0
NOISE Ultimate @ Windmill,79.3,8.16,375.59,1,8,5,3,0.625,0.5301221804511278,100,86,1.75,1.0,52,0
