Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite Leuven,2023-04-21,7 Schwaben,Bora,15,9,515.4814780292847,1.0,0,197.93999999999997,6,1,0,1.8,6,1,0,2.098153245849886
Spring Invite Leuven,2023-04-21,7 Schwaben,Révolution'air,15,9,515.4814780292847,1.0,0,441.24,6,1,0,5.14,6,1,0,5.219784254771046
Spring Invite Leuven,2023-04-21,7 Schwaben,Uprising,15,9,515.4814780292847,1.0,0,121.92999999999998,6,1,0,1.07,6,1,0,1.222035548906515
Spring Invite Leuven,2023-04-21,7 Schwaben,XVI,13,8,496.1596377856195,1.0,0,72.94999999999999,5,1,0,0.28,5,1,0,0.6475971928512543
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,Frizzly Bears,15,14,125.0,1.0,0,-126.13999999999999,1,1,0,-1.69,1,1,0,-1.6730104287788272
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,UFO,12,11,125.0,1.0,0,-137.76999999999998,1,1,0,-1.8900000000000001,1,1,0,-1.7425964300344692
Spring Invite Leuven,2023-04-21,Aarhus Ultimate,XVI,13,10,328.14240231865136,1.0,0,-30.849999999999994,3,1,0,-0.8300000000000001,3,1,0,-0.17624188927604045
Spring Invite Leuven,2023-04-21,Bad Skid,Aarhus Ultimate,15,6,600.0,1.0,1,636.73,9,1,0,8.25,9,1,0,8.182474459859499
Spring Invite Leuven,2023-04-21,Bad Skid,Hard2Fisch,15,7,600.0,1.0,0,1023.3799999999999,8,1,0,13.780000000000001,8,1,0,11.963012638484372
Spring Invite Leuven,2023-04-21,Bad Skid,SmashD,15,6,600.0,1.0,0,429.78999999999996,9,1,0,5.630000000000001,9,1,0,6.060377065855597
Spring Invite Leuven,2023-04-21,Bad Skid,Terrible Monkeys,15,8,564.8086448756737,1.0,0,612.55,7,1,0,7.45,7,1,0,7.75349787829731
Spring Invite Leuven,2023-04-21,Bora,Révolution'air,13,12,125.0,1.0,0,243.30000000000007,1,1,0,3.34,1,1,0,3.281351251821178
Spring Invite Leuven,2023-04-21,Bora,Uprising,13,10,328.14240231865136,1.0,0,-76.00999999999999,3,1,0,-0.73,3,1,0,-0.8862166988900704
