Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Invite Padova,2023-04-21,DISConnection,FlyHigh,13,7,557.5316737222639,1.0,0,620.7
Spring Invite Padova,2023-04-21,DISConnection,Gentle Mixed,15,9,515.4814780292847,1.0,0,561.8
Spring Invite Padova,2023-04-21,DISConnection,HoneyMoon,15,6,600.0,1.0,1,1024.35
Spring Invite Padova,2023-04-21,DISConnection,Leamington Lemmings,13,12,125.0,1.0,0,87.31
Spring Invite Padova,2023-04-21,DISConnection,Owls UC,15,6,600.0,1.0,1,926.86
Spring Invite Padova,2023-04-21,DISConnection,ZomBees,14,8,536.0348119187572,1.0,0,854.4100000000001
Spring Invite Padova,2023-04-21,FlyHigh,HoneyMoon,15,7,600.0,1.0,0,403.65
Spring Invite Padova,2023-04-21,FlyHigh,HoneyMoon,13,8,496.1596377856195,1.0,0,403.65
Spring Invite Padova,2023-04-21,FlyHigh,ZomBees,15,7,600.0,1.0,0,233.71
Spring Invite Padova,2023-04-21,FucZH,FlyHigh,15,9,515.4814780292847,1.0,0,168.95000000000002
Spring Invite Padova,2023-04-21,FucZH,Gentle Mixed,14,8,536.0348119187572,1.0,0,110.05000000000001
Spring Invite Padova,2023-04-21,FucZH,Owls UC,11,7,466.8933257329327,0.9733285267845752,0,475.11
Spring Invite Padova,2023-04-21,Gentle Mixed,FucZH,10,9,125.0,1.0,0,-110.05000000000001
Spring Invite Padova,2023-04-21,Gentle Mixed,Owls UC,12,8,441.15462425988915,1.0,0,365.06
Spring Invite Padova,2023-04-21,Gentle Mixed,ZomBees,15,6,600.0,1.0,0,292.61
Spring Invite Padova,2023-04-21,HoneyMoon,ZomBees,11,9,249.2068104043629,1.0,0,-169.93999999999994
Spring Invite Padova,2023-04-21,Leamington Lemmings,FucZH,15,5,600.0,1.0,0,364.44
Spring Invite Padova,2023-04-21,Leamington Lemmings,FucZH,15,3,600.0,1.0,0,364.44
Spring Invite Padova,2023-04-21,Leamington Lemmings,Gentle Mixed,15,10,453.6039151898044,1.0,0,474.49
Spring Invite Padova,2023-04-21,Leamington Lemmings,HoneyMoon,15,1,600.0,1.0,0,937.04
Spring Invite Padova,2023-04-21,Leamington Lemmings,Owls UC,15,6,600.0,1.0,0,839.55
Spring Invite Padova,2023-04-21,Owls UC,HoneyMoon,15,8,564.8086448756737,1.0,0,97.48999999999995
Spring Invite Padova,2023-04-21,ZomBees,FlyHigh,15,14,125.0,1.0,0,-233.71
Spring Invite Padova,2023-04-21,ZomBees,Owls UC,10,9,125.0,1.0,0,72.44999999999999
Spring Invite Wroclaw,2023-04-21,FRuBB,Hässliche Erdferkel,11,5,600.0,0.9176629354822471,0,262.07
Spring Invite Wroclaw,2023-04-21,FRuBB,KS FLOW WROCŁAW,11,10,125.0,1.0,0,121.73000000000002
Spring Invite Wroclaw,2023-04-21,FRuBB,KS FLOW WROCŁAW,13,6,600.0,1.0,0,121.73000000000002
Spring Invite Wroclaw,2023-04-21,FRuBB,PELT,12,11,125.0,1.0,0,74.20000000000002
Spring Invite Wroclaw,2023-04-21,FRuBB,Zoom Ultimate,13,5,600.0,1.0,0,370.03
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,PELT,10,8,262.66557693448596,0.9733285267845752,0,-187.86999999999998
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Prague Devils,9,6,418.5661446562001,0.8885233166386386,0,333.23
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Savage Ultimate,12,9,345.3654772346762,1.0,0,-99.13
Spring Invite Wroclaw,2023-04-21,Hässliche Erdferkel,Transylvania Ultimate,10,9,125.0,1.0,0,457.84000000000003
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,Left Overs,7,6,125.0,0.8271701918685112,0,-209.07999999999998
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,RJP,10,9,125.0,1.0,0,192.22
Spring Invite Wroclaw,2023-04-21,KS FLOW WROCŁAW,Zoom Ultimate,10,9,125.0,1.0,0,248.29999999999998
Spring Invite Wroclaw,2023-04-21,Left Overs,FRuBB,11,9,249.2068104043629,1.0,0,87.34999999999997
Spring Invite Wroclaw,2023-04-21,Left Overs,PELT,11,9,249.2068104043629,1.0,0,161.54999999999998
Spring Invite Wroclaw,2023-04-21,Left Overs,RJP,9,6,418.5661446562001,0.8885233166386386,0,401.29999999999995
Spring Invite Wroclaw,2023-04-21,Left Overs,Transylvania Ultimate,9,3,600.0,0.8271701918685112,1,807.26
Spring Invite Wroclaw,2023-04-21,Left Overs,Zoom Ultimate,11,6,546.6949863040446,0.9459053029269173,0,457.38
Spring Invite Wroclaw,2023-04-21,PELT,KS FLOW WROCŁAW,8,6,300.4922431832018,0.8583950752789521,0,47.53
Spring Invite Wroclaw,2023-04-21,PELT,Left Overs,9,8,125.0,0.9459053029269173,0,-161.54999999999998
Spring Invite Wroclaw,2023-04-21,PELT,Zoom Ultimate,10,7,389.6652919127421,0.9459053029269173,0,295.83
Spring Invite Wroclaw,2023-04-21,Prague Devils,Transylvania Ultimate,11,10,125.0,1.0,0,124.61000000000001
Spring Invite Wroclaw,2023-04-21,Prague Devils,Zoom Ultimate,10,9,125.0,1.0,0,-225.27
Spring Invite Wroclaw,2023-04-21,RJP,Hässliche Erdferkel,10,9,125.0,1.0,0,-51.88
