Team,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GRUT,615.73,3,14,12,2,0.8571428571428571,0.53001998001998,193,135,4.142857142857143,1.0,45,1
Deep Space,563.07,3,15,11,4,0.7333333333333333,0.5816208791208791,192,135,3.8,1.0,39,1
Zamperl,512.72,1,6,6,0,1.0,0.4791666666666667,82,53,4.833333333333333,1.0,23,0
Reading,497.07,2,11,8,3,0.7272727272727273,0.5783935761208489,147,100,4.2727272727272725,1.0,37,1
Monkey Grenoble,479.02,1,5,5,0,1.0,0.4861538461538462,71,49,4.4,1.0,20,0
DISConnection,446.18,3,16,13,3,0.8125,0.4631191724941725,219,158,3.8125,1.0,44,1
Tiefseetaucher,419.29,1,6,5,1,0.8333333333333334,0.4916666666666667,77,52,4.166666666666667,1.0,15,0
Sesquidistus,408.15,2,13,8,5,0.6153846153846154,0.6288483951945489,168,140,2.1538461538461537,1.0,33,1
New Age Mix,389.59,1,4,2,2,0.5,0.6260416666666666,46,43,0.75,1.0,33,0
Leamington Lemmings,358.87,2,11,9,2,0.8181818181818182,0.44705710955710953,151,73,7.090909090909091,1.0,33,1
Left Overs,350.28,2,12,9,3,0.75,0.502732683982684,131,95,3.0,1.0,32,1
Frizstyle FBF,340.92,1,5,2,3,0.4,0.6418589743589743,59,57,0.4,1.0,37,0
Manchots,336.58,1,6,5,1,0.8333333333333334,0.42735042735042733,83,64,3.1666666666666665,1.0,15,0
FRuBB,262.93,3,16,10,6,0.625,0.4923633658008658,186,160,1.625,1.0,38,1
Tartu Turbulence,258.2,1,6,3,3,0.5,0.6607142857142857,70,72,-0.3333333333333333,1.0,22,0
Nullacht! Ultimate,236.15,2,12,7,5,0.5833333333333334,0.5907738095238095,147,140,0.5833333333333334,1.0,32,1
Smog,230.24,3,13,7,6,0.5384615384615384,0.6270380260764876,148,146,0.15384615384615385,1.0,43,1
Mainzelrenner,200.47,1,2,1,1,0.5,0.6785714285714286,21,17,2.0,1.0,16,0
PELT,188.73,1,6,3,3,0.5,0.6236471861471862,55,54,0.16666666666666666,1.0,25,0
Force Elektro MXD,179.94,2,7,6,1,0.8571428571428571,0.434065934065934,76,57,2.7142857142857144,1.0,37,0
AKS ZŁY ULTIMATE,167.21,1,5,3,2,0.6,0.6,60,59,0.2,1.0,18,0
KS FLOW WROCŁAW,141.2,2,11,6,5,0.5454545454545454,0.6374852420306966,107,109,-0.18181818181818182,1.0,31,1
HORANGI,116.45,1,3,1,2,0.3333333333333333,0.5,35,30,1.6666666666666667,1.0,11,0
Mosquitos,107.6,2,11,5,6,0.45454545454545453,0.4789392425756062,126,132,-0.5454545454545454,1.0,40,1
Savage Ultimate,99.99,2,11,9,2,0.8181818181818182,0.4087367178276269,133,101,2.909090909090909,1.0,27,0
Too Many Cooks,98.45,2,6,3,3,0.5,0.4909722222222222,65,71,-1.0,1.0,35,0
Bremen Ultimate,92.38,3,14,7,7,0.5,0.4854308390022676,161,156,0.35714285714285715,1.0,34,1
Glasgow Mixed,29.17,1,5,3,2,0.6,0.47030303030303033,56,48,1.6,1.0,23,0
Hässliche Erdferkel,0.86,1,7,4,3,0.5714285714285714,0.5367192331478046,65,65,0.0,1.0,26,0
PUC,-2.83,2,8,1,7,0.125,0.6706189643689644,73,112,-4.875,1.0,39,0
FucZH,-5.57,2,12,6,6,0.5,0.5738636363636364,128,141,-1.0833333333333333,1.0,25,0
Colorado,-13.36,1,6,3,3,0.5,0.44305555555555554,66,69,-0.5,1.0,22,0
